Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,42,540400,759700
2021-07-26,69,960500,423500
2021-07-23,47,454500,514100
2021-07-22,64,962500,550600
2021-07-21,48,650100,705100
2021-07-20,69,662700,302900
2021-07-19,48,264800,292600
2021-07-16,40,69500,102200
2021-07-15,42,165400,225900
2021-07-14,38,119900,195600
2021-07-13,45,234100,285800
2021-07-12,33,323000,652400
2021-07-09,35,154900,292800
2021-07-08,36,108000,194600
2021-07-07,48,250100,267300
2021-07-06,0,0,0
2021-07-05,50,876900,876900
2021-07-02,32,427900,902800
2021-07-01,39,411300,649700
2021-06-30,32,155700,330900
2021-06-29,59,343100,235900
2021-06-28,65,397700,209800
