Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,49,790100,806300
2021-07-26,64,494900,279300
2021-07-23,34,243700,478700
2021-07-22,64,665500,373700
2021-07-21,53,605100,532400
2021-07-20,42,402100,554100
2021-07-19,42,498000,701100
2021-07-16,45,299800,371100
2021-07-15,53,506700,455300
2021-07-14,40,325100,487600
2021-07-13,48,334400,356500
2021-07-12,38,685800,1126700
2021-07-09,36,389300,698200
2021-07-08,45,305300,368900
2021-07-07,48,500200,545800
2021-07-06,0,0,0
2021-07-05,50,1088700,1088700
2021-07-02,34,527500,1041500
2021-07-01,50,616300,611200
2021-06-30,33,474900,957800
2021-06-29,28,290600,723500
2021-06-28,47,474700,535100
