Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,55,1638200,1354200
2021-07-26,52,879400,813800
2021-07-23,37,919600,1566000
2021-07-22,55,1838200,1528500
2021-07-21,37,756800,1263900
2021-07-20,54,2555200,2135800
2021-07-19,32,1683500,3516900
2021-07-16,41,722800,1021800
2021-07-15,56,1376900,1028900
2021-07-14,45,1643600,2012500
2021-07-13,52,1578300,1443100
2021-07-12,44,2916300,3749000
2021-07-09,40,2056900,3022300
2021-07-08,39,1346900,2119500
2021-07-07,46,2469000,2886800
2021-07-06,0,0,0
2021-07-05,50,5654500,5654500
2021-07-02,39,1152700,1800300
2021-07-01,43,2912700,3810600
2021-06-30,43,1646300,2180100
2021-06-29,36,1644800,2921800
2021-06-28,55,3566700,2905400
