Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,49,1033200,1092600
2021-07-26,36,446200,780600
2021-07-23,36,895300,1586700
2021-07-22,62,2126000,1310800
2021-07-21,37,469900,788000
2021-07-20,70,2410100,1023000
2021-07-19,45,1581500,1906300
2021-07-16,42,853800,1199300
2021-07-15,51,840300,806200
2021-07-14,47,835000,939800
2021-07-13,51,1290800,1248800
2021-07-12,47,2004400,2231900
2021-07-09,31,1431900,3153400
2021-07-08,35,602500,1117500
2021-07-07,53,2238000,2016700
2021-07-06,0,0,0
2021-07-05,98,2935600,63700
2021-07-02,47,1468300,1655000
2021-07-01,55,1916800,1549900
2021-06-30,41,927100,1354200
2021-06-29,53,1407500,1229000
2021-06-28,47,1018300,1144800
