tradingTime,volume,price,side
2021-06-04T14:25:23,100.0,7.1,B
2021-06-04T14:23:15,100.0,7.1,B
2021-06-04T14:10:26,10000.0,7.1,B
2021-06-04T14:07:19,400.0,7.1,B
2021-06-04T14:06:07,500.0,7.1,B
2021-06-04T14:05:40,7500.0,7.1,B
2021-06-04T14:02:49,7500.0,7.1,B
2021-06-04T13:44:37,100.0,7.1,B
2021-06-04T13:36:24,5000.0,7.1,B
2021-06-04T13:36:08,7000.0,7.0,S
2021-06-04T13:36:03,2000.0,7.0,S
2021-06-04T13:35:52,20000.0,7.0,S
2021-06-04T13:35:38,1000.0,7.0,S
2021-06-04T13:29:41,500.0,7.0,S
2021-06-04T13:29:04,2000.0,7.0,S
2021-06-04T13:28:58,900.0,7.0,S
2021-06-04T13:28:47,21100.0,7.0,S
2021-06-04T13:27:09,6000.0,7.0,S
2021-06-04T13:25:10,3500.0,7.1,B
2021-06-04T13:21:10,100.0,7.1,B
2021-06-04T13:19:53,1600.0,7.0,S
2021-06-04T13:17:39,600.0,7.0,S
2021-06-04T13:16:27,400.0,7.1,B
2021-06-04T13:16:25,5000.0,7.1,B
2021-06-04T13:00:20,200.0,7.1,S
2021-06-04T11:27:42,100.0,7.1,S
2021-06-04T11:27:20,1800.0,7.1,B
2021-06-04T11:24:08,4500.0,7.1,B
2021-06-04T11:23:42,1000.0,7.1,B
2021-06-04T11:17:35,3800.0,7.1,B
2021-06-04T11:17:09,300.0,7.1,B
2021-06-04T11:16:30,300.0,7.1,B
2021-06-04T11:15:36,10000.0,7.1,B
2021-06-04T11:11:17,400.0,7.1,B
2021-06-04T11:10:43,8100.0,7.1,S
2021-06-04T11:05:06,1000.0,7.2,B
2021-06-04T11:00:54,300.0,7.2,B
2021-06-04T10:56:01,1000.0,7.2,B
2021-06-04T10:54:52,5000.0,7.1,S
2021-06-04T10:53:29,300.0,7.1,S
2021-06-04T10:38:49,5000.0,7.1,S
2021-06-04T10:37:49,4200.0,7.1,S
2021-06-04T10:35:30,3500.0,7.1,S
2021-06-04T10:34:45,10000.0,7.1,S
2021-06-04T10:34:33,5000.0,7.1,S
2021-06-04T10:34:07,2200.0,7.1,S
2021-06-04T10:34:00,7900.0,7.1,S
2021-06-04T10:33:01,10000.0,7.1,S
2021-06-04T10:31:48,5000.0,7.1,S
2021-06-04T10:31:30,1500.0,7.1,S
2021-06-04T10:30:56,200.0,7.2,B
2021-06-04T10:28:28,100.0,7.1,S
2021-06-04T10:27:49,100.0,7.2,B
2021-06-04T10:25:15,1000.0,7.2,B
2021-06-04T10:24:19,1000.0,7.1,S
2021-06-04T10:22:24,5000.0,7.1,S
2021-06-04T10:14:37,300.0,7.1,S
2021-06-04T10:13:03,3000.0,7.1,S
2021-06-04T10:10:26,3100.0,7.1,S
2021-06-04T10:09:50,1000.0,7.2,B
2021-06-04T10:08:08,500.0,7.2,S
2021-06-04T10:07:07,8600.0,7.2,S
2021-06-04T10:03:14,200.0,7.2,B
2021-06-04T10:03:13,200.0,7.2,B
2021-06-04T10:01:45,3600.0,7.2,S
2021-06-04T10:01:42,12000.0,7.2,S
2021-06-04T10:01:14,2000.0,7.2,S
2021-06-04T10:00:39,2000.0,7.2,S
2021-06-04T10:00:03,2500.0,7.2,S
2021-06-04T09:53:28,10000.0,7.2,S
2021-06-04T09:45:55,5000.0,7.3,B
2021-06-04T09:45:15,2000.0,7.2,S
2021-06-04T09:44:20,200.0,7.2,S
2021-06-04T09:43:44,200.0,7.2,S
2021-06-04T09:43:29,900.0,7.2,B
2021-06-04T09:43:23,1000.0,7.2,B
2021-06-04T09:43:18,200.0,7.2,B
2021-06-04T09:42:15,900.0,7.2,B
2021-06-04T09:42:05,2900.0,7.2,S
2021-06-04T09:42:04,13900.0,7.3,B
2021-06-04T09:42:02,3000.0,7.2,S
2021-06-04T09:41:12,4000.0,7.2,S
2021-06-04T09:40:30,100.0,7.2,S
2021-06-04T09:40:03,1000.0,7.2,B
2021-06-04T09:39:56,11000.0,7.2,B
2021-06-04T09:39:48,300.0,7.1,S
2021-06-04T09:39:40,2000.0,7.2,B
2021-06-04T09:37:54,2000.0,7.2,B
2021-06-04T09:36:15,2000.0,7.2,B
2021-06-04T09:35:51,300.0,7.2,B
2021-06-04T09:35:44,45000.0,7.2,B
2021-06-04T09:27:12,1000.0,7.2,B
2021-06-04T09:26:17,2000.0,7.1,S
2021-06-04T09:23:25,2000.0,7.1,S
2021-06-04T09:21:01,200.0,7.2,B
2021-06-04T09:18:31,300.0,7.2,B
2021-06-04T09:18:10,200.0,7.2,B
2021-06-04T09:18:10,4700.0,7.2,B
2021-06-04T09:17:08,500.0,7.2,S
2021-06-04T09:16:35,300.0,7.2,S
2021-06-04T09:16:09,300.0,7.2,S
2021-06-04T09:15:43,2000.0,7.2,S
2021-06-04T09:14:49,5200.0,7.2,S
2021-06-04T09:14:25,2000.0,7.2,B
2021-06-04T09:14:14,8800.0,7.2,S
2021-06-04T09:14:12,2000.0,7.2,S
2021-06-04T09:14:03,1200.0,7.2,B
2021-06-04T09:13:51,11000.0,7.2,B
2021-06-04T09:12:58,100.0,7.2,B
2021-06-04T09:11:14,100.0,7.2,B
2021-06-04T09:10:54,300.0,7.2,S
2021-06-04T09:10:39,10000.0,7.2,S
2021-06-04T09:10:32,1000.0,7.2,S
2021-06-04T09:10:12,100.0,7.2,S
2021-06-04T09:09:39,500.0,7.2,S
2021-06-04T09:08:45,400.0,7.2,S
2021-06-04T09:08:35,1000.0,7.2,B
2021-06-04T09:08:11,2500.0,7.2,B
2021-06-04T09:05:51,10000.0,7.2,B
2021-06-04T09:00:05,1100.0,7.1,S
