tradingTime,volume,price,side
2021-06-04T14:29:20,200.0,12.6,S
2021-06-04T14:28:52,200.0,12.6,S
2021-06-04T14:28:20,1100.0,12.6,S
2021-06-04T14:28:05,200.0,12.6,S
2021-06-04T14:27:37,1900.0,12.6,B
2021-06-04T14:27:23,1900.0,12.5,S
2021-06-04T14:24:06,100.0,12.6,B
2021-06-04T14:23:44,100.0,12.6,B
2021-06-04T14:23:03,1300.0,12.6,B
2021-06-04T14:23:00,100.0,12.6,S
2021-06-04T14:20:21,100.0,12.6,B
2021-06-04T14:20:11,1900.0,12.6,S
2021-06-04T14:19:34,100.0,12.6,B
2021-06-04T14:18:55,5000.0,12.5,S
2021-06-04T14:17:57,200.0,12.6,S
2021-06-04T14:17:38,200.0,12.6,S
2021-06-04T14:17:28,200.0,12.6,S
2021-06-04T14:17:18,1200.0,12.7,B
2021-06-04T14:12:44,1000.0,12.7,B
2021-06-04T14:11:47,100.0,12.7,B
2021-06-04T14:11:30,100.0,12.7,B
2021-06-04T14:09:13,100.0,12.6,B
2021-06-04T14:08:45,100.0,12.6,B
2021-06-04T14:08:18,14800.0,12.6,S
2021-06-04T14:06:45,4100.0,12.7,S
2021-06-04T14:02:57,100.0,12.8,B
2021-06-04T14:02:25,1900.0,12.7,S
2021-06-04T14:02:09,100.0,12.8,B
2021-06-04T14:01:49,4500.0,12.7,S
2021-06-04T14:00:39,500.0,12.7,B
2021-06-04T13:57:54,100.0,12.8,B
2021-06-04T13:57:38,1000.0,12.7,B
2021-06-04T13:56:34,100.0,12.7,B
2021-06-04T13:55:46,1000.0,12.6,S
2021-06-04T13:55:24,700.0,12.7,S
2021-06-04T13:55:07,200.0,12.7,S
2021-06-04T13:53:52,200.0,12.7,S
2021-06-04T13:53:12,100.0,12.7,S
2021-06-04T13:52:51,100.0,12.7,S
2021-06-04T13:52:32,100.0,12.7,S
2021-06-04T13:52:16,100.0,12.7,S
2021-06-04T13:43:54,3900.0,12.6,S
2021-06-04T13:34:01,2900.0,12.7,B
2021-06-04T13:32:24,100.0,12.7,B
2021-06-04T13:30:18,300.0,12.6,S
2021-06-04T13:28:19,100.0,12.7,S
2021-06-04T13:28:03,100.0,12.7,S
2021-06-04T13:25:40,300.0,12.7,S
2021-06-04T13:23:35,400.0,12.7,B
2021-06-04T13:23:03,200.0,12.7,S
2021-06-04T13:22:16,100.0,12.8,B
2021-06-04T13:12:58,200.0,12.8,S
2021-06-04T13:12:41,7800.0,12.8,S
2021-06-04T13:08:12,3000.0,12.5,S
2021-06-04T13:07:16,200.0,12.6,B
2021-06-04T13:06:50,100.0,12.6,B
2021-06-04T13:06:23,300.0,12.5,S
2021-06-04T13:05:53,600.0,12.6,B
2021-06-04T13:04:53,200.0,12.6,S
2021-06-04T13:03:52,1000.0,12.5,S
2021-06-04T13:01:42,1000.0,12.5,S
2021-06-04T13:01:40,4000.0,12.5,S
2021-06-04T13:00:35,2000.0,12.7,B
2021-06-04T13:00:32,400.0,12.6,S
2021-06-04T13:00:28,100.0,12.7,B
2021-06-04T13:00:16,1300.0,12.7,B
2021-06-04T11:28:28,1300.0,12.7,S
2021-06-04T11:28:03,1000.0,12.7,S
2021-06-04T11:26:28,1200.0,12.8,B
2021-06-04T11:24:26,1000.0,12.8,B
2021-06-04T11:16:00,3000.0,12.9,B
2021-06-04T11:15:52,300.0,12.9,B
2021-06-04T11:15:27,100.0,12.9,B
2021-06-04T11:15:02,2000.0,12.7,S
2021-06-04T11:13:45,100.0,12.7,S
2021-06-04T11:05:56,100.0,12.9,B
2021-06-04T11:05:31,100.0,12.7,S
2021-06-04T11:05:21,100.0,12.8,B
2021-06-04T11:04:58,200.0,12.7,B
2021-06-04T11:04:32,100.0,12.7,B
2021-06-04T11:02:56,1000.0,12.7,S
2021-06-04T11:02:21,1000.0,12.8,S
2021-06-04T11:02:17,1000.0,12.9,B
2021-06-04T10:59:28,200.0,12.9,B
2021-06-04T10:59:02,200.0,12.9,B
2021-06-04T10:58:55,10000.0,12.9,B
2021-06-04T10:58:41,1000.0,12.8,B
2021-06-04T10:58:10,1000.0,12.8,B
2021-06-04T10:57:14,600.0,12.8,B
2021-06-04T10:55:53,600.0,12.8,S
2021-06-04T10:54:38,100.0,12.9,B
2021-06-04T10:54:01,200.0,12.9,S
2021-06-04T10:53:26,1200.0,12.9,S
2021-06-04T10:52:54,100.0,13.0,B
2021-06-04T10:52:37,6000.0,13.0,B
2021-06-04T10:50:43,1000.0,13.0,S
2021-06-04T10:50:02,200.0,13.0,S
2021-06-04T10:49:19,200.0,13.0,S
2021-06-04T10:48:59,300.0,13.0,S
2021-06-04T10:48:46,300.0,13.0,S
2021-06-04T10:48:31,1000.0,13.0,S
2021-06-04T10:47:03,200.0,13.0,S
2021-06-04T10:43:38,200.0,13.1,B
2021-06-04T10:41:17,1400.0,13.1,B
2021-06-04T10:40:43,1000.0,13.0,S
2021-06-04T10:38:47,100.0,13.0,S
2021-06-04T10:35:49,500.0,13.0,S
2021-06-04T10:34:57,500.0,13.0,S
2021-06-04T10:33:31,4000.0,13.0,S
2021-06-04T10:31:10,200.0,13.0,S
2021-06-04T10:29:04,100.0,13.0,S
2021-06-04T10:28:29,4500.0,13.0,S
2021-06-04T10:27:27,700.0,13.0,S
2021-06-04T10:26:47,4100.0,13.0,S
2021-06-04T10:26:00,1000.0,13.0,S
2021-06-04T10:25:44,1000.0,13.0,S
2021-06-04T10:25:22,1000.0,13.0,S
2021-06-04T10:24:57,500.0,13.0,S
2021-06-04T10:24:05,3000.0,13.0,S
2021-06-04T10:22:55,200.0,13.0,S
2021-06-04T10:21:55,100.0,13.1,B
2021-06-04T10:21:00,6000.0,13.0,S
2021-06-04T10:19:46,5100.0,13.0,S
2021-06-04T10:19:29,300.0,13.0,S
2021-06-04T10:18:20,800.0,13.1,S
2021-06-04T10:18:11,10000.0,13.1,S
2021-06-04T10:18:06,600.0,13.1,S
2021-06-04T10:16:42,300.0,13.1,S
2021-06-04T10:10:31,1000.0,13.1,S
2021-06-04T10:08:10,300.0,13.1,S
2021-06-04T10:06:01,900.0,13.1,S
2021-06-04T09:55:28,400.0,13.1,S
2021-06-04T09:54:49,200.0,13.1,S
2021-06-04T09:53:00,2000.0,13.1,S
2021-06-04T09:50:49,1000.0,13.2,B
2021-06-04T09:47:29,1500.0,13.2,B
2021-06-04T09:46:37,100.0,13.1,S
2021-06-04T09:46:12,100.0,13.1,S
2021-06-04T09:44:03,2000.0,13.1,S
2021-06-04T09:43:42,2900.0,13.1,S
2021-06-04T09:42:08,1000.0,13.1,S
2021-06-04T09:41:48,100.0,13.1,S
2021-06-04T09:40:09,300.0,13.1,S
2021-06-04T09:36:18,4100.0,13.2,S
2021-06-04T09:34:14,2000.0,13.2,S
2021-06-04T09:33:11,1200.0,13.2,S
2021-06-04T09:32:40,400.0,13.2,S
2021-06-04T09:32:37,2500.0,13.2,S
2021-06-04T09:32:20,500.0,13.2,S
2021-06-04T09:28:53,200.0,13.3,B
2021-06-04T09:26:11,1000.0,13.3,B
2021-06-04T09:25:37,100.0,13.2,S
2021-06-04T09:24:24,100.0,13.2,S
2021-06-04T09:23:51,400.0,13.3,B
2021-06-04T09:22:06,9900.0,13.2,B
2021-06-04T09:21:20,100.0,13.2,B
2021-06-04T09:20:42,300.0,13.1,S
2021-06-04T09:19:28,100.0,13.1,S
2021-06-04T09:19:27,3800.0,13.1,S
2021-06-04T09:19:07,800.0,13.0,S
2021-06-04T09:19:00,10000.0,13.0,S
2021-06-04T09:18:10,6200.0,13.1,S
2021-06-04T09:18:06,200.0,13.1,S
2021-06-04T09:17:50,100.0,13.1,S
2021-06-04T09:15:58,2000.0,13.1,S
2021-06-04T09:15:12,5000.0,13.1,S
2021-06-04T09:11:03,100.0,13.1,S
2021-06-04T09:09:39,200.0,13.1,S
2021-06-04T09:09:03,1000.0,13.1,S
2021-06-04T09:09:03,500.0,13.2,S
2021-06-04T09:08:57,5000.0,13.1,S
2021-06-04T09:07:40,800.0,13.1,S
2021-06-04T09:05:25,500.0,13.1,S
2021-06-04T09:04:37,200.0,13.1,S
2021-06-04T09:03:27,6900.0,13.0,S
2021-06-04T09:03:22,500.0,13.0,S
2021-06-04T09:03:21,200.0,13.0,S
2021-06-04T09:03:16,5000.0,13.0,S
2021-06-04T09:03:07,5000.0,13.0,S
2021-06-04T09:02:58,3800.0,13.0,S
2021-06-04T09:02:35,5000.0,13.0,S
2021-06-04T09:01:48,700.0,13.5,B
2021-06-04T09:00:46,800.0,13.5,B
2021-06-04T09:00:13,800.0,13.5,S
