tradingTime,volume,price,side
2021-06-04T14:29:45,5000.0,6.1,S
2021-06-04T14:29:28,1000.0,6.1,S
2021-06-04T14:29:18,300.0,6.2,B
2021-06-04T14:29:09,1000.0,6.2,B
2021-06-04T14:29:00,500.0,6.2,B
2021-06-04T14:28:40,100.0,6.2,B
2021-06-04T14:28:34,3600.0,6.1,S
2021-06-04T14:28:02,600.0,6.2,B
2021-06-04T14:27:31,100.0,6.2,B
2021-06-04T14:27:19,5000.0,6.2,B
2021-06-04T14:27:17,700.0,6.2,B
2021-06-04T14:27:14,500.0,6.2,B
2021-06-04T14:25:19,500.0,6.2,B
2021-06-04T14:24:48,19000.0,6.1,S
2021-06-04T14:24:43,1000.0,6.1,S
2021-06-04T14:24:08,100.0,6.1,S
2021-06-04T14:23:50,1500.0,6.2,B
2021-06-04T14:23:36,800.0,6.1,S
2021-06-04T14:23:31,200.0,6.2,B
2021-06-04T14:22:08,1000.0,6.1,S
2021-06-04T14:20:47,1000.0,6.1,S
2021-06-04T14:20:39,100.0,6.2,B
2021-06-04T14:20:39,100.0,6.2,B
2021-06-04T14:20:14,800.0,6.2,S
2021-06-04T14:20:11,3500.0,6.2,B
2021-06-04T14:19:44,4000.0,6.2,B
2021-06-04T14:19:24,3000.0,6.2,B
2021-06-04T14:18:50,500.0,6.2,B
2021-06-04T14:18:03,5200.0,6.1,S
2021-06-04T14:17:38,2000.0,6.2,B
2021-06-04T14:16:53,1600.0,6.2,B
2021-06-04T14:16:13,300.0,6.2,S
2021-06-04T14:16:07,18200.0,6.2,B
2021-06-04T14:15:51,1000.0,6.2,B
2021-06-04T14:15:06,100.0,6.2,B
2021-06-04T14:14:46,100.0,6.2,B
2021-06-04T14:14:31,1200.0,6.2,B
2021-06-04T14:14:11,200.0,6.2,B
2021-06-04T14:13:46,1000.0,6.2,B
2021-06-04T14:13:29,100.0,6.2,B
2021-06-04T14:13:26,6000.0,6.2,B
2021-06-04T14:12:53,200.0,6.2,B
2021-06-04T14:11:52,3000.0,6.2,B
2021-06-04T14:11:50,200.0,6.2,B
2021-06-04T14:11:37,200.0,6.2,B
2021-06-04T14:11:17,400.0,6.2,B
2021-06-04T14:10:55,3200.0,6.2,B
2021-06-04T14:10:48,5000.0,6.2,B
2021-06-04T14:10:10,100.0,6.2,B
2021-06-04T14:09:56,1000.0,6.2,B
2021-06-04T14:09:37,100.0,6.2,B
2021-06-04T14:09:35,300.0,6.2,B
2021-06-04T14:08:18,1000.0,6.1,S
