tradingTime,volume,price,side
2021-06-04T14:24:18,200.0,8.65,B
2021-06-04T14:23:44,200.0,8.65,S
2021-06-04T14:22:48,4000.0,8.66,B
2021-06-04T14:21:05,200.0,8.65,B
2021-06-04T14:20:41,300.0,8.65,B
2021-06-04T14:19:40,1000.0,8.65,S
2021-06-04T14:17:12,1000.0,8.66,B
2021-06-04T14:16:48,300.0,8.66,B
2021-06-04T14:16:37,3000.0,8.66,B
2021-06-04T14:16:02,1000.0,8.66,B
2021-06-04T14:15:23,10000.0,8.66,B
2021-06-04T14:14:22,200.0,8.66,B
2021-06-04T14:14:22,100.0,8.65,S
2021-06-04T14:13:42,100.0,8.65,S
2021-06-04T14:13:35,100.0,8.65,S
2021-06-04T14:13:10,100.0,8.65,S
2021-06-04T14:12:35,100.0,8.65,B
2021-06-04T14:12:19,100.0,8.65,B
2021-06-04T14:11:57,200.0,8.65,B
2021-06-04T14:10:29,600.0,8.65,B
2021-06-04T14:08:44,1000.0,8.65,B
2021-06-04T14:05:38,14700.0,8.6,S
2021-06-04T14:04:50,100.0,8.6,S
2021-06-04T14:04:19,700.0,8.6,S
2021-06-04T14:03:26,1000.0,8.6,B
2021-06-04T14:03:26,1100.0,8.6,B
2021-06-04T14:03:26,7400.0,8.6,B
2021-06-04T14:03:16,300.0,8.6,B
2021-06-04T14:02:58,100.0,8.6,B
2021-06-04T14:01:43,200.0,8.6,B
2021-06-04T13:59:54,1500.0,8.6,B
2021-06-04T13:58:55,10000.0,8.6,B
2021-06-04T13:55:34,5000.0,8.6,B
2021-06-04T13:54:09,6100.0,8.55,B
2021-06-04T13:54:09,4400.0,8.55,B
2021-06-04T13:51:52,500.0,8.54,S
2021-06-04T13:50:33,100.0,8.55,B
2021-06-04T13:45:39,1500.0,8.53,S
2021-06-04T13:45:08,1500.0,8.53,S
2021-06-04T13:40:46,100.0,8.53,S
2021-06-04T13:40:02,800.0,8.53,S
2021-06-04T13:39:05,200.0,8.54,S
2021-06-04T13:36:40,1500.0,8.55,B
2021-06-04T13:36:18,500.0,8.55,B
2021-06-04T13:34:39,9000.0,8.55,B
2021-06-04T13:33:08,100.0,8.54,B
2021-06-04T13:33:06,100.0,8.53,S
2021-06-04T13:32:56,100.0,8.54,B
2021-06-04T13:32:35,500.0,8.54,B
2021-06-04T13:32:14,1000.0,8.54,B
2021-06-04T13:30:54,5000.0,8.54,B
2021-06-04T13:30:29,5000.0,8.53,B
2021-06-04T13:30:10,500.0,8.53,B
2021-06-04T13:29:00,500.0,8.53,B
2021-06-04T13:28:58,8000.0,8.51,S
2021-06-04T13:27:31,500.0,8.53,B
2021-06-04T13:26:13,2900.0,8.53,B
2021-06-04T13:24:53,2500.0,8.53,B
2021-06-04T13:21:35,500.0,8.53,B
2021-06-04T13:21:20,100.0,8.53,B
2021-06-04T13:20:16,3000.0,8.51,S
2021-06-04T13:19:43,100.0,8.53,B
2021-06-04T13:17:38,200.0,8.53,B
2021-06-04T13:16:05,200.0,8.54,B
2021-06-04T13:16:05,800.0,8.53,B
2021-06-04T13:15:39,100.0,8.51,S
2021-06-04T13:14:52,900.0,8.51,S
2021-06-04T13:11:29,5000.0,8.51,S
2021-06-04T13:04:15,200.0,8.51,S
2021-06-04T13:01:45,500.0,8.54,B
2021-06-04T13:00:20,200.0,8.54,B
2021-06-04T13:00:13,100.0,8.5,S
2021-06-04T13:00:13,1100.0,8.5,S
2021-06-04T13:00:13,4100.0,8.5,S
2021-06-04T13:00:13,6300.0,8.5,S
2021-06-04T13:00:13,1000.0,8.5,S
2021-06-04T13:00:13,3000.0,8.5,S
2021-06-04T13:00:13,21800.0,8.5,S
2021-06-04T11:31:04,2000.0,8.5,S
2021-06-04T11:31:04,700.0,8.54,B
2021-06-04T11:29:01,400.0,8.54,B
2021-06-04T11:27:58,400.0,8.54,B
2021-06-04T11:27:49,200.0,8.54,B
2021-06-04T11:27:44,100.0,8.54,B
2021-06-04T11:26:46,3000.0,8.54,B
2021-06-04T11:26:20,500.0,8.54,B
2021-06-04T11:25:30,8000.0,8.5,S
2021-06-04T11:24:54,200.0,8.51,S
2021-06-04T11:24:32,500.0,8.54,B
2021-06-04T11:24:22,100.0,8.51,S
2021-06-04T11:22:55,2000.0,8.5,S
2021-06-04T11:22:30,1400.0,8.5,S
2021-06-04T11:21:25,1600.0,8.5,S
2021-06-04T11:21:13,200.0,8.55,B
2021-06-04T11:20:47,3000.0,8.5,S
2021-06-04T11:20:47,2000.0,8.51,B
2021-06-04T11:20:47,3000.0,8.55,B
2021-06-04T11:20:21,4000.0,8.51,B
2021-06-04T11:20:17,100.0,8.54,B
2021-06-04T11:20:02,2200.0,8.5,S
2021-06-04T11:20:02,1500.0,8.51,B
2021-06-04T11:20:02,300.0,8.51,B
2021-06-04T11:18:22,900.0,8.51,B
2021-06-04T11:18:04,3800.0,8.51,B
2021-06-04T11:17:28,200.0,8.51,B
2021-06-04T11:16:31,1000.0,8.51,B
2021-06-04T11:14:01,100.0,8.51,B
2021-06-04T11:11:59,6000.0,8.5,S
2021-06-04T11:10:07,100.0,8.51,B
2021-06-04T11:08:52,3000.0,8.5,S
2021-06-04T11:08:41,1000.0,8.5,S
2021-06-04T11:08:09,2200.0,8.5,S
2021-06-04T11:07:11,1000.0,8.5,S
2021-06-04T11:06:55,600.0,8.5,S
2021-06-04T11:06:00,100.0,8.51,B
2021-06-04T11:05:39,100.0,8.5,S
2021-06-04T11:05:19,2000.0,8.5,S
2021-06-04T11:04:32,1000.0,8.5,S
2021-06-04T11:04:32,400.0,8.5,S
2021-06-04T11:03:34,1200.0,8.51,B
2021-06-04T11:02:59,2800.0,8.5,S
2021-06-04T11:02:44,1700.0,8.51,B
2021-06-04T11:02:24,3000.0,8.51,B
2021-06-04T11:02:21,2000.0,8.51,B
2021-06-04T11:02:18,5000.0,8.5,S
2021-06-04T11:01:47,2800.0,8.5,S
2021-06-04T11:00:58,1700.0,8.5,S
2021-06-04T11:00:41,100.0,8.51,B
2021-06-04T10:59:48,1000.0,8.5,S
2021-06-04T10:59:22,600.0,8.51,S
2021-06-04T10:58:36,400.0,8.5,S
2021-06-04T10:58:36,2100.0,8.5,S
2021-06-04T10:58:36,3100.0,8.5,S
2021-06-04T10:58:36,300.0,8.5,S
2021-06-04T10:58:36,1400.0,8.5,S
2021-06-04T10:58:36,12700.0,8.51,S
2021-06-04T10:52:11,1900.0,8.51,S
2021-06-04T10:49:27,700.0,8.55,S
2021-06-04T10:48:54,200.0,8.6,S
2021-06-04T10:48:54,2100.0,8.6,S
2021-06-04T10:48:54,800.0,8.6,S
2021-06-04T10:48:54,9100.0,8.6,S
2021-06-04T10:47:42,100.0,8.6,S
2021-06-04T10:43:14,1000.0,8.6,S
2021-06-04T10:42:49,3000.0,8.6,S
2021-06-04T10:41:44,100.0,8.66,B
2021-06-04T10:41:16,10000.0,8.6,S
2021-06-04T10:41:05,100.0,8.65,B
2021-06-04T10:40:41,100.0,8.65,S
2021-06-04T10:38:01,1500.0,8.6,S
2021-06-04T10:37:28,100.0,8.66,B
2021-06-04T10:37:28,100.0,8.65,S
2021-06-04T10:36:34,1100.0,8.6,S
2021-06-04T10:36:34,200.0,8.6,S
2021-06-04T10:36:34,3700.0,8.6,S
2021-06-04T10:33:51,500.0,8.66,B
2021-06-04T10:33:28,1700.0,8.66,B
2021-06-04T10:31:57,100.0,8.66,S
2021-06-04T10:29:24,10700.0,8.66,S
2021-06-04T10:28:57,1300.0,8.66,S
2021-06-04T10:27:00,3300.0,8.66,S
2021-06-04T10:27:00,8000.0,8.66,S
2021-06-04T10:25:21,100.0,8.68,B
2021-06-04T10:23:34,2000.0,8.66,S
2021-06-04T10:22:49,10000.0,8.66,S
2021-06-04T10:22:17,13000.0,8.66,S
2021-06-04T10:21:34,1000.0,8.66,S
2021-06-04T10:21:05,2000.0,8.68,B
2021-06-04T10:20:46,2800.0,8.66,S
2021-06-04T10:20:46,7200.0,8.66,S
2021-06-04T10:19:27,100.0,8.68,B
2021-06-04T10:17:19,1300.0,8.66,S
2021-06-04T10:17:19,500.0,8.66,S
2021-06-04T10:17:19,8200.0,8.66,S
2021-06-04T10:12:42,100.0,8.68,S
2021-06-04T10:11:59,1500.0,8.7,B
2021-06-04T10:09:22,50000.0,8.66,S
2021-06-04T10:08:46,200.0,8.68,S
2021-06-04T10:07:42,500.0,8.7,B
2021-06-04T10:06:27,100.0,8.7,B
2021-06-04T10:06:25,300.0,8.68,S
2021-06-04T10:04:22,300.0,8.66,S
