tradingTime,volume,price,side
2021-06-08T14:31:55,100.0,13.3,S
2021-06-08T14:21:24,500.0,13.3,S
2021-06-08T14:20:35,700.0,13.4,B
2021-06-08T14:20:18,200.0,13.4,S
2021-06-08T14:15:28,500.0,13.5,S
2021-06-08T14:06:58,300.0,13.6,S
2021-06-08T13:45:58,500.0,13.6,B
2021-06-08T13:34:56,100.0,13.5,B
2021-06-08T13:31:46,400.0,13.5,S
2021-06-08T10:49:30,100.0,13.5,S
2021-06-08T10:43:12,100.0,13.6,S
2021-06-08T10:11:14,200.0,13.6,S
2021-06-08T10:10:53,100.0,13.7,S
2021-06-08T10:07:20,300.0,13.8,B
2021-06-08T10:02:30,100.0,13.7,B
2021-06-08T09:54:46,300.0,13.7,S
2021-06-08T09:50:54,200.0,13.7,S
2021-06-08T09:50:49,1500.0,13.5,S
2021-06-08T09:48:33,100.0,13.6,S
2021-06-08T09:47:38,200.0,13.6,S
2021-06-08T09:44:14,500.0,13.7,B
