tradingTime,volume,price,side
2021-06-09T14:30:00,8000.0,14.6,B
2021-06-09T14:29:44,37700.0,14.5,S
2021-06-09T14:29:34,11500.0,14.4,S
2021-06-09T14:29:33,100.0,14.4,S
2021-06-09T14:29:23,50000.0,14.5,B
2021-06-09T14:29:13,20000.0,14.4,S
2021-06-09T14:29:04,20200.0,14.4,S
2021-06-09T14:28:51,200.0,14.4,S
2021-06-09T14:28:43,500.0,14.4,S
2021-06-09T14:28:41,50000.0,14.5,B
2021-06-09T14:28:25,50000.0,14.5,B
2021-06-09T14:28:15,5000.0,14.4,S
2021-06-09T14:28:13,600.0,14.4,S
2021-06-09T14:28:04,200.0,14.4,S
2021-06-09T14:27:50,130600.0,14.5,B
2021-06-09T14:26:33,5000.0,14.6,B
2021-06-09T14:25:52,10000.0,14.6,B
2021-06-09T14:24:43,100.0,14.6,B
2021-06-09T14:24:27,10000.0,14.6,B
2021-06-09T14:24:06,20000.0,14.6,B
2021-06-09T14:23:49,1500.0,14.5,S
2021-06-09T14:23:38,20000.0,14.5,S
2021-06-09T14:23:36,4000.0,14.6,B
2021-06-09T14:22:50,4000.0,14.5,S
2021-06-09T14:22:38,3400.0,14.6,B
2021-06-09T14:21:14,3000.0,14.6,B
2021-06-09T14:20:37,5000.0,14.6,B
2021-06-09T14:20:13,2000.0,14.5,S
2021-06-09T14:19:41,7400.0,14.5,B
2021-06-09T14:19:11,3700.0,14.4,S
2021-06-09T14:18:47,10000.0,14.5,B
2021-06-09T14:16:13,11400.0,14.3,S
2021-06-09T14:15:59,20000.0,14.5,B
2021-06-09T14:15:36,500.0,14.4,S
2021-06-09T14:15:05,2900.0,14.3,S
2021-06-09T14:15:04,400.0,14.4,S
2021-06-09T14:14:56,4000.0,14.4,B
2021-06-09T14:14:18,5800.0,14.4,S
2021-06-09T14:14:15,1000.0,14.4,S
2021-06-09T14:14:13,3000.0,14.4,S
2021-06-09T14:14:06,20000.0,14.4,S
2021-06-09T14:13:56,500.0,14.4,S
2021-06-09T14:13:35,25800.0,14.5,S
2021-06-09T14:13:25,30000.0,14.5,S
2021-06-09T14:13:17,90600.0,14.6,S
2021-06-09T14:12:59,500.0,14.7,B
2021-06-09T14:12:46,74300.0,14.7,S
2021-06-09T14:12:43,2000.0,14.7,S
2021-06-09T14:12:31,4000.0,14.7,S
2021-06-09T14:12:31,5000.0,14.7,S
2021-06-09T14:12:21,200.0,14.7,S
2021-06-09T14:11:50,1600.0,14.8,S
2021-06-09T14:11:48,50000.0,14.8,S
2021-06-09T14:11:45,2900.0,14.8,S
2021-06-09T14:11:26,100.0,14.8,S
2021-06-09T14:11:17,2000.0,14.8,S
2021-06-09T14:11:13,1500.0,14.8,S
2021-06-09T14:11:09,5000.0,14.8,S
2021-06-09T14:11:08,1500.0,14.8,S
2021-06-09T14:10:53,5000.0,14.8,S
2021-06-09T14:10:33,2000.0,14.9,B
2021-06-09T14:10:32,500.0,14.8,S
2021-06-09T14:10:30,1000.0,14.8,S
2021-06-09T14:10:26,1000.0,14.8,S
2021-06-09T14:10:24,1600.0,14.8,S
2021-06-09T14:10:18,3000.0,14.8,S
2021-06-09T14:10:12,1900.0,14.8,S
2021-06-09T14:10:07,500.0,14.8,S
2021-06-09T14:09:58,100.0,14.8,S
2021-06-09T14:09:21,10000.0,14.8,S
2021-06-09T14:09:12,17000.0,14.9,S
2021-06-09T14:09:10,10000.0,14.9,S
2021-06-09T14:09:07,5000.0,14.9,S
2021-06-09T14:09:05,5000.0,14.9,S
2021-06-09T14:08:57,4900.0,14.9,S
2021-06-09T14:08:52,3000.0,14.9,S
2021-06-09T14:08:31,2900.0,14.9,S
2021-06-09T14:08:25,300.0,15.0,B
2021-06-09T14:08:17,1200.0,14.9,S
2021-06-09T14:08:09,1500.0,14.9,S
2021-06-09T14:07:55,800.0,15.0,S
2021-06-09T14:07:25,100.0,15.0,S
2021-06-09T14:07:23,1000.0,15.0,S
2021-06-09T14:07:21,1100.0,15.0,B
2021-06-09T14:07:20,900.0,15.0,B
2021-06-09T14:07:18,1100.0,15.0,S
2021-06-09T14:06:28,400.0,15.0,B
2021-06-09T14:06:21,4600.0,15.0,B
2021-06-09T14:05:57,100.0,15.0,B
2021-06-09T14:05:55,100.0,15.0,B
2021-06-09T14:05:54,100.0,15.0,B
2021-06-09T14:05:50,2000.0,15.0,B
2021-06-09T14:05:42,5000.0,15.1,B
2021-06-09T14:05:40,200.0,15.0,S
2021-06-09T14:05:33,2000.0,15.0,S
2021-06-09T14:05:30,300.0,15.0,S
2021-06-09T14:05:18,2000.0,15.1,B
2021-06-09T14:05:17,3000.0,15.0,S
2021-06-09T14:05:14,2200.0,15.1,B
2021-06-09T14:04:57,4500.0,15.0,S
2021-06-09T14:04:51,12000.0,14.9,S
2021-06-09T14:04:47,2500.0,14.9,S
2021-06-09T14:04:41,53900.0,15.0,B
2021-06-09T14:04:39,50000.0,15.0,B
2021-06-09T14:04:33,500.0,14.8,S
2021-06-09T14:03:35,2500.0,14.9,S
2021-06-09T14:03:33,500.0,14.9,S
2021-06-09T14:03:21,1100.0,14.9,S
2021-06-09T14:03:20,1500.0,15.0,B
2021-06-09T14:03:12,4000.0,14.9,S
2021-06-09T14:03:01,14900.0,14.9,B
2021-06-09T14:02:17,5000.0,14.9,B
2021-06-09T14:02:06,7000.0,14.9,B
2021-06-09T14:01:51,20000.0,14.9,B
2021-06-09T14:00:46,5000.0,14.9,B
2021-06-09T14:00:22,500.0,14.8,S
2021-06-09T14:00:12,3000.0,14.8,S
2021-06-09T14:00:06,2000.0,14.9,B
2021-06-09T14:00:00,5000.0,14.8,S
2021-06-09T13:59:55,800.0,14.8,S
2021-06-09T13:59:52,2000.0,14.8,S
2021-06-09T13:59:38,6000.0,14.8,S
2021-06-09T13:59:26,3000.0,14.8,B
2021-06-09T13:59:08,5000.0,14.8,B
2021-06-09T13:59:02,1000.0,14.7,S
2021-06-09T13:58:46,10000.0,14.8,B
2021-06-09T13:58:22,1000.0,14.7,S
2021-06-09T13:57:45,1000.0,14.8,B
2021-06-09T13:57:28,1000.0,14.7,S
2021-06-09T13:57:22,5000.0,14.8,B
2021-06-09T13:57:13,3000.0,14.7,S
2021-06-09T13:57:09,10000.0,14.7,S
2021-06-09T13:57:07,7500.0,14.7,S
2021-06-09T13:57:02,5000.0,14.7,B
2021-06-09T13:56:15,5200.0,14.7,S
2021-06-09T13:55:41,400.0,14.8,B
2021-06-09T13:55:33,1400.0,14.7,S
2021-06-09T13:55:22,15300.0,14.7,B
2021-06-09T13:55:22,1100.0,14.7,B
2021-06-09T13:54:48,200.0,14.7,B
2021-06-09T13:53:47,5000.0,14.7,B
2021-06-09T13:52:31,3900.0,14.6,B
2021-06-09T13:52:15,100.0,14.6,B
2021-06-09T13:52:02,300.0,14.6,B
2021-06-09T13:51:43,2000.0,14.6,B
2021-06-09T13:51:27,200.0,14.6,B
2021-06-09T13:51:10,3100.0,14.6,B
2021-06-09T13:50:28,5000.0,14.6,B
2021-06-09T13:50:12,10000.0,14.6,B
2021-06-09T13:49:58,5000.0,14.6,B
2021-06-09T13:48:47,100.0,14.5,S
2021-06-09T13:48:46,19800.0,14.5,S
2021-06-09T13:48:31,900.0,14.4,S
2021-06-09T13:47:49,200.0,14.4,B
2021-06-09T13:47:23,4600.0,14.4,B
2021-06-09T13:46:10,3600.0,14.4,S
2021-06-09T13:46:00,900.0,14.4,S
2021-06-09T13:44:59,100.0,14.4,S
2021-06-09T13:44:53,400.0,14.4,S
2021-06-09T13:44:52,1000.0,14.4,S
2021-06-09T13:44:27,100.0,14.4,S
2021-06-09T13:44:09,100.0,14.4,S
2021-06-09T13:44:02,100.0,14.4,S
2021-06-09T13:43:33,100.0,14.4,S
2021-06-09T13:43:29,1100.0,14.4,B
2021-06-09T13:43:25,1000.0,14.4,B
2021-06-09T13:42:53,3000.0,14.4,B
2021-06-09T13:40:35,100.0,14.4,B
2021-06-09T13:39:57,5000.0,14.4,B
2021-06-09T13:38:08,16400.0,14.4,B
2021-06-09T13:37:33,1000.0,14.3,S
2021-06-09T13:36:32,100.0,14.3,S
2021-06-09T13:36:16,13000.0,14.3,B
2021-06-09T13:35:52,400.0,14.2,B
2021-06-09T13:35:43,300.0,14.2,B
2021-06-09T13:34:47,20000.0,14.2,S
2021-06-09T13:34:33,700.0,14.2,S
2021-06-09T13:27:45,100.0,14.2,S
2021-06-09T13:27:32,500.0,14.2,S
2021-06-09T13:27:11,200.0,14.2,S
2021-06-09T13:26:21,1600.0,14.2,B
2021-06-09T13:26:14,10000.0,14.2,B
2021-06-09T13:26:13,1500.0,14.2,B
2021-06-09T13:26:11,500.0,14.1,S
2021-06-09T13:25:50,1100.0,14.1,B
2021-06-09T13:22:12,900.0,14.0,B
2021-06-09T13:21:27,700.0,14.0,B
2021-06-09T13:21:09,200.0,14.0,B
2021-06-09T13:20:55,3300.0,14.0,B
2021-06-09T13:19:49,900.0,14.0,B
2021-06-09T13:18:53,300.0,14.0,B
2021-06-09T13:18:07,2000.0,14.0,B
2021-06-09T13:17:52,8600.0,14.0,B
2021-06-09T13:17:09,500.0,14.0,B
2021-06-09T13:17:02,5000.0,14.0,B
2021-06-09T13:16:42,3000.0,14.0,B
2021-06-09T13:16:38,1000.0,14.0,B
2021-06-09T13:16:34,100.0,14.0,B
2021-06-09T13:16:07,2000.0,14.0,B
2021-06-09T13:15:35,1000.0,14.0,B
2021-06-09T13:15:04,100.0,14.0,B
2021-06-09T13:13:59,2000.0,14.0,B
2021-06-09T13:13:48,100.0,14.0,B
2021-06-09T13:13:13,2400.0,14.0,B
2021-06-09T13:07:43,8900.0,13.9,S
2021-06-09T13:04:02,1800.0,13.8,S
2021-06-09T13:02:30,500.0,13.8,S
2021-06-09T13:00:08,100.0,13.8,S
2021-06-09T13:00:06,100.0,13.9,B
2021-06-09T11:24:52,500.0,13.8,S
2021-06-09T11:21:16,500.0,13.8,S
2021-06-09T11:19:34,1000.0,13.9,S
2021-06-09T11:19:24,5000.0,13.9,S
2021-06-09T11:15:49,500.0,13.9,S
2021-06-09T11:15:39,100.0,14.0,S
2021-06-09T11:14:42,100.0,14.0,S
2021-06-09T11:13:20,500.0,14.0,S
2021-06-09T11:12:46,300.0,14.0,S
2021-06-09T11:12:09,300.0,14.1,B
2021-06-09T11:12:06,200.0,14.0,S
2021-06-09T11:11:22,100.0,14.1,B
2021-06-09T11:08:55,1000.0,14.2,B
2021-06-09T11:07:35,900.0,14.3,S
2021-06-09T11:07:26,1000.0,14.3,S
2021-06-09T11:07:22,100.0,14.3,S
2021-06-09T11:06:54,1800.0,14.3,S
2021-06-09T11:06:52,200.0,14.3,B
2021-06-09T11:06:39,1500.0,14.3,B
2021-06-09T11:06:22,700.0,14.3,S
2021-06-09T11:05:27,500.0,14.3,B
2021-06-09T11:05:05,200.0,14.4,B
2021-06-09T11:04:34,200.0,14.3,S
2021-06-09T11:04:32,300.0,14.3,S
2021-06-09T11:04:04,1000.0,14.3,S
2021-06-09T11:03:57,200.0,14.3,S
2021-06-09T11:03:44,200.0,14.3,S
2021-06-09T11:03:34,200.0,14.3,S
2021-06-09T11:03:28,7200.0,14.3,S
2021-06-09T11:03:22,1000.0,14.3,S
2021-06-09T11:02:59,500.0,14.3,S
2021-06-09T11:02:34,1000.0,14.3,S
2021-06-09T11:02:20,3100.0,14.3,S
2021-06-09T11:00:55,600.0,14.3,S
2021-06-09T11:00:34,100.0,14.3,S
2021-06-09T11:00:33,500.0,14.4,B
2021-06-09T11:00:24,100.0,14.4,B
2021-06-09T11:00:19,1000.0,14.3,S
2021-06-09T10:59:55,100.0,14.3,S
2021-06-09T10:58:38,2000.0,14.3,B
2021-06-09T10:58:25,1000.0,14.3,S
2021-06-09T10:58:17,200.0,14.4,B
2021-06-09T10:57:59,100.0,14.3,S
2021-06-09T10:57:51,1000.0,14.3,S
2021-06-09T10:57:46,4900.0,14.4,B
2021-06-09T10:57:22,500.0,14.3,S
2021-06-09T10:56:41,7400.0,14.3,B
2021-06-09T10:56:15,800.0,14.0,S
2021-06-09T10:56:08,1200.0,14.1,B
2021-06-09T10:55:00,500.0,14.0,S
2021-06-09T10:54:59,300.0,14.0,S
2021-06-09T10:54:37,1100.0,14.0,B
2021-06-09T10:54:17,500.0,14.0,B
2021-06-09T10:54:09,1000.0,14.0,B
2021-06-09T10:53:54,300.0,14.0,B
2021-06-09T10:53:32,100.0,14.0,B
2021-06-09T10:52:46,100.0,14.0,B
2021-06-09T10:52:35,1300.0,14.0,B
2021-06-09T10:52:25,2000.0,14.0,B
2021-06-09T10:51:49,100.0,14.0,B
2021-06-09T10:51:45,3000.0,14.0,B
2021-06-09T10:51:29,100.0,14.0,B
2021-06-09T10:51:07,500.0,14.0,B
2021-06-09T10:50:53,200.0,14.0,B
2021-06-09T10:50:50,2000.0,14.0,B
2021-06-09T10:50:23,500.0,14.0,B
2021-06-09T10:50:13,4000.0,14.0,B
2021-06-09T10:49:55,300.0,14.0,B
2021-06-09T10:49:45,2000.0,14.0,B
2021-06-09T10:47:05,400.0,13.9,S
2021-06-09T10:45:41,3800.0,13.9,S
2021-06-09T10:44:44,2000.0,13.9,S
2021-06-09T10:44:24,300.0,13.9,S
2021-06-09T10:42:44,1000.0,13.9,S
2021-06-09T10:42:27,2000.0,13.9,S
2021-06-09T10:41:24,2000.0,13.9,S
2021-06-09T10:40:34,2000.0,13.9,S
2021-06-09T10:40:22,5200.0,13.9,S
2021-06-09T10:40:04,1300.0,14.0,B
2021-06-09T10:39:46,2300.0,13.9,B
2021-06-09T10:39:16,900.0,13.9,S
2021-06-09T10:38:00,9600.0,13.9,S
2021-06-09T10:37:37,500.0,13.8,S
2021-06-09T10:34:18,700.0,13.9,B
2021-06-09T10:34:02,2000.0,13.8,S
2021-06-09T10:33:52,500.0,13.9,B
2021-06-09T10:33:32,1000.0,13.9,B
2021-06-09T10:33:08,300.0,13.9,B
2021-06-09T10:33:05,1000.0,13.9,B
2021-06-09T10:32:49,700.0,13.9,B
2021-06-09T10:32:37,100.0,13.9,B
2021-06-09T10:32:26,300.0,13.9,B
2021-06-09T10:32:18,500.0,13.9,B
2021-06-09T10:32:08,1700.0,13.9,B
2021-06-09T10:31:59,100.0,13.9,B
2021-06-09T10:31:29,500.0,13.9,B
2021-06-09T10:30:19,200.0,13.8,S
2021-06-09T10:30:09,2000.0,13.8,S
2021-06-09T10:29:36,300.0,13.9,B
2021-06-09T10:29:24,1000.0,13.8,S
2021-06-09T10:28:42,200.0,13.8,B
2021-06-09T10:28:32,3000.0,13.8,B
2021-06-09T10:28:15,400.0,13.8,B
2021-06-09T10:27:40,500.0,13.8,B
2021-06-09T10:27:04,200.0,13.8,B
2021-06-09T10:26:53,10000.0,13.8,B
2021-06-09T10:25:10,1000.0,13.7,S
2021-06-09T10:25:08,3000.0,13.8,B
2021-06-09T10:24:24,100.0,13.8,B
2021-06-09T10:24:23,500.0,13.8,B
