tradingTime,volume,price,side
2021-06-10T14:56:01,100.0,9.8,S
2021-06-10T14:54:01,10000.0,9.8,S
2021-06-10T14:52:46,3000.0,9.8,S
2021-06-10T14:44:36,4300.0,9.8,S
2021-06-10T14:39:51,5000.0,9.9,B
2021-06-10T14:36:51,2000.0,9.8,S
2021-06-10T14:34:56,1000.0,9.8,S
2021-06-10T14:32:26,3000.0,9.8,S
2021-06-10T14:31:16,100.0,9.8,S
2021-06-10T14:30:06,2000.0,9.8,S
2021-06-10T14:27:33,1400.0,9.8,S
2021-06-10T14:27:10,6500.0,9.8,B
2021-06-10T14:26:42,100.0,9.8,B
2021-06-10T14:26:08,1500.0,9.8,B
2021-06-10T14:24:02,400.0,9.8,B
2021-06-10T14:23:47,1000.0,9.8,B
2021-06-10T14:23:44,800.0,9.8,B
2021-06-10T14:23:40,300.0,9.8,B
2021-06-10T14:22:58,1000.0,9.8,B
2021-06-10T14:22:37,500.0,9.8,B
2021-06-10T14:22:12,300.0,9.8,B
2021-06-10T14:21:18,1000.0,9.8,B
2021-06-10T14:18:27,54700.0,9.8,S
2021-06-10T14:15:46,2300.0,9.8,B
2021-06-10T14:15:10,200.0,9.8,B
2021-06-10T14:14:55,1000.0,9.8,B
2021-06-10T14:13:34,1500.0,9.8,S
2021-06-10T14:12:32,800.0,9.8,S
2021-06-10T14:11:45,5000.0,9.8,S
2021-06-10T14:09:44,300.0,9.8,S
2021-06-10T14:06:11,300.0,9.8,S
2021-06-10T14:05:03,200.0,9.8,S
2021-06-10T14:02:56,500.0,9.8,S
2021-06-10T13:57:21,1700.0,9.9,B
2021-06-10T13:56:52,800.0,9.8,B
2021-06-10T13:52:45,100.0,9.9,B
2021-06-10T13:49:13,200.0,9.9,B
2021-06-10T13:48:47,100.0,9.8,B
2021-06-10T13:48:27,100.0,9.8,B
2021-06-10T13:47:43,100.0,9.8,B
2021-06-10T13:46:29,100.0,9.8,B
2021-06-10T13:44:39,2200.0,9.7,S
2021-06-10T13:44:39,100.0,9.9,B
2021-06-10T13:37:51,1300.0,9.7,B
2021-06-10T13:37:49,3000.0,9.7,B
2021-06-10T13:37:38,1000.0,9.7,B
2021-06-10T13:37:17,1100.0,9.7,B
2021-06-10T13:37:13,75800.0,9.7,S
2021-06-10T13:35:56,5500.0,9.8,S
2021-06-10T13:34:09,100.0,9.9,B
2021-06-10T13:31:27,1000.0,9.8,S
2021-06-10T13:30:49,500.0,9.9,B
2021-06-10T13:30:19,500.0,9.9,B
2021-06-10T13:25:58,500.0,9.9,B
2021-06-10T13:24:36,100.0,9.9,B
2021-06-10T13:20:54,2000.0,9.8,S
2021-06-10T13:20:35,10600.0,9.8,S
2021-06-10T13:20:23,200.0,9.8,S
2021-06-10T13:19:59,500.0,9.8,S
2021-06-10T13:19:32,400.0,9.8,S
2021-06-10T13:18:03,3000.0,9.8,S
2021-06-10T13:07:09,1000.0,9.9,B
2021-06-10T13:03:03,1200.0,9.9,S
2021-06-10T13:00:22,100.0,10.0,B
2021-06-10T13:00:13,10100.0,10.0,B
2021-06-10T11:24:42,300.0,10.0,B
2021-06-10T11:23:05,200.0,10.0,B
2021-06-10T11:19:43,300.0,9.9,S
2021-06-10T11:19:23,600.0,9.9,S
2021-06-10T11:18:03,200.0,9.9,S
2021-06-10T11:17:05,1100.0,9.9,B
2021-06-10T11:16:59,1100.0,9.9,B
2021-06-10T11:15:09,100.0,9.9,B
2021-06-10T11:11:54,1000.0,9.9,B
2021-06-10T11:10:59,200.0,9.9,B
2021-06-10T11:10:42,1700.0,9.9,B
2021-06-10T11:09:34,1100.0,9.9,B
2021-06-10T11:07:54,5000.0,9.9,B
2021-06-10T11:07:05,1300.0,9.9,B
2021-06-10T11:06:56,1100.0,9.9,B
2021-06-10T11:06:47,1000.0,9.9,B
2021-06-10T11:06:37,1000.0,9.9,B
2021-06-10T11:04:04,4000.0,9.8,S
2021-06-10T11:01:05,6000.0,9.8,S
2021-06-10T11:00:01,9000.0,9.8,S
2021-06-10T10:57:28,1000.0,9.8,S
2021-06-10T10:56:42,3000.0,9.8,S
2021-06-10T10:54:25,100.0,10.0,B
2021-06-10T10:52:17,3000.0,10.0,B
2021-06-10T10:52:16,200.0,9.9,B
2021-06-10T10:52:04,3500.0,9.9,B
2021-06-10T10:51:27,1000.0,9.9,B
2021-06-10T10:51:05,1000.0,9.9,B
2021-06-10T10:50:34,2700.0,9.9,S
2021-06-10T10:50:32,4000.0,9.9,S
2021-06-10T10:49:26,1000.0,9.9,S
2021-06-10T10:48:54,3000.0,9.9,S
2021-06-10T10:48:46,2000.0,9.9,B
2021-06-10T10:47:59,15000.0,9.9,B
2021-06-10T10:47:30,300.0,9.8,S
2021-06-10T10:47:02,25000.0,9.9,B
2021-06-10T10:46:14,900.0,9.8,S
2021-06-10T10:45:10,100.0,9.8,S
2021-06-10T10:42:10,1000.0,9.8,B
2021-06-10T10:41:55,900.0,9.8,S
2021-06-10T10:38:19,500.0,9.8,S
2021-06-10T10:35:29,1000.0,9.8,S
2021-06-10T10:32:08,2000.0,9.8,S
2021-06-10T10:28:29,100.0,9.9,B
2021-06-10T10:24:29,800.0,9.8,S
2021-06-10T10:24:16,2800.0,9.8,B
2021-06-10T10:23:47,1700.0,9.8,B
2021-06-10T10:20:29,500.0,9.8,B
2021-06-10T10:18:37,7000.0,9.8,S
2021-06-10T10:12:18,100.0,9.9,B
2021-06-10T10:11:31,500.0,9.8,S
2021-06-10T10:10:01,2000.0,9.8,S
2021-06-10T10:07:56,1000.0,9.9,B
2021-06-10T10:07:51,4900.0,9.8,S
2021-06-10T10:04:36,100.0,9.9,B
2021-06-10T10:03:36,100.0,9.8,B
