tradingTime,volume,price,side
2021-06-10T14:26:25,200.0,15.6,B
2021-06-10T14:25:34,500.0,15.6,B
2021-06-10T14:24:41,400.0,15.5,S
2021-06-10T14:24:29,100.0,15.5,S
2021-06-10T14:23:44,500.0,15.5,S
2021-06-10T14:21:55,200.0,15.5,S
2021-06-10T14:21:37,6900.0,15.5,B
2021-06-10T14:20:50,10000.0,15.5,B
2021-06-10T14:20:32,500.0,15.5,B
2021-06-10T14:20:01,2000.0,15.5,B
2021-06-10T14:08:10,200.0,15.4,S
2021-06-10T14:06:45,100.0,15.5,B
2021-06-10T14:05:32,500.0,15.4,S
2021-06-10T14:04:39,100.0,15.4,S
2021-06-10T14:04:36,100.0,15.4,S
2021-06-10T14:04:20,100.0,15.4,S
2021-06-10T14:04:00,1000.0,15.4,S
2021-06-10T13:59:20,200.0,15.4,S
2021-06-10T13:58:14,7800.0,15.4,S
2021-06-10T13:55:39,100.0,15.3,S
2021-06-10T13:54:37,200.0,15.3,S
2021-06-10T13:53:53,1000.0,15.3,B
2021-06-10T13:50:17,2000.0,15.3,B
2021-06-10T13:47:44,100.0,15.3,B
2021-06-10T13:44:27,3900.0,15.3,B
2021-06-10T13:35:32,100.0,15.3,B
2021-06-10T13:31:12,100.0,15.3,B
2021-06-10T13:22:06,500.0,15.2,S
2021-06-10T13:14:27,200.0,15.2,S
2021-06-10T13:12:06,800.0,15.2,S
2021-06-10T13:11:38,500.0,15.2,S
2021-06-10T13:03:42,1000.0,15.2,S
2021-06-10T11:13:30,600.0,15.3,S
2021-06-10T11:13:04,2000.0,15.3,B
2021-06-10T11:10:03,1900.0,15.2,B
2021-06-10T11:09:24,5000.0,15.2,B
2021-06-10T10:57:30,500.0,15.1,S
2021-06-10T10:57:09,200.0,15.2,B
2021-06-10T10:56:26,1000.0,15.2,B
2021-06-10T10:54:39,1800.0,15.2,B
2021-06-10T10:54:20,1000.0,15.2,B
2021-06-10T10:50:42,500.0,15.2,B
2021-06-10T10:49:45,500.0,15.2,S
2021-06-10T10:47:35,1500.0,15.2,B
2021-06-10T10:47:04,1500.0,15.2,S
2021-06-10T10:44:27,500.0,15.2,B
2021-06-10T10:43:22,500.0,15.2,S
2021-06-10T10:41:10,500.0,15.2,B
2021-06-10T10:40:53,100.0,15.2,B
2021-06-10T10:40:52,1000.0,15.1,S
2021-06-10T10:40:30,400.0,15.2,S
2021-06-10T10:34:33,5000.0,15.2,S
2021-06-10T10:29:47,1000.0,15.2,S
2021-06-10T10:29:43,1000.0,15.2,S
2021-06-10T10:29:40,1000.0,15.2,S
2021-06-10T10:28:54,5000.0,15.2,S
2021-06-10T10:21:43,100.0,15.3,B
2021-06-10T10:14:41,400.0,15.4,S
2021-06-10T10:12:56,3000.0,15.4,S
2021-06-10T10:11:35,1000.0,15.4,S
2021-06-10T10:10:46,1000.0,15.4,B
2021-06-10T10:10:07,10000.0,15.3,S
2021-06-10T10:07:58,1800.0,15.4,B
2021-06-10T10:06:24,3100.0,15.3,B
2021-06-10T10:05:22,200.0,15.2,S
2021-06-10T10:01:05,4400.0,15.2,B
2021-06-10T09:57:24,600.0,15.2,S
2021-06-10T09:53:13,100.0,15.2,S
2021-06-10T09:52:39,200.0,15.2,B
2021-06-10T09:51:51,2700.0,15.2,S
2021-06-10T09:51:26,1000.0,15.2,S
2021-06-10T09:51:16,400.0,15.2,S
2021-06-10T09:48:23,1000.0,15.2,S
2021-06-10T09:48:01,100.0,15.2,S
2021-06-10T09:46:42,2000.0,15.2,S
2021-06-10T09:46:01,1000.0,15.3,S
2021-06-10T09:41:15,1000.0,15.3,S
2021-06-10T09:26:28,100.0,15.4,B
2021-06-10T09:18:46,100.0,15.4,B
2021-06-10T09:10:19,200.0,15.4,S
2021-06-10T09:06:17,500.0,15.4,S
2021-06-10T09:01:53,200.0,15.4,S
