tradingTime,volume,price,side
2021-06-11T14:30:42,1000.0,36.25,B
2021-06-11T14:27:47,100.0,36.25,B
2021-06-11T14:27:11,400.0,36.2,S
2021-06-11T14:25:08,200.0,36.2,S
2021-06-11T14:21:38,500.0,36.25,B
2021-06-11T14:20:29,500.0,36.25,B
2021-06-11T14:15:08,1400.0,36.25,S
2021-06-11T14:11:59,1300.0,36.25,S
2021-06-11T14:11:43,200.0,36.3,B
2021-06-11T14:10:21,100.0,36.3,B
2021-06-11T14:10:03,200.0,36.3,B
2021-06-11T14:09:49,200.0,36.3,B
2021-06-11T14:07:20,100.0,36.25,S
2021-06-11T14:04:58,100.0,36.25,S
2021-06-11T14:04:29,2300.0,36.25,B
2021-06-11T14:02:33,100.0,36.25,B
2021-06-11T14:02:32,100.0,36.25,B
2021-06-11T14:01:40,1300.0,36.25,B
2021-06-11T14:00:19,100.0,36.25,B
2021-06-11T13:58:55,400.0,36.25,S
2021-06-11T13:58:31,100.0,36.3,B
2021-06-11T13:57:27,100.0,36.25,B
2021-06-11T13:55:57,900.0,36.25,B
2021-06-11T13:55:57,100.0,36.25,B
2021-06-11T13:54:04,9500.0,36.0,S
2021-06-11T13:51:10,500.0,36.0,S
2021-06-11T13:43:09,100.0,36.25,S
2021-06-11T13:38:25,100.0,36.2,B
2021-06-11T13:38:24,3800.0,36.2,B
2021-06-11T13:34:55,100.0,35.85,S
2021-06-11T13:32:43,100.0,36.0,B
2021-06-11T13:25:59,3000.0,36.0,S
2021-06-11T13:25:59,100.0,36.0,S
2021-06-11T13:25:59,100.0,36.05,S
2021-06-11T13:21:41,300.0,36.15,B
2021-06-11T13:19:14,300.0,36.15,S
2021-06-11T13:11:33,1000.0,36.15,B
2021-06-11T13:08:52,500.0,36.0,S
2021-06-11T11:25:43,100.0,36.0,S
2021-06-11T11:18:34,300.0,36.0,S
2021-06-11T11:06:18,100.0,35.9,B
2021-06-11T11:04:37,100.0,35.9,B
2021-06-11T11:02:32,100.0,35.9,S
2021-06-11T10:55:48,100.0,36.15,B
2021-06-11T10:53:25,500.0,35.8,S
2021-06-11T10:37:27,300.0,36.2,B
2021-06-11T10:17:34,100.0,35.7,B
2021-06-11T10:16:24,100.0,35.75,B
2021-06-11T10:16:00,100.0,35.75,S
2021-06-11T10:15:09,500.0,35.8,S
2021-06-11T10:13:42,200.0,35.85,S
2021-06-11T09:42:16,1200.0,36.4,B
2021-06-11T09:41:09,600.0,36.2,B
2021-06-11T09:28:59,200.0,36.2,B
2021-06-11T09:28:59,300.0,36.2,B
2021-06-11T09:21:34,500.0,36.2,B
2021-06-11T09:21:08,700.0,36.15,B
