tradingTime,volume,price,side
2021-06-14T14:28:19,10000.0,6.83,B
2021-06-14T14:26:58,3000.0,6.83,B
2021-06-14T14:26:50,500.0,6.83,B
2021-06-14T14:26:39,100.0,6.82,S
2021-06-14T14:26:25,15000.0,6.83,B
2021-06-14T14:26:16,200.0,6.82,S
2021-06-14T14:25:42,1000.0,6.82,B
2021-06-14T14:25:42,2000.0,6.82,B
2021-06-14T14:25:40,300.0,6.82,B
2021-06-14T14:25:35,500.0,6.82,B
2021-06-14T14:25:32,100.0,6.82,B
2021-06-14T14:25:20,10000.0,6.82,B
2021-06-14T14:24:43,1500.0,6.82,B
2021-06-14T14:24:07,1500.0,6.82,B
2021-06-14T14:23:56,100.0,6.82,B
2021-06-14T14:23:49,900.0,6.82,B
2021-06-14T14:23:33,100.0,6.82,B
2021-06-14T14:23:08,500.0,6.82,B
2021-06-14T14:22:55,6500.0,6.8,S
2021-06-14T14:22:43,2500.0,6.82,B
2021-06-14T14:22:37,1000.0,6.82,S
2021-06-14T14:22:32,1000.0,6.81,S
2021-06-14T14:22:05,6000.0,6.82,S
2021-06-14T14:21:10,4000.0,6.82,S
2021-06-14T14:21:10,1100.0,6.82,S
2021-06-14T14:20:30,1000.0,6.83,B
2021-06-14T14:20:27,100.0,6.82,S
2021-06-14T14:19:46,100.0,6.83,B
2021-06-14T14:18:28,3000.0,6.83,S
2021-06-14T14:18:17,1000.0,6.83,S
2021-06-14T14:18:17,5200.0,6.83,S
2021-06-14T14:18:17,200.0,6.84,B
2021-06-14T14:18:03,100.0,6.83,S
2021-06-14T14:17:39,5000.0,6.83,S
2021-06-14T14:17:35,1000.0,6.83,S
2021-06-14T14:17:25,400.0,6.83,S
2021-06-14T14:17:25,4600.0,6.83,S
2021-06-14T14:16:06,500.0,6.83,S
2021-06-14T14:15:39,500.0,6.85,B
2021-06-14T14:15:27,4000.0,6.85,B
2021-06-14T14:15:10,1000.0,6.85,B
2021-06-14T14:14:39,1000.0,6.85,B
2021-06-14T14:13:56,100.0,6.84,S
