tradingTime,volume,price,side
2021-06-14T14:27:14,5000.0,10.45,B
2021-06-14T14:25:39,1000.0,10.45,B
2021-06-14T14:25:00,1000.0,10.4,S
2021-06-14T14:21:13,200.0,10.4,S
2021-06-14T14:20:24,200.0,10.4,S
2021-06-14T14:20:14,1300.0,10.4,S
2021-06-14T14:20:00,1000.0,10.4,S
2021-06-14T14:18:48,300.0,10.4,S
2021-06-14T14:17:04,200.0,10.4,S
2021-06-14T14:16:53,300.0,10.4,S
2021-06-14T14:15:50,500.0,10.4,S
2021-06-14T14:15:36,2500.0,10.4,S
2021-06-14T14:15:36,100.0,10.4,S
2021-06-14T14:15:36,1100.0,10.4,S
2021-06-14T14:15:36,200.0,10.4,S
2021-06-14T14:15:36,1500.0,10.4,S
2021-06-14T14:15:36,4600.0,10.4,S
2021-06-14T14:15:01,1000.0,10.4,S
2021-06-14T14:14:45,2000.0,10.45,B
2021-06-14T14:14:00,1000.0,10.4,S
2021-06-14T14:10:46,1000.0,10.4,S
2021-06-14T14:10:04,2000.0,10.4,S
2021-06-14T14:09:51,200.0,10.4,S
2021-06-14T14:09:46,100.0,10.45,B
2021-06-14T14:09:22,2000.0,10.4,S
2021-06-14T14:09:05,700.0,10.4,S
2021-06-14T14:08:19,600.0,10.4,S
2021-06-14T14:05:01,100.0,10.45,B
2021-06-14T14:04:59,200.0,10.4,S
2021-06-14T14:03:27,3700.0,10.4,S
2021-06-14T14:03:27,300.0,10.4,S
2021-06-14T14:03:20,100.0,10.4,S
2021-06-14T14:01:39,2000.0,10.45,B
2021-06-14T14:01:15,200.0,10.45,B
2021-06-14T14:00:44,100.0,10.45,B
2021-06-14T13:58:35,1000.0,10.4,S
2021-06-14T13:56:31,100.0,10.45,B
2021-06-14T13:55:33,1000.0,10.45,B
2021-06-14T13:55:05,200.0,10.4,S
2021-06-14T13:55:05,100.0,10.4,S
2021-06-14T13:55:05,9300.0,10.4,S
2021-06-14T13:55:05,2000.0,10.4,S
2021-06-14T13:51:49,2000.0,10.45,B
2021-06-14T13:51:48,100.0,10.4,S
2021-06-14T13:50:43,3200.0,10.45,S
2021-06-14T13:50:07,5000.0,10.45,S
2021-06-14T13:48:43,9500.0,10.45,S
2021-06-14T13:48:38,100.0,10.45,S
2021-06-14T13:47:56,2600.0,10.45,S
2021-06-14T13:47:55,200.0,10.45,S
2021-06-14T13:47:55,200.0,10.45,S
2021-06-14T13:45:20,10300.0,10.45,S
2021-06-14T13:44:43,5000.0,10.45,S
2021-06-14T13:44:22,100.0,10.45,S
2021-06-14T13:44:22,1100.0,10.45,S
2021-06-14T13:44:22,2000.0,10.45,S
2021-06-14T13:44:22,100.0,10.45,S
2021-06-14T13:44:22,1600.0,10.45,S
2021-06-14T13:44:22,3000.0,10.45,S
2021-06-14T13:44:22,2100.0,10.45,S
2021-06-14T13:42:52,100.0,10.5,B
2021-06-14T13:40:07,1000.0,10.5,B
2021-06-14T13:36:11,1000.0,10.45,S
2021-06-14T13:36:06,9300.0,10.5,S
2021-06-14T13:36:02,3000.0,10.5,S
2021-06-14T13:35:45,2700.0,10.5,S
2021-06-14T13:35:45,2300.0,10.5,S
2021-06-14T13:35:19,2000.0,10.5,S
2021-06-14T13:33:40,100.0,10.5,S
2021-06-14T13:33:16,200.0,10.5,S
2021-06-14T13:31:19,100.0,10.5,B
2021-06-14T13:31:07,5000.0,10.5,B
2021-06-14T13:30:02,500.0,10.5,B
2021-06-14T13:28:44,100.0,10.5,B
2021-06-14T13:28:31,100.0,10.5,B
2021-06-14T13:28:20,300.0,10.5,B
2021-06-14T13:26:54,100.0,10.5,B
2021-06-14T13:26:47,100.0,10.5,B
2021-06-14T13:26:47,900.0,10.5,B
2021-06-14T13:24:38,100.0,10.5,B
2021-06-14T13:24:00,1000.0,10.5,B
2021-06-14T13:23:31,2800.0,10.5,B
2021-06-14T13:23:31,1500.0,10.5,B
2021-06-14T13:23:31,2900.0,10.5,B
2021-06-14T13:23:31,900.0,10.5,B
2021-06-14T13:22:18,200.0,10.45,S
2021-06-14T13:22:01,1000.0,10.5,B
2021-06-14T13:20:41,2000.0,10.5,B
2021-06-14T13:18:50,1000.0,10.5,B
2021-06-14T13:15:27,1000.0,10.5,B
2021-06-14T13:14:34,5000.0,10.5,B
2021-06-14T13:14:25,1000.0,10.5,B
2021-06-14T13:13:54,300.0,10.5,B
2021-06-14T13:13:41,2000.0,10.5,B
2021-06-14T13:13:05,1000.0,10.5,B
2021-06-14T13:12:16,500.0,10.5,B
2021-06-14T13:11:20,2000.0,10.5,B
2021-06-14T13:11:15,500.0,10.5,B
2021-06-14T13:10:47,1000.0,10.5,B
2021-06-14T13:08:50,10000.0,10.5,B
2021-06-14T13:08:24,2000.0,10.45,S
2021-06-14T13:07:46,1000.0,10.5,B
2021-06-14T13:06:03,100.0,10.5,B
2021-06-14T13:04:16,500.0,10.5,B
2021-06-14T13:00:34,1000.0,10.5,B
2021-06-14T13:00:27,500.0,10.5,B
2021-06-14T13:00:25,3000.0,10.5,B
2021-06-14T13:00:23,200.0,10.5,B
2021-06-14T11:29:49,3000.0,10.5,B
2021-06-14T11:27:33,1000.0,10.5,B
2021-06-14T11:25:18,200.0,10.45,S
2021-06-14T11:25:16,100.0,10.5,B
2021-06-14T11:23:57,3800.0,10.45,S
2021-06-14T11:18:36,1000.0,10.5,B
2021-06-14T11:17:46,1000.0,10.5,B
2021-06-14T11:16:33,400.0,10.5,S
2021-06-14T11:16:33,38300.0,10.5,S
2021-06-14T11:13:13,100.0,10.6,B
2021-06-14T11:11:49,2700.0,10.5,B
2021-06-14T11:11:43,800.0,10.5,B
2021-06-14T11:11:43,4200.0,10.5,B
2021-06-14T11:10:26,2000.0,10.45,S
2021-06-14T11:08:14,1000.0,10.45,S
2021-06-14T10:58:58,1000.0,10.5,B
2021-06-14T10:58:26,1000.0,10.45,S
2021-06-14T10:57:30,200.0,10.5,B
2021-06-14T10:53:56,100.0,10.5,S
2021-06-14T10:52:58,900.0,10.5,S
2021-06-14T10:50:40,1500.0,10.5,S
2021-06-14T10:48:59,400.0,10.6,B
2021-06-14T10:48:39,100.0,10.5,S
2021-06-14T10:48:16,300.0,10.5,S
2021-06-14T10:45:44,300.0,10.5,S
2021-06-14T10:45:43,3700.0,10.5,S
2021-06-14T10:43:40,5400.0,10.5,S
2021-06-14T10:43:40,100.0,10.55,S
2021-06-14T10:43:24,900.0,10.6,B
2021-06-14T10:41:01,5100.0,10.6,B
2021-06-14T10:37:29,100.0,10.6,B
2021-06-14T10:36:50,1000.0,10.6,B
2021-06-14T10:36:13,1900.0,10.6,B
2021-06-14T10:36:13,100.0,10.6,B
2021-06-14T10:36:13,6100.0,10.6,B
2021-06-14T10:36:13,1500.0,10.6,B
2021-06-14T10:36:13,700.0,10.6,B
2021-06-14T10:36:13,2700.0,10.6,B
2021-06-14T10:36:13,600.0,10.6,B
2021-06-14T10:36:13,1500.0,10.6,B
2021-06-14T10:36:13,1200.0,10.6,B
2021-06-14T10:36:13,100.0,10.6,B
2021-06-14T10:36:13,4000.0,10.6,B
2021-06-14T10:36:13,1000.0,10.6,B
2021-06-14T10:36:13,5300.0,10.6,B
2021-06-14T10:36:13,1000.0,10.6,B
2021-06-14T10:36:13,2300.0,10.6,B
2021-06-14T10:32:07,100.0,10.6,B
2021-06-14T10:29:05,100.0,10.6,B
2021-06-14T10:28:18,200.0,10.6,B
2021-06-14T10:27:13,1000.0,10.6,B
2021-06-14T10:25:39,100.0,10.6,B
2021-06-14T10:24:32,2000.0,10.6,B
2021-06-14T10:23:00,28900.0,10.5,B
2021-06-14T10:22:44,5000.0,10.5,B
2021-06-14T10:21:16,1700.0,10.45,S
2021-06-14T10:21:16,1300.0,10.45,S
2021-06-14T10:20:35,100.0,10.45,S
2021-06-14T10:19:20,10000.0,10.45,S
2021-06-14T10:18:37,500.0,10.45,S
2021-06-14T10:15:34,1100.0,10.45,S
2021-06-14T10:13:53,3400.0,10.45,S
2021-06-14T10:13:50,1000.0,10.45,S
2021-06-14T10:13:13,600.0,10.45,S
2021-06-14T10:11:58,900.0,10.45,S
2021-06-14T10:10:16,2000.0,10.45,S
2021-06-14T10:09:28,100.0,10.45,S
2021-06-14T10:08:34,1900.0,10.45,S
2021-06-14T10:07:17,300.0,10.45,S
2021-06-14T10:06:42,100.0,10.45,S
2021-06-14T10:05:30,1000.0,10.5,B
2021-06-14T10:05:21,5000.0,10.45,S
2021-06-14T10:05:05,100.0,10.45,S
2021-06-14T10:04:55,100.0,10.45,S
2021-06-14T10:04:28,600.0,10.45,S
2021-06-14T10:04:19,200.0,10.5,B
2021-06-14T10:04:14,500.0,10.45,S
2021-06-14T10:04:07,1100.0,10.45,S
2021-06-14T10:04:02,10000.0,10.45,S
2021-06-14T10:02:54,700.0,10.45,S
2021-06-14T10:02:00,1000.0,10.45,S
2021-06-14T10:00:56,2500.0,10.5,S
2021-06-14T09:59:15,200.0,10.5,S
2021-06-14T09:58:20,400.0,10.5,S
2021-06-14T09:57:22,3000.0,10.5,S
2021-06-14T09:55:39,100.0,10.5,S
2021-06-14T09:53:57,200.0,10.5,S
2021-06-14T09:53:01,5900.0,10.5,S
2021-06-14T09:52:45,100.0,10.5,S
2021-06-14T09:52:44,700.0,10.5,S
2021-06-14T09:52:20,100.0,10.5,S
2021-06-14T09:52:16,1000.0,10.5,S
2021-06-14T09:52:14,200.0,10.5,S
2021-06-14T09:52:14,2500.0,10.5,S
2021-06-14T09:52:14,800.0,10.5,S
2021-06-14T09:51:45,100.0,10.5,S
2021-06-14T09:51:06,100.0,10.5,S
2021-06-14T09:50:19,400.0,10.5,S
2021-06-14T09:49:43,600.0,10.5,S
2021-06-14T09:49:42,400.0,10.5,S
2021-06-14T09:47:40,1800.0,10.6,B
2021-06-14T09:47:29,100.0,10.5,S
2021-06-14T09:41:58,1000.0,10.6,B
2021-06-14T09:41:29,400.0,10.5,S
2021-06-14T09:41:26,100.0,10.6,B
2021-06-14T09:40:45,1000.0,10.6,B
2021-06-14T09:40:20,500.0,10.5,S
2021-06-14T09:40:04,1100.0,10.5,S
2021-06-14T09:39:50,100.0,10.6,B
2021-06-14T09:28:18,2300.0,10.6,S
2021-06-14T09:26:49,5000.0,10.6,S
2021-06-14T09:26:26,800.0,10.6,S
2021-06-14T09:26:17,300.0,10.6,S
2021-06-14T09:26:16,200.0,10.6,S
2021-06-14T09:26:09,100.0,10.7,B
2021-06-14T09:25:01,1000.0,10.6,S
2021-06-14T09:23:47,1000.0,10.6,S
2021-06-14T09:23:46,4800.0,10.6,S
2021-06-14T09:21:18,100.0,10.6,S
2021-06-14T09:20:56,2000.0,10.6,S
2021-06-14T09:19:01,5000.0,10.6,S
2021-06-14T09:17:46,4000.0,10.6,S
2021-06-14T09:17:35,2000.0,10.7,B
2021-06-14T09:17:35,100.0,10.65,S
