tradingTime,volume,price,side
2021-06-16T14:19:10,100.0,36.0,S
2021-06-16T14:18:35,100.0,36.0,S
2021-06-16T14:14:35,1000.0,36.0,S
2021-06-16T14:13:56,200.0,36.0,S
2021-06-16T14:12:42,10000.0,36.0,S
2021-06-16T14:11:25,500.0,36.2,S
2021-06-16T14:08:02,100.0,36.2,S
2021-06-16T14:06:17,2000.0,36.2,S
2021-06-16T14:05:49,5000.0,36.3,S
2021-06-16T14:05:06,1200.0,36.3,S
2021-06-16T14:03:27,200.0,36.5,B
2021-06-16T14:03:27,500.0,36.4,S
2021-06-16T14:02:31,100.0,36.4,S
2021-06-16T13:54:38,100.0,36.5,B
2021-06-16T13:52:40,500.0,36.4,S
2021-06-16T13:43:14,600.0,36.3,S
2021-06-16T13:40:35,300.0,36.3,S
2021-06-16T13:37:54,100.0,36.3,S
2021-06-16T13:37:43,100.0,36.3,S
2021-06-16T13:36:53,100.0,36.4,S
2021-06-16T13:30:51,1000.0,36.5,B
2021-06-16T13:24:18,300.0,36.4,S
2021-06-16T13:23:15,800.0,36.4,S
2021-06-16T13:18:21,100.0,36.3,S
2021-06-16T13:17:35,100.0,36.4,B
2021-06-16T13:17:02,300.0,36.4,S
2021-06-16T13:16:59,500.0,36.4,S
2021-06-16T13:07:57,100.0,36.5,B
2021-06-16T13:03:30,100.0,36.5,B
2021-06-16T11:29:56,600.0,36.4,S
2021-06-16T11:24:16,1000.0,36.4,S
2021-06-16T11:17:20,5400.0,36.5,S
2021-06-16T11:14:21,100.0,36.5,B
2021-06-16T11:11:48,1000.0,36.5,B
2021-06-16T11:10:17,1000.0,36.5,B
2021-06-16T11:06:35,300.0,36.5,B
2021-06-16T11:06:03,100.0,36.5,B
2021-06-16T11:02:08,100.0,36.5,B
2021-06-16T11:02:01,200.0,36.5,B
2021-06-16T11:00:33,2600.0,36.5,S
2021-06-16T10:58:57,600.0,36.7,B
2021-06-16T10:58:09,100.0,36.7,S
2021-06-16T10:57:37,200.0,36.8,B
2021-06-16T10:52:51,600.0,36.8,B
2021-06-16T10:52:20,200.0,36.8,B
2021-06-16T10:52:09,2600.0,36.8,B
2021-06-16T10:51:01,100.0,36.7,S
2021-06-16T10:49:28,200.0,36.7,S
2021-06-16T10:45:16,100.0,36.4,S
2021-06-16T10:41:27,400.0,36.4,B
2021-06-16T10:39:59,100.0,36.4,B
2021-06-16T10:39:15,2500.0,36.4,S
2021-06-16T10:39:12,100.0,36.4,S
2021-06-16T10:39:02,200.0,36.4,S
2021-06-16T10:38:15,700.0,36.4,S
2021-06-16T10:31:34,400.0,36.4,S
2021-06-16T10:28:00,1000.0,36.3,S
2021-06-16T10:27:10,1800.0,36.3,S
2021-06-16T10:25:28,100.0,36.4,B
2021-06-16T10:24:49,1000.0,36.4,B
2021-06-16T10:22:40,100.0,36.3,S
2021-06-16T10:15:39,100.0,36.3,B
2021-06-16T10:15:24,1900.0,36.3,S
2021-06-16T10:14:03,200.0,36.4,S
2021-06-16T10:13:25,1000.0,36.5,B
2021-06-16T10:03:10,400.0,36.3,B
2021-06-16T10:00:45,100.0,36.3,B
2021-06-16T10:00:20,100.0,36.3,B
2021-06-16T10:00:18,600.0,36.3,S
2021-06-16T09:57:28,100.0,36.2,S
2021-06-16T09:52:49,100.0,36.2,S
2021-06-16T09:52:49,200.0,36.2,S
2021-06-16T09:51:03,500.0,36.3,S
2021-06-16T09:49:11,200.0,36.3,B
2021-06-16T09:48:28,200.0,36.3,S
2021-06-16T09:48:22,200.0,36.4,B
2021-06-16T09:47:00,500.0,36.4,S
2021-06-16T09:46:56,500.0,36.5,B
2021-06-16T09:46:09,300.0,36.5,S
2021-06-16T09:45:56,4000.0,36.5,S
2021-06-16T09:45:10,500.0,36.5,S
2021-06-16T09:43:31,3400.0,36.5,S
2021-06-16T09:43:02,100.0,36.6,S
2021-06-16T09:37:47,500.0,36.8,B
2021-06-16T09:37:19,4200.0,36.8,S
2021-06-16T09:37:12,200.0,37.0,B
2021-06-16T09:32:29,100.0,37.0,B
2021-06-16T09:32:13,200.0,37.0,B
2021-06-16T09:32:04,500.0,36.9,S
2021-06-16T09:29:05,100.0,36.9,B
2021-06-16T09:26:27,900.0,36.9,B
2021-06-16T09:25:22,600.0,36.9,S
2021-06-16T09:24:49,200.0,36.9,S
2021-06-16T09:22:47,2700.0,37.0,S
2021-06-16T09:21:40,100.0,37.0,B
2021-06-16T09:21:05,100.0,37.0,B
2021-06-16T09:19:07,300.0,37.0,B
2021-06-16T09:18:06,4100.0,37.0,B
2021-06-16T09:18:03,100.0,36.9,S
2021-06-16T09:17:50,500.0,36.9,S
2021-06-16T09:17:04,1200.0,36.9,S
2021-06-16T09:16:31,300.0,36.9,B
2021-06-16T09:14:32,500.0,36.9,S
2021-06-16T09:14:03,300.0,37.0,B
2021-06-16T09:13:43,1100.0,37.0,B
2021-06-16T09:13:34,200.0,36.9,B
2021-06-16T09:12:31,800.0,36.9,S
2021-06-16T09:08:54,100.0,36.9,S
2021-06-16T09:08:32,500.0,37.0,B
2021-06-16T09:07:56,300.0,36.9,B
2021-06-16T09:06:32,400.0,36.8,S
2021-06-16T09:04:53,700.0,36.8,B
2021-06-16T09:02:27,100.0,36.7,S
2021-06-16T09:00:34,500.0,36.8,B
2021-06-16T09:00:22,200.0,36.8,S
2021-06-16T09:00:20,500.0,37.0,B
