tradingTime,volume,price,side
2021-06-16T14:21:33,1000.0,10.7,S
2021-06-16T14:21:21,8000.0,10.7,S
2021-06-16T14:20:29,1900.0,10.7,S
2021-06-16T14:20:21,10000.0,10.7,S
2021-06-16T14:19:19,15000.0,10.7,S
2021-06-16T14:19:12,100.0,10.7,S
2021-06-16T14:18:55,100.0,10.7,S
2021-06-16T14:17:45,300.0,10.7,S
2021-06-16T14:16:29,10000.0,10.7,S
2021-06-16T14:15:33,6000.0,10.7,S
2021-06-16T14:14:09,100.0,10.7,S
2021-06-16T14:13:46,100.0,10.7,S
2021-06-16T14:13:40,100.0,10.8,B
2021-06-16T14:13:15,23400.0,10.7,S
2021-06-16T14:13:07,2000.0,10.8,B
2021-06-16T14:12:58,500.0,10.8,B
2021-06-16T14:12:48,500.0,10.8,B
2021-06-16T14:11:40,100.0,10.8,B
2021-06-16T14:11:11,2000.0,10.8,B
2021-06-16T14:10:45,500.0,10.8,B
2021-06-16T14:10:07,200.0,10.7,S
2021-06-16T14:09:14,5000.0,10.7,S
2021-06-16T14:08:50,200.0,10.7,S
2021-06-16T14:08:49,1000.0,10.8,B
2021-06-16T14:07:56,1000.0,10.7,S
2021-06-16T14:07:33,400.0,10.7,S
2021-06-16T14:06:29,1500.0,10.7,S
2021-06-16T14:06:14,5000.0,10.7,S
2021-06-16T14:06:11,200.0,10.8,B
2021-06-16T14:06:07,5000.0,10.7,S
2021-06-16T14:05:14,3300.0,10.8,S
2021-06-16T14:04:52,100.0,10.8,S
2021-06-16T14:04:44,3300.0,10.9,B
2021-06-16T14:04:42,2000.0,10.8,S
2021-06-16T14:04:39,200.0,10.8,S
2021-06-16T14:03:42,1000.0,10.8,S
2021-06-16T14:02:55,2000.0,10.8,S
2021-06-16T14:02:46,300.0,10.8,S
2021-06-16T14:02:25,200.0,10.8,S
2021-06-16T14:01:56,5100.0,10.8,S
2021-06-16T14:01:03,7600.0,10.8,B
2021-06-16T14:00:31,800.0,10.8,B
2021-06-16T13:59:36,1000.0,10.8,B
2021-06-16T13:59:05,2900.0,10.8,B
2021-06-16T13:59:01,800.0,10.8,B
2021-06-16T13:57:40,3600.0,10.8,S
2021-06-16T13:57:28,2200.0,10.8,S
2021-06-16T13:57:14,1000.0,10.8,S
2021-06-16T13:57:10,400.0,10.8,S
2021-06-16T13:57:02,12000.0,10.8,S
2021-06-16T13:56:55,500.0,10.8,S
2021-06-16T13:56:42,300.0,10.8,S
2021-06-16T13:56:25,3000.0,10.8,S
2021-06-16T13:56:09,9700.0,10.8,S
2021-06-16T13:55:39,2000.0,10.8,S
2021-06-16T13:55:38,3000.0,10.8,S
2021-06-16T13:55:25,500.0,10.9,B
2021-06-16T13:55:02,500.0,10.9,B
2021-06-16T13:54:51,2000.0,10.9,B
2021-06-16T13:54:01,2000.0,10.9,B
2021-06-16T13:53:47,17200.0,10.8,S
2021-06-16T13:53:32,100.0,10.8,S
2021-06-16T13:53:22,500.0,10.8,S
2021-06-16T13:53:01,200.0,10.8,S
2021-06-16T13:52:32,100.0,10.8,S
2021-06-16T13:52:29,5000.0,10.9,B
2021-06-16T13:52:06,200.0,10.8,S
2021-06-16T13:51:14,100.0,10.8,S
2021-06-16T13:51:03,500.0,10.8,S
2021-06-16T13:50:30,200.0,10.9,B
2021-06-16T13:49:38,1000.0,10.8,S
2021-06-16T13:49:21,3300.0,10.8,S
2021-06-16T13:48:53,1300.0,10.8,S
2021-06-16T13:48:32,300.0,10.9,B
2021-06-16T13:47:16,300.0,10.9,B
2021-06-16T13:46:52,100.0,10.9,B
2021-06-16T13:46:10,1000.0,10.8,S
2021-06-16T13:45:10,1000.0,10.8,S
2021-06-16T13:44:42,1000.0,10.8,S
2021-06-16T13:44:34,5100.0,10.8,S
2021-06-16T13:44:17,200.0,10.8,S
2021-06-16T13:43:56,1000.0,10.9,B
2021-06-16T13:43:17,1000.0,10.8,S
2021-06-16T13:42:44,100.0,10.8,S
2021-06-16T13:42:44,100.0,10.9,B
2021-06-16T13:42:05,100.0,10.8,S
2021-06-16T13:41:29,4100.0,10.8,B
2021-06-16T13:41:27,1000.0,10.8,B
2021-06-16T13:41:22,5000.0,10.8,B
2021-06-16T13:41:14,200.0,10.8,B
2021-06-16T13:41:11,2000.0,10.8,B
2021-06-16T13:41:10,100.0,10.8,B
2021-06-16T13:41:05,2000.0,10.8,B
2021-06-16T13:41:04,5000.0,10.8,B
2021-06-16T13:40:51,20000.0,10.8,B
2021-06-16T13:40:50,500.0,10.8,B
2021-06-16T13:40:37,500.0,10.8,B
2021-06-16T13:40:31,100.0,10.8,B
2021-06-16T13:40:24,3000.0,10.8,B
2021-06-16T13:40:21,500.0,10.8,B
2021-06-16T13:40:11,100.0,10.8,B
2021-06-16T13:40:07,500.0,10.8,B
2021-06-16T13:40:05,5000.0,10.8,B
2021-06-16T13:39:53,2000.0,10.8,B
2021-06-16T13:39:47,17300.0,10.8,B
2021-06-16T13:39:28,9900.0,10.8,B
2021-06-16T13:39:24,2000.0,10.8,B
2021-06-16T13:39:15,900.0,10.8,B
2021-06-16T13:39:11,1000.0,10.8,B
2021-06-16T13:39:09,300.0,10.8,B
2021-06-16T13:38:59,2000.0,10.8,B
2021-06-16T13:38:53,1600.0,10.8,B
2021-06-16T13:38:48,4800.0,10.8,B
2021-06-16T13:38:43,2000.0,10.8,B
2021-06-16T13:38:40,3000.0,10.8,B
2021-06-16T13:38:40,100.0,10.8,B
2021-06-16T13:38:40,5000.0,10.8,B
2021-06-16T13:38:26,5000.0,10.8,B
2021-06-16T13:37:58,20000.0,10.8,B
2021-06-16T13:37:50,1000.0,10.8,B
2021-06-16T13:37:44,1000.0,10.7,S
2021-06-16T13:37:07,1000.0,10.8,B
2021-06-16T13:36:54,2000.0,10.8,B
2021-06-16T13:36:14,200.0,10.8,B
2021-06-16T13:36:09,100.0,10.8,B
2021-06-16T13:35:53,10000.0,10.8,B
2021-06-16T13:35:42,200.0,10.8,B
2021-06-16T13:35:31,3000.0,10.8,B
2021-06-16T13:35:22,800.0,10.8,B
2021-06-16T13:34:55,200.0,10.8,B
2021-06-16T13:34:32,5500.0,10.8,B
2021-06-16T13:34:11,2000.0,10.8,B
2021-06-16T13:33:06,100.0,10.8,B
2021-06-16T13:32:38,500.0,10.8,B
2021-06-16T13:32:37,200.0,10.8,B
2021-06-16T13:32:20,1000.0,10.8,B
2021-06-16T13:32:19,50000.0,10.8,B
2021-06-16T13:32:10,100.0,10.8,B
2021-06-16T13:31:20,500.0,10.8,B
2021-06-16T13:31:15,500.0,10.7,S
2021-06-16T13:30:58,3000.0,10.8,B
2021-06-16T13:29:38,10000.0,10.8,B
2021-06-16T13:29:37,1700.0,10.8,B
2021-06-16T13:28:54,1100.0,10.8,B
2021-06-16T13:28:46,1700.0,10.8,B
2021-06-16T13:26:41,500.0,10.8,B
2021-06-16T13:26:10,500.0,10.8,B
2021-06-16T13:26:05,100.0,10.7,S
2021-06-16T13:25:23,300.0,10.7,S
2021-06-16T13:24:37,100.0,10.7,S
2021-06-16T13:23:48,100.0,10.8,B
2021-06-16T13:23:46,200.0,10.8,B
2021-06-16T13:23:41,3000.0,10.8,B
2021-06-16T13:23:29,300.0,10.8,B
2021-06-16T13:23:26,200.0,10.8,B
2021-06-16T13:23:17,200.0,10.8,B
2021-06-16T13:23:11,2000.0,10.8,B
2021-06-16T13:23:10,100.0,10.8,B
2021-06-16T13:22:43,2000.0,10.8,B
2021-06-16T13:22:32,1000.0,10.8,B
2021-06-16T13:22:23,2000.0,10.8,B
2021-06-16T13:22:02,4000.0,10.8,B
2021-06-16T13:21:33,200.0,10.8,B
2021-06-16T13:21:16,100.0,10.8,B
2021-06-16T13:21:12,6000.0,10.7,S
2021-06-16T13:21:10,500.0,10.8,B
2021-06-16T13:21:07,2000.0,10.8,B
2021-06-16T13:20:35,2000.0,10.8,B
2021-06-16T13:20:32,3000.0,10.8,B
2021-06-16T13:20:14,100.0,10.7,S
2021-06-16T13:18:17,200.0,10.7,S
2021-06-16T13:18:11,3000.0,10.7,S
2021-06-16T13:17:30,200.0,10.7,S
2021-06-16T13:17:19,600.0,10.7,S
2021-06-16T13:17:17,2000.0,10.7,S
2021-06-16T13:16:42,5000.0,10.7,S
2021-06-16T13:16:19,1000.0,10.7,S
2021-06-16T13:15:46,1000.0,10.7,S
2021-06-16T13:15:16,400.0,10.7,S
2021-06-16T13:14:51,1000.0,10.7,S
2021-06-16T13:14:15,5000.0,10.8,B
2021-06-16T13:14:06,500.0,10.8,B
2021-06-16T13:13:54,2000.0,10.8,B
2021-06-16T13:11:33,1000.0,10.8,B
2021-06-16T13:09:34,100.0,10.8,B
2021-06-16T13:09:02,500.0,10.7,S
2021-06-16T13:06:45,1000.0,10.7,S
2021-06-16T13:06:19,300.0,10.7,S
2021-06-16T13:06:12,700.0,10.7,S
2021-06-16T13:06:09,300.0,10.7,B
2021-06-16T13:06:00,500.0,10.7,B
2021-06-16T13:05:52,200.0,10.7,B
2021-06-16T13:05:49,5000.0,10.7,B
2021-06-16T13:05:46,2000.0,10.7,B
2021-06-16T13:05:40,1000.0,10.7,B
2021-06-16T13:05:19,3900.0,10.7,B
2021-06-16T13:05:11,10800.0,10.7,B
2021-06-16T13:04:46,20000.0,10.7,B
2021-06-16T13:03:48,1000.0,10.7,B
2021-06-16T13:02:43,3000.0,10.7,B
2021-06-16T13:02:32,500.0,10.7,B
2021-06-16T13:01:42,100.0,10.7,B
2021-06-16T13:01:31,3000.0,10.7,B
2021-06-16T13:01:01,5000.0,10.7,B
2021-06-16T13:00:29,1000.0,10.7,B
2021-06-16T13:00:29,500.0,10.7,B
2021-06-16T13:00:12,500.0,10.7,B
2021-06-16T13:00:12,5000.0,10.7,B
2021-06-16T11:28:29,200.0,10.7,B
2021-06-16T11:26:52,1000.0,10.6,S
2021-06-16T11:26:15,100.0,10.6,S
2021-06-16T11:22:53,200.0,10.6,S
2021-06-16T11:22:48,5000.0,10.6,S
2021-06-16T11:22:44,200.0,10.6,S
2021-06-16T11:16:20,1000.0,10.6,S
2021-06-16T11:15:51,1200.0,10.7,B
2021-06-16T11:14:43,2500.0,10.7,B
2021-06-16T11:13:49,1000.0,10.7,B
2021-06-16T11:11:27,1400.0,10.6,S
2021-06-16T11:11:08,1300.0,10.7,B
2021-06-16T11:09:25,3000.0,10.6,S
2021-06-16T11:09:03,900.0,10.6,S
2021-06-16T11:07:55,800.0,10.6,S
2021-06-16T11:07:41,1000.0,10.6,S
2021-06-16T11:07:22,300.0,10.6,S
2021-06-16T11:07:22,1000.0,10.6,S
2021-06-16T11:07:08,500.0,10.6,S
2021-06-16T11:06:58,5000.0,10.6,S
2021-06-16T11:06:09,800.0,10.6,S
2021-06-16T11:05:40,100.0,10.6,S
2021-06-16T11:04:25,500.0,10.6,S
2021-06-16T11:04:11,600.0,10.6,S
2021-06-16T11:02:10,10000.0,10.6,S
2021-06-16T11:02:01,20000.0,10.6,S
2021-06-16T11:01:43,900.0,10.7,B
2021-06-16T11:00:33,1000.0,10.7,B
2021-06-16T10:59:46,500.0,10.7,B
2021-06-16T10:59:11,2000.0,10.7,B
2021-06-16T10:58:57,3800.0,10.7,B
2021-06-16T10:58:52,300.0,10.7,B
2021-06-16T10:58:45,2000.0,10.7,B
2021-06-16T10:58:16,3000.0,10.7,B
2021-06-16T10:57:54,1900.0,10.7,B
2021-06-16T10:57:52,1600.0,10.7,B
2021-06-16T10:57:52,100.0,10.7,B
2021-06-16T10:57:12,5000.0,10.7,B
2021-06-16T10:55:28,200.0,10.6,S
2021-06-16T10:51:43,5500.0,10.6,S
2021-06-16T10:50:53,1900.0,10.6,B
2021-06-16T10:50:51,1000.0,10.6,B
2021-06-16T10:50:45,15000.0,10.6,B
2021-06-16T10:50:40,1000.0,10.6,B
2021-06-16T10:50:23,3000.0,10.6,B
2021-06-16T10:50:05,100.0,10.6,B
2021-06-16T10:48:13,3000.0,10.5,S
2021-06-16T10:47:26,200.0,10.5,S
2021-06-16T10:47:23,1000.0,10.6,B
2021-06-16T10:46:57,3000.0,10.6,B
2021-06-16T10:46:49,500.0,10.6,B
2021-06-16T10:46:32,1000.0,10.6,B
2021-06-16T10:46:06,100.0,10.6,B
2021-06-16T10:45:27,200.0,10.6,B
2021-06-16T10:44:02,500.0,10.6,B
2021-06-16T10:43:45,6600.0,10.6,B
2021-06-16T10:43:04,200.0,10.6,B
2021-06-16T10:43:01,5000.0,10.6,B
2021-06-16T10:42:45,200.0,10.6,B
2021-06-16T10:42:42,1000.0,10.6,B
2021-06-16T10:42:36,2000.0,10.6,B
2021-06-16T10:42:09,3000.0,10.6,B
2021-06-16T10:41:46,5000.0,10.5,S
2021-06-16T10:41:26,100.0,10.5,S
2021-06-16T10:40:12,100.0,10.5,S
2021-06-16T10:39:39,500.0,10.5,S
2021-06-16T10:38:15,400.0,10.5,S
2021-06-16T10:38:04,100.0,10.5,S
2021-06-16T10:37:55,1000.0,10.5,S
2021-06-16T10:37:40,2500.0,10.5,S
2021-06-16T10:37:15,900.0,10.5,S
2021-06-16T10:37:06,1700.0,10.5,S
2021-06-16T10:36:49,500.0,10.5,S
2021-06-16T10:36:10,4300.0,10.5,S
2021-06-16T10:36:04,1000.0,10.5,S
2021-06-16T10:34:33,1400.0,10.5,S
2021-06-16T10:33:15,200.0,10.5,B
2021-06-16T10:33:12,400.0,10.5,S
2021-06-16T10:33:00,500.0,10.5,S
2021-06-16T10:33:00,200.0,10.5,B
2021-06-16T10:32:48,800.0,10.5,S
2021-06-16T10:32:39,1700.0,10.5,S
2021-06-16T10:31:54,1000.0,10.5,S
2021-06-16T10:31:21,1500.0,10.5,B
2021-06-16T10:31:13,700.0,10.5,B
2021-06-16T10:31:05,300.0,10.5,B
2021-06-16T10:31:02,1200.0,10.5,S
2021-06-16T10:30:41,3300.0,10.5,S
2021-06-16T10:30:39,1600.0,10.5,B
2021-06-16T10:30:10,100.0,10.5,B
2021-06-16T10:30:08,1300.0,10.5,S
2021-06-16T10:29:40,500.0,10.5,S
2021-06-16T10:29:03,2000.0,10.5,S
2021-06-16T10:29:01,900.0,10.5,S
2021-06-16T10:28:06,3200.0,10.5,B
2021-06-16T10:27:44,100.0,10.5,B
