tradingTime,volume,price,side
2021-06-16T14:21:46,7100.0,24.8,S
2021-06-16T14:19:25,1000.0,24.8,S
2021-06-16T14:19:12,500.0,24.8,S
2021-06-16T14:18:53,1500.0,24.8,S
2021-06-16T14:16:37,200.0,24.8,S
2021-06-16T14:16:29,1000.0,24.8,S
2021-06-16T14:15:36,1000.0,24.8,S
2021-06-16T14:06:21,100.0,24.9,B
2021-06-16T14:01:18,8600.0,24.9,S
2021-06-16T14:00:49,5000.0,24.9,S
2021-06-16T14:00:43,2000.0,24.9,S
2021-06-16T13:59:36,1900.0,24.9,S
2021-06-16T13:58:09,300.0,24.9,S
2021-06-16T13:57:24,1000.0,24.9,S
2021-06-16T13:55:42,400.0,24.9,S
2021-06-16T13:55:07,1000.0,24.9,S
2021-06-16T13:51:00,1000.0,25.0,B
2021-06-16T13:45:56,8300.0,24.9,B
2021-06-16T13:45:35,9900.0,24.8,S
2021-06-16T13:45:07,8700.0,24.7,S
2021-06-16T13:45:05,300.0,24.7,B
2021-06-16T13:42:29,1000.0,24.7,B
2021-06-16T13:41:03,300.0,24.7,B
2021-06-16T13:39:05,100.0,24.7,B
2021-06-16T13:35:01,1300.0,24.6,B
2021-06-16T13:34:53,3000.0,24.6,B
2021-06-16T13:33:19,200.0,24.6,B
2021-06-16T13:33:08,200.0,24.6,B
2021-06-16T13:32:42,500.0,24.6,B
2021-06-16T13:31:54,500.0,24.6,B
2021-06-16T13:31:00,200.0,24.6,B
2021-06-16T13:29:44,1000.0,24.6,B
2021-06-16T13:29:30,1000.0,24.6,B
2021-06-16T13:27:39,1500.0,24.6,B
2021-06-16T13:25:29,5000.0,24.6,B
2021-06-16T13:22:59,2000.0,24.5,S
2021-06-16T13:22:05,100.0,24.6,S
2021-06-16T13:20:04,100.0,24.6,B
2021-06-16T13:19:46,400.0,24.6,B
2021-06-16T13:19:22,100.0,24.6,B
2021-06-16T13:19:14,200.0,24.5,S
2021-06-16T13:18:49,200.0,24.6,B
2021-06-16T13:18:29,300.0,24.6,B
2021-06-16T13:17:51,1000.0,24.6,B
2021-06-16T13:17:37,100.0,24.6,B
2021-06-16T13:17:20,4500.0,24.6,B
2021-06-16T13:11:29,600.0,24.5,B
2021-06-16T13:11:24,100.0,24.5,S
2021-06-16T13:11:16,400.0,24.5,S
2021-06-16T13:10:57,1600.0,24.5,S
2021-06-16T13:08:15,500.0,24.5,S
2021-06-16T13:06:08,700.0,24.5,S
2021-06-16T13:02:33,100.0,24.5,S
2021-06-16T13:02:16,200.0,24.5,S
2021-06-16T11:29:39,200.0,24.5,B
2021-06-16T11:26:29,100.0,24.5,B
2021-06-16T11:25:55,100.0,24.5,B
2021-06-16T11:23:39,1000.0,24.5,B
2021-06-16T11:23:14,300.0,24.5,B
2021-06-16T11:22:51,1000.0,24.5,B
2021-06-16T11:22:31,500.0,24.5,B
2021-06-16T11:22:13,100.0,24.5,B
2021-06-16T11:21:34,100.0,24.5,B
2021-06-16T11:21:16,19800.0,24.5,B
2021-06-16T11:20:05,400.0,24.6,B
2021-06-16T11:19:15,500.0,24.6,B
2021-06-16T11:18:55,300.0,24.6,B
2021-06-16T11:15:26,100.0,24.6,B
2021-06-16T11:15:24,100.0,24.6,B
2021-06-16T11:12:10,500.0,24.6,B
2021-06-16T11:11:45,100.0,24.6,B
2021-06-16T11:11:44,100.0,24.6,B
2021-06-16T11:11:43,100.0,24.6,B
2021-06-16T11:11:39,1200.0,24.6,B
2021-06-16T11:11:35,100.0,24.6,B
2021-06-16T11:11:08,800.0,24.6,B
2021-06-16T11:10:26,500.0,24.5,S
2021-06-16T11:07:49,5000.0,24.5,S
2021-06-16T11:05:53,100.0,24.6,B
2021-06-16T11:05:38,1000.0,24.6,B
2021-06-16T11:01:31,5800.0,24.6,S
2021-06-16T10:55:46,2000.0,24.8,B
2021-06-16T10:54:23,300.0,24.8,B
2021-06-16T10:53:51,1000.0,24.8,B
2021-06-16T10:53:39,8700.0,24.8,B
2021-06-16T10:52:58,8600.0,24.7,B
2021-06-16T10:52:51,500.0,24.7,B
2021-06-16T10:51:21,400.0,24.7,B
2021-06-16T10:51:06,500.0,24.7,S
2021-06-16T10:50:49,1500.0,24.7,B
2021-06-16T10:50:24,5000.0,24.7,B
2021-06-16T10:49:38,3200.0,24.6,B
2021-06-16T10:49:36,200.0,24.6,B
2021-06-16T10:49:31,1100.0,24.6,B
2021-06-16T10:49:28,100.0,24.6,B
2021-06-16T10:49:21,200.0,24.6,B
2021-06-16T10:49:19,3400.0,24.6,B
2021-06-16T10:48:45,1000.0,24.6,B
2021-06-16T10:48:02,100.0,24.6,B
2021-06-16T10:47:59,700.0,24.6,B
2021-06-16T10:47:40,2800.0,24.6,B
2021-06-16T10:47:14,1200.0,24.6,S
2021-06-16T10:47:07,1600.0,24.6,B
2021-06-16T10:47:05,200.0,24.6,B
2021-06-16T10:46:48,1000.0,24.6,B
2021-06-16T10:46:46,100.0,24.6,B
2021-06-16T10:46:20,3600.0,24.6,B
2021-06-16T10:46:17,500.0,24.6,B
2021-06-16T10:45:59,2000.0,24.6,S
2021-06-16T10:45:06,1000.0,24.6,B
2021-06-16T10:44:59,200.0,24.6,B
2021-06-16T10:44:34,400.0,24.5,S
2021-06-16T10:44:11,800.0,24.6,B
2021-06-16T10:43:37,1000.0,24.6,B
2021-06-16T10:43:19,200.0,24.6,B
2021-06-16T10:43:07,2000.0,24.6,B
2021-06-16T10:41:54,100.0,24.6,B
2021-06-16T10:40:49,200.0,24.6,B
2021-06-16T10:40:03,1000.0,24.6,B
2021-06-16T10:39:31,3800.0,24.6,S
2021-06-16T10:37:42,4300.0,24.6,S
2021-06-16T10:35:52,1000.0,24.6,B
2021-06-16T10:35:41,500.0,24.5,S
2021-06-16T10:34:47,1000.0,24.6,B
2021-06-16T10:33:33,1000.0,24.6,B
2021-06-16T10:33:23,7800.0,24.5,S
2021-06-16T10:33:10,700.0,24.5,S
2021-06-16T10:33:06,3600.0,24.5,B
2021-06-16T10:33:05,15700.0,24.5,S
2021-06-16T10:32:00,100.0,24.6,B
2021-06-16T10:30:02,300.0,24.5,S
2021-06-16T10:28:20,3000.0,24.5,S
2021-06-16T10:26:56,200.0,24.5,S
2021-06-16T10:26:27,500.0,24.5,S
2021-06-16T10:24:39,1800.0,24.5,S
2021-06-16T10:24:30,2100.0,24.6,B
2021-06-16T10:23:39,1000.0,24.6,B
2021-06-16T10:23:29,300.0,24.6,B
2021-06-16T10:22:37,300.0,24.6,B
2021-06-16T10:22:16,3000.0,24.6,B
2021-06-16T10:21:47,100.0,24.6,B
2021-06-16T10:19:17,500.0,24.6,B
2021-06-16T10:18:31,400.0,24.5,S
2021-06-16T10:17:24,3000.0,24.5,S
2021-06-16T10:16:23,300.0,24.6,B
2021-06-16T10:15:48,100.0,24.6,B
2021-06-16T10:14:48,200.0,24.6,B
2021-06-16T10:14:39,100.0,24.6,B
2021-06-16T10:13:36,300.0,24.6,B
2021-06-16T10:12:31,100.0,24.6,B
2021-06-16T10:11:25,1000.0,24.6,B
2021-06-16T10:10:50,2000.0,24.6,B
2021-06-16T10:10:09,1000.0,24.6,B
2021-06-16T10:09:19,1000.0,24.6,B
2021-06-16T10:08:23,100.0,24.6,B
2021-06-16T10:08:12,5100.0,24.6,S
2021-06-16T10:07:52,1100.0,24.6,B
2021-06-16T10:07:31,800.0,24.5,S
2021-06-16T10:07:24,200.0,24.6,B
2021-06-16T10:06:56,200.0,24.6,B
2021-06-16T10:06:41,1500.0,24.6,B
2021-06-16T10:06:18,100.0,24.6,B
2021-06-16T10:06:05,800.0,24.6,B
2021-06-16T10:05:18,100.0,24.6,B
2021-06-16T10:04:59,100.0,24.6,B
2021-06-16T10:04:43,11000.0,24.6,S
2021-06-16T10:04:39,600.0,24.7,B
2021-06-16T10:04:11,1900.0,24.7,S
2021-06-16T10:04:09,1200.0,24.7,B
2021-06-16T10:03:49,500.0,24.7,B
2021-06-16T10:03:43,8300.0,24.7,S
2021-06-16T10:02:58,1100.0,24.7,S
2021-06-16T10:02:06,7600.0,24.7,S
2021-06-16T10:01:52,100.0,24.7,S
2021-06-16T10:01:17,100.0,24.8,B
2021-06-16T10:00:47,2000.0,24.8,B
2021-06-16T10:00:29,23200.0,24.8,S
2021-06-16T10:00:24,11700.0,24.9,S
2021-06-16T10:00:18,100.0,25.0,B
2021-06-16T10:00:07,5000.0,25.0,B
2021-06-16T09:59:25,87500.0,25.0,S
2021-06-16T09:59:22,100.0,25.1,S
2021-06-16T09:59:20,500.0,25.1,S
2021-06-16T09:58:37,20000.0,25.1,S
2021-06-16T09:57:24,200.0,25.2,B
2021-06-16T09:55:49,300.0,25.2,B
2021-06-16T09:52:40,2200.0,25.2,S
2021-06-16T09:51:09,4000.0,25.3,B
2021-06-16T09:50:33,5800.0,25.2,B
2021-06-16T09:49:56,3500.0,25.2,S
2021-06-16T09:49:14,500.0,25.2,B
2021-06-16T09:49:02,3600.0,25.2,B
2021-06-16T09:48:49,1500.0,25.2,B
2021-06-16T09:48:44,4600.0,25.1,B
2021-06-16T09:48:36,300.0,25.0,S
2021-06-16T09:48:29,100.0,25.1,B
2021-06-16T09:46:35,1000.0,25.0,S
2021-06-16T09:46:03,1000.0,25.0,S
2021-06-16T09:46:01,100.0,25.0,S
2021-06-16T09:44:46,13100.0,25.0,S
2021-06-16T09:44:12,100.0,25.0,S
2021-06-16T09:40:41,500.0,25.0,S
2021-06-16T09:40:40,1000.0,25.1,B
2021-06-16T09:40:27,30000.0,25.0,S
2021-06-16T09:39:55,1000.0,25.0,S
2021-06-16T09:39:39,22200.0,25.0,S
2021-06-16T09:38:50,100.0,25.0,S
2021-06-16T09:38:33,2000.0,25.1,B
2021-06-16T09:38:32,10000.0,25.0,S
2021-06-16T09:38:27,200.0,25.1,B
2021-06-16T09:38:19,1000.0,25.0,S
