tradingTime,volume,price,side
2021-06-23T14:22:25,1000.0,14.5,B
2021-06-23T14:20:18,4000.0,14.4,S
2021-06-23T14:04:04,1100.0,14.45,S
2021-06-23T14:04:04,1700.0,14.45,S
2021-06-23T13:58:27,1000.0,14.45,S
2021-06-23T13:53:40,1000.0,14.45,S
2021-06-23T13:34:43,400.0,14.5,B
2021-06-23T13:32:44,200.0,14.5,B
2021-06-23T13:14:57,100.0,14.5,B
2021-06-23T13:14:57,400.0,14.5,B
2021-06-23T13:04:43,500.0,14.5,B
2021-06-23T11:23:01,1000.0,14.6,B
2021-06-23T11:19:17,100.0,14.6,S
2021-06-23T11:11:49,700.0,14.45,S
2021-06-23T11:11:49,300.0,14.5,S
2021-06-23T11:11:34,1700.0,14.5,S
2021-06-23T10:57:28,100.0,14.55,S
2021-06-23T10:55:59,400.0,14.55,S
2021-06-23T10:51:17,500.0,14.55,S
2021-06-23T10:45:19,1000.0,14.55,B
2021-06-23T10:44:57,1200.0,14.55,B
2021-06-23T10:44:43,1500.0,14.55,B
2021-06-23T10:44:29,1300.0,14.55,B
2021-06-23T10:44:08,2000.0,14.55,S
2021-06-23T10:44:00,300.0,14.55,S
2021-06-23T10:44:00,800.0,14.55,S
2021-06-23T10:19:22,100.0,14.6,B
2021-06-23T10:11:15,500.0,14.55,B
2021-06-23T10:05:46,500.0,14.55,B
2021-06-23T10:05:17,1200.0,14.55,B
2021-06-23T10:05:08,1300.0,14.55,B
2021-06-23T10:04:51,2000.0,14.55,B
2021-06-23T10:01:15,500.0,14.55,S
2021-06-23T10:01:01,100.0,14.55,S
2021-06-23T10:00:59,400.0,14.55,S
2021-06-23T09:59:11,100.0,14.55,S
2021-06-23T09:58:54,1000.0,14.55,S
2021-06-23T09:56:22,1000.0,14.55,B
2021-06-23T09:56:10,2000.0,14.55,S
2021-06-23T09:56:05,4000.0,14.55,S
2021-06-23T09:54:51,100.0,14.6,B
2021-06-23T09:54:05,200.0,14.6,B
2021-06-23T09:45:41,100.0,14.6,B
2021-06-23T09:43:46,700.0,14.5,B
2021-06-23T09:43:30,500.0,14.5,B
2021-06-23T09:43:13,500.0,14.5,B
2021-06-23T09:42:55,300.0,14.5,S
2021-06-23T09:42:43,1000.0,14.5,S
2021-06-23T09:42:19,2000.0,14.5,S
2021-06-23T09:37:18,100.0,14.5,B
2021-06-23T09:31:00,200.0,14.45,S
2021-06-23T09:30:30,100.0,14.5,B
2021-06-23T09:23:52,100.0,14.5,B
2021-06-23T09:22:34,1600.0,14.5,B
2021-06-23T09:22:34,1900.0,14.5,B
2021-06-23T09:22:34,1200.0,14.5,B
2021-06-23T09:22:33,1800.0,14.5,B
2021-06-23T09:22:33,2200.0,14.5,B
2021-06-23T09:22:33,1800.0,14.5,B
2021-06-23T09:21:38,500.0,14.5,S
