tradingTime,volume,price,side
2021-06-25T14:29:47,4400.0,21.7,B
2021-06-25T14:21:55,100.0,21.6,B
2021-06-25T14:13:35,100.0,21.6,S
2021-06-25T14:12:57,1400.0,21.6,B
2021-06-25T14:11:31,100.0,21.5,B
2021-06-25T14:11:29,3000.0,21.4,S
2021-06-25T14:11:16,300.0,21.5,S
2021-06-25T14:10:12,900.0,21.5,B
2021-06-25T14:10:11,5000.0,21.45,S
2021-06-25T14:09:09,1100.0,21.5,S
2021-06-25T14:01:13,1600.0,21.6,S
2021-06-25T14:01:06,200.0,21.7,B
2021-06-25T14:00:32,3400.0,21.6,B
2021-06-25T14:00:19,5900.0,21.5,B
2021-06-25T13:57:33,100.0,21.4,S
2021-06-25T13:57:08,3000.0,21.4,S
2021-06-25T13:57:03,4000.0,21.35,S
2021-06-25T13:49:18,200.0,21.5,B
2021-06-25T13:47:33,2300.0,21.3,S
2021-06-25T13:46:14,2600.0,21.4,B
2021-06-25T13:46:04,500.0,21.4,B
2021-06-25T13:45:59,1000.0,21.25,S
2021-06-25T13:45:58,2000.0,21.25,S
2021-06-25T13:45:53,5000.0,21.25,S
2021-06-25T13:40:06,1600.0,21.4,B
2021-06-25T13:39:53,1300.0,21.35,B
2021-06-25T13:37:58,2000.0,21.2,S
2021-06-25T13:34:03,900.0,21.2,S
2021-06-25T13:34:03,1100.0,21.25,S
2021-06-25T13:33:01,2200.0,21.3,B
2021-06-25T13:30:28,7800.0,21.3,S
2021-06-25T13:27:06,100.0,21.4,S
2021-06-25T13:26:53,2900.0,21.4,B
2021-06-25T13:22:53,100.0,21.4,B
2021-06-25T13:22:14,3300.0,21.4,B
2021-06-25T13:18:16,100.0,21.4,S
2021-06-25T13:14:03,100.0,21.4,S
2021-06-25T13:13:51,400.0,21.4,B
2021-06-25T13:13:42,7000.0,21.4,B
2021-06-25T13:13:42,2400.0,21.4,B
2021-06-25T13:09:44,900.0,21.4,S
2021-06-25T13:08:43,100.0,21.4,S
2021-06-25T13:08:34,100.0,21.4,S
2021-06-25T13:08:24,1400.0,21.4,B
2021-06-25T13:08:16,400.0,21.3,B
2021-06-25T13:08:15,4600.0,21.3,S
2021-06-25T13:07:00,1200.0,21.4,B
2021-06-25T13:06:56,3000.0,21.4,B
2021-06-25T13:06:46,2400.0,21.3,B
2021-06-25T13:06:11,1000.0,21.3,B
2021-06-25T13:04:08,2400.0,21.3,B
2021-06-25T11:29:16,2000.0,21.3,B
2021-06-25T11:27:56,200.0,21.3,B
2021-06-25T11:23:19,2800.0,21.3,S
2021-06-25T11:22:19,2200.0,21.3,S
2021-06-25T11:15:55,3800.0,21.3,B
2021-06-25T11:11:31,200.0,21.3,S
2021-06-25T11:08:25,400.0,21.3,S
2021-06-25T11:08:15,100.0,21.3,S
2021-06-25T11:07:35,2000.0,21.3,S
2021-06-25T11:01:49,1500.0,21.4,S
2021-06-25T10:49:00,200.0,21.5,B
2021-06-25T10:47:29,3000.0,21.4,B
2021-06-25T10:47:27,100.0,21.3,S
2021-06-25T10:46:32,900.0,21.3,B
2021-06-25T10:46:11,500.0,21.3,B
2021-06-25T10:45:31,5000.0,21.3,B
2021-06-25T10:44:42,1900.0,21.2,S
2021-06-25T10:44:33,1000.0,21.2,S
2021-06-25T10:44:02,3000.0,21.2,S
2021-06-25T10:41:28,7000.0,21.2,S
2021-06-25T10:38:23,600.0,21.3,S
2021-06-25T10:37:08,1400.0,21.3,S
2021-06-25T10:36:39,400.0,21.3,S
2021-06-25T10:36:39,900.0,21.3,S
2021-06-25T10:35:36,3900.0,21.4,B
2021-06-25T10:35:23,700.0,21.3,B
2021-06-25T10:35:22,6300.0,21.3,S
2021-06-25T10:33:33,4000.0,21.3,S
2021-06-25T10:31:15,100.0,21.4,S
2021-06-25T10:28:29,9900.0,21.4,B
2021-06-25T10:26:30,200.0,21.4,B
2021-06-25T10:24:16,1400.0,21.4,B
2021-06-25T10:23:50,300.0,21.4,B
2021-06-25T10:22:06,2500.0,21.4,S
2021-06-25T10:21:41,1200.0,21.5,S
2021-06-25T10:18:26,200.0,21.5,S
2021-06-25T10:16:30,2200.0,21.6,B
2021-06-25T10:16:20,1400.0,21.6,S
2021-06-25T10:16:12,2100.0,21.6,B
2021-06-25T10:14:02,900.0,21.6,S
2021-06-25T10:10:24,3300.0,21.7,B
2021-06-25T10:10:20,100.0,21.6,B
2021-06-25T10:10:20,200.0,21.6,B
2021-06-25T10:10:13,100.0,21.5,S
2021-06-25T10:09:48,300.0,21.5,S
2021-06-25T10:09:43,2000.0,21.6,B
2021-06-25T10:09:39,600.0,21.5,B
2021-06-25T10:07:46,1800.0,21.5,B
2021-06-25T10:07:19,3500.0,21.4,S
2021-06-25T10:04:11,4000.0,21.3,S
2021-06-25T10:00:38,400.0,21.4,B
2021-06-25T10:00:38,2000.0,21.3,S
2021-06-25T10:00:18,1200.0,21.4,B
2021-06-25T10:00:16,7000.0,21.3,S
2021-06-25T09:59:02,800.0,21.4,B
2021-06-25T09:58:55,1600.0,21.4,S
2021-06-25T09:56:10,3400.0,21.5,B
2021-06-25T09:55:22,300.0,21.5,B
2021-06-25T09:54:35,200.0,21.5,B
2021-06-25T09:51:48,3600.0,21.5,S
2021-06-25T09:51:29,1800.0,21.6,S
2021-06-25T09:47:24,300.0,21.6,S
2021-06-25T09:43:12,3400.0,21.7,B
2021-06-25T09:41:06,500.0,21.7,S
2021-06-25T09:39:18,2500.0,21.7,B
2021-06-25T09:39:11,5700.0,21.7,B
2021-06-25T09:37:26,2800.0,21.7,S
2021-06-25T09:35:27,200.0,21.8,B
2021-06-25T09:34:57,1800.0,21.8,S
2021-06-25T09:34:22,2000.0,21.85,B
2021-06-25T09:34:11,1300.0,21.8,B
2021-06-25T09:33:12,2500.0,21.8,B
2021-06-25T09:33:05,4600.0,21.75,B
2021-06-25T09:33:05,1400.0,21.75,B
2021-06-25T09:32:10,1000.0,21.75,B
2021-06-25T09:31:40,3900.0,21.75,B
2021-06-25T09:31:23,5000.0,21.75,B
2021-06-25T09:31:15,5500.0,21.7,B
2021-06-25T09:29:48,2500.0,21.7,B
2021-06-25T09:29:47,1000.0,21.6,S
2021-06-25T09:29:32,2000.0,21.6,B
2021-06-25T09:28:37,900.0,21.7,S
2021-06-25T09:28:01,300.0,21.7,B
2021-06-25T09:27:40,3000.0,21.4,S
2021-06-25T09:27:39,900.0,21.6,S
2021-06-25T09:27:06,5000.0,21.7,B
2021-06-25T09:27:03,700.0,21.7,B
2021-06-25T09:27:00,2700.0,21.7,B
2021-06-25T09:25:55,1000.0,21.7,B
2021-06-25T09:25:37,1300.0,21.7,S
2021-06-25T09:25:23,3600.0,21.75,B
2021-06-25T09:25:19,1400.0,21.75,B
2021-06-25T09:25:11,2300.0,21.75,B
2021-06-25T09:25:07,2400.0,21.75,B
2021-06-25T09:25:00,3200.0,21.75,B
2021-06-25T09:25:00,1800.0,21.75,B
2021-06-25T09:23:42,1200.0,21.75,S
2021-06-25T09:23:22,6500.0,21.8,B
2021-06-25T09:23:17,1900.0,21.8,S
2021-06-25T09:21:57,1800.0,21.9,S
2021-06-25T09:21:43,1000.0,21.9,S
2021-06-25T09:21:37,2200.0,21.9,B
2021-06-25T09:21:29,300.0,21.9,B
2021-06-25T09:21:24,8000.0,21.9,B
2021-06-25T09:21:24,1700.0,21.9,B
2021-06-25T09:21:18,5000.0,21.9,B
2021-06-25T09:21:16,500.0,21.8,S
2021-06-25T09:21:13,3500.0,21.9,B
2021-06-25T09:21:02,2600.0,21.85,B
2021-06-25T09:20:57,3400.0,21.8,S
2021-06-25T09:20:56,600.0,21.8,S
2021-06-25T09:18:42,3600.0,21.8,B
2021-06-25T09:18:36,1200.0,21.75,B
2021-06-25T09:18:29,1700.0,21.7,B
2021-06-25T09:16:23,400.0,21.7,S
2021-06-25T09:15:45,200.0,21.7,B
2021-06-25T09:15:45,400.0,21.7,B
