tradingTime,volume,price,side
2021-06-29T10:17:08,1100.0,76.5,S
2021-06-29T10:16:31,100.0,76.6,S
2021-06-29T10:08:57,100.0,77.0,B
2021-06-29T10:04:52,1400.0,77.0,S
2021-06-29T10:04:43,100.0,77.3,S
2021-06-29T09:58:47,400.0,77.3,S
2021-06-29T09:57:05,2000.0,77.4,B
2021-06-29T09:53:36,1200.0,77.4,B
2021-06-29T09:53:23,100.0,77.2,B
2021-06-29T09:53:04,100.0,77.0,S
2021-06-29T09:51:57,1000.0,77.0,B
2021-06-29T09:49:07,300.0,77.0,S
2021-06-29T09:48:34,100.0,77.3,B
2021-06-29T09:48:28,1200.0,77.0,S
2021-06-29T09:48:14,500.0,77.0,B
2021-06-29T09:48:01,2500.0,77.0,B
2021-06-29T09:42:54,100.0,75.9,S
2021-06-29T09:42:25,500.0,76.0,S
2021-06-29T09:42:15,1000.0,76.2,S
2021-06-29T09:38:34,2600.0,77.0,B
2021-06-29T09:34:13,1100.0,76.0,S
2021-06-29T09:29:55,100.0,77.0,B
2021-06-29T09:12:54,100.0,78.0,B
