tradingTime,volume,price,side
2021-06-29T10:20:28,2100.0,39.1,B
2021-06-29T10:20:10,1600.0,39.1,B
2021-06-29T10:19:53,500.0,39.1,B
2021-06-29T10:19:25,400.0,39.1,B
2021-06-29T10:19:05,200.0,39.1,B
2021-06-29T10:18:19,300.0,39.1,B
2021-06-29T10:16:45,600.0,39.0,S
2021-06-29T10:16:12,100.0,39.0,S
2021-06-29T10:12:52,100.0,39.0,S
2021-06-29T10:12:10,800.0,39.0,B
2021-06-29T10:12:01,3900.0,39.0,B
2021-06-29T10:11:36,2300.0,39.0,B
2021-06-29T10:11:33,1000.0,39.0,B
2021-06-29T10:11:08,2000.0,39.0,B
2021-06-29T10:06:58,700.0,39.0,B
2021-06-29T10:06:21,400.0,39.0,B
2021-06-29T10:05:00,100.0,38.9,S
2021-06-29T10:04:31,200.0,39.0,B
2021-06-29T10:04:18,3100.0,38.9,S
2021-06-29T10:04:10,300.0,39.0,B
2021-06-29T10:03:25,400.0,39.0,B
2021-06-29T10:02:11,100.0,39.0,B
2021-06-29T10:02:04,600.0,39.0,B
2021-06-29T10:02:02,300.0,39.0,B
2021-06-29T10:01:59,100.0,39.0,S
2021-06-29T10:01:10,900.0,39.0,B
2021-06-29T10:00:33,1000.0,39.0,B
2021-06-29T10:00:15,100.0,39.0,B
2021-06-29T09:59:30,500.0,39.0,S
2021-06-29T09:58:06,2000.0,39.0,S
2021-06-29T09:56:54,500.0,39.0,B
2021-06-29T09:56:28,500.0,39.0,B
2021-06-29T09:56:25,300.0,39.0,S
2021-06-29T09:55:32,100.0,39.0,S
2021-06-29T09:55:17,700.0,39.0,B
2021-06-29T09:55:05,5300.0,39.0,S
2021-06-29T09:54:46,2000.0,39.0,S
2021-06-29T09:54:27,1000.0,39.0,S
2021-06-29T09:54:10,200.0,39.0,S
2021-06-29T09:52:02,100.0,39.1,B
2021-06-29T09:50:31,200.0,39.1,B
2021-06-29T09:49:20,300.0,39.1,B
2021-06-29T09:47:10,1300.0,39.1,B
2021-06-29T09:46:08,2000.0,39.1,B
2021-06-29T09:44:15,300.0,39.1,S
2021-06-29T09:43:18,700.0,39.1,S
2021-06-29T09:42:43,1000.0,39.1,B
2021-06-29T09:41:16,1000.0,39.1,S
2021-06-29T09:41:08,300.0,39.1,S
2021-06-29T09:39:54,500.0,39.1,S
2021-06-29T09:39:49,200.0,39.1,S
2021-06-29T09:39:38,1000.0,39.1,S
2021-06-29T09:39:12,2000.0,39.1,B
2021-06-29T09:38:05,7700.0,39.0,S
2021-06-29T09:36:29,100.0,39.1,B
2021-06-29T09:36:04,1000.0,39.1,B
2021-06-29T09:35:55,100.0,39.1,B
2021-06-29T09:34:34,4800.0,39.1,S
2021-06-29T09:34:23,200.0,39.1,S
2021-06-29T09:34:03,400.0,39.1,S
2021-06-29T09:32:45,600.0,39.1,S
2021-06-29T09:32:20,1000.0,39.1,B
2021-06-29T09:31:21,9300.0,39.0,S
2021-06-29T09:29:40,100.0,39.2,B
2021-06-29T09:27:56,1900.0,39.2,S
2021-06-29T09:26:15,100.0,39.2,S
2021-06-29T09:25:49,600.0,39.1,S
2021-06-29T09:24:35,100.0,39.2,B
2021-06-29T09:24:27,100.0,39.2,S
2021-06-29T09:24:16,300.0,39.2,S
2021-06-29T09:24:10,700.0,39.2,S
2021-06-29T09:23:01,600.0,39.2,S
2021-06-29T09:22:45,500.0,39.3,B
2021-06-29T09:21:43,3000.0,39.3,B
2021-06-29T09:21:09,1000.0,39.3,B
2021-06-29T09:20:32,1000.0,39.2,S
2021-06-29T09:19:56,500.0,39.2,S
2021-06-29T09:19:32,1000.0,39.3,B
2021-06-29T09:19:15,200.0,39.3,B
2021-06-29T09:16:52,300.0,39.3,S
2021-06-29T09:16:15,300.0,39.3,S
2021-06-29T09:15:07,200.0,39.4,B
2021-06-29T09:14:55,200.0,39.4,B
2021-06-29T09:14:31,200.0,39.4,B
2021-06-29T09:14:22,200.0,39.4,B
2021-06-29T09:14:13,100.0,39.4,B
2021-06-29T09:13:45,100.0,39.4,B
2021-06-29T09:13:37,100.0,39.4,B
2021-06-29T09:13:22,1000.0,39.4,B
2021-06-29T09:11:31,100.0,39.3,S
2021-06-29T09:10:28,1000.0,39.4,B
2021-06-29T09:10:15,1000.0,39.4,B
2021-06-29T09:08:15,9300.0,39.4,B
2021-06-29T09:08:01,200.0,39.2,S
2021-06-29T09:07:26,200.0,39.2,B
2021-06-29T09:07:21,500.0,39.2,B
2021-06-29T09:06:26,300.0,39.2,B
2021-06-29T09:00:58,200.0,39.0,S
