tradingTime,volume,price,side
2021-06-29T10:19:27,100.0,19.4,S
2021-06-29T10:16:54,8000.0,19.2,S
2021-06-29T10:16:05,100.0,19.3,S
2021-06-29T10:15:30,200.0,19.3,S
2021-06-29T10:12:48,500.0,19.3,S
2021-06-29T10:12:29,1100.0,19.3,S
2021-06-29T10:11:19,500.0,19.3,B
2021-06-29T10:11:14,400.0,19.2,S
2021-06-29T10:09:34,500.0,19.3,S
2021-06-29T10:09:24,3900.0,19.3,S
2021-06-29T10:07:05,200.0,19.3,B
2021-06-29T10:07:00,900.0,19.3,B
2021-06-29T10:04:03,15000.0,19.2,S
2021-06-29T10:01:37,100.0,19.2,S
2021-06-29T09:58:05,200.0,19.2,S
2021-06-29T09:55:42,6000.0,19.2,S
2021-06-29T09:55:13,1600.0,19.3,S
2021-06-29T09:53:42,1300.0,19.3,B
2021-06-29T09:48:33,100.0,19.3,S
2021-06-29T09:48:12,100.0,19.3,S
2021-06-29T09:45:52,2800.0,19.3,B
2021-06-29T09:45:49,3000.0,19.3,B
2021-06-29T09:45:44,3000.0,19.3,B
2021-06-29T09:44:03,3200.0,19.3,B
2021-06-29T09:41:15,1000.0,19.3,S
2021-06-29T09:35:22,200.0,19.3,S
2021-06-29T09:35:16,100.0,19.4,B
2021-06-29T09:34:45,600.0,19.3,S
2021-06-29T09:34:19,1100.0,19.3,S
2021-06-29T09:33:22,500.0,19.3,B
2021-06-29T09:33:18,2000.0,19.3,B
2021-06-29T09:33:02,100.0,19.3,B
2021-06-29T09:31:58,100.0,19.2,S
2021-06-29T09:31:40,2600.0,19.1,S
2021-06-29T09:31:12,100.0,19.2,S
2021-06-29T09:30:55,500.0,19.1,S
2021-06-29T09:30:41,100.0,19.2,S
2021-06-29T09:30:08,1000.0,19.1,S
2021-06-29T09:29:32,100.0,19.2,S
2021-06-29T09:29:03,6000.0,19.1,S
2021-06-29T09:28:34,1000.0,19.3,B
2021-06-29T09:28:30,300.0,19.3,B
2021-06-29T09:28:04,500.0,19.3,B
2021-06-29T09:27:42,900.0,19.3,B
2021-06-29T09:27:23,200.0,19.3,B
2021-06-29T09:26:59,1000.0,19.3,S
2021-06-29T09:26:22,1000.0,19.3,S
2021-06-29T09:25:47,2400.0,19.4,S
2021-06-29T09:24:02,100.0,19.4,S
2021-06-29T09:22:59,1500.0,19.5,S
2021-06-29T09:19:36,500.0,19.6,B
2021-06-29T09:15:15,300.0,19.6,B
2021-06-29T09:11:16,500.0,19.6,S
2021-06-29T09:07:58,500.0,19.6,S
