tradingTime,volume,price,side
2021-06-29T10:20:18,200.0,60.3,B
2021-06-29T10:18:04,100.0,60.3,B
2021-06-29T10:15:49,100.0,60.3,B
2021-06-29T10:13:35,100.0,60.3,B
2021-06-29T10:11:30,100.0,60.3,B
2021-06-29T10:11:29,100.0,60.3,B
2021-06-29T10:09:12,200.0,60.6,B
2021-06-29T10:07:01,100.0,60.6,B
2021-06-29T10:05:55,200.0,60.5,B
2021-06-29T10:05:15,2000.0,60.5,B
2021-06-29T10:05:15,300.0,60.5,B
2021-06-29T10:04:49,100.0,60.4,B
2021-06-29T10:02:36,100.0,60.5,B
2021-06-29T10:00:22,200.0,60.6,S
2021-06-29T09:58:13,100.0,60.7,B
2021-06-29T09:56:35,3500.0,59.3,S
2021-06-29T09:56:35,2500.0,59.5,S
2021-06-29T09:56:34,2400.0,59.6,S
2021-06-29T09:55:59,100.0,60.7,B
2021-06-29T09:55:11,1000.0,60.6,S
2021-06-29T09:53:46,100.0,60.7,B
2021-06-29T09:53:18,200.0,60.6,B
2021-06-29T09:51:32,200.0,60.6,B
2021-06-29T09:49:21,100.0,60.7,B
2021-06-29T09:47:05,100.0,60.7,B
2021-06-29T09:44:56,100.0,60.7,B
2021-06-29T09:42:40,200.0,60.7,B
2021-06-29T09:40:32,100.0,60.7,B
2021-06-29T09:38:17,100.0,60.7,B
2021-06-29T09:36:03,100.0,60.8,B
2021-06-29T09:34:08,1000.0,60.8,B
2021-06-29T09:34:01,200.0,60.8,B
2021-06-29T09:33:41,3600.0,60.8,B
2021-06-29T09:31:37,100.0,60.8,B
2021-06-29T09:29:22,100.0,60.8,B
2021-06-29T09:27:12,100.0,60.8,B
2021-06-29T09:24:59,200.0,60.8,B
2021-06-29T09:22:52,100.0,60.8,B
2021-06-29T09:20:38,100.0,60.8,B
2021-06-29T09:19:49,200.0,60.6,S
2021-06-29T09:18:23,100.0,60.8,B
2021-06-29T09:16:51,200.0,60.8,B
2021-06-29T09:16:01,100.0,60.8,B
2021-06-29T09:16:01,100.0,60.7,B
