tradingTime,volume,price,side
2021-07-01T14:29:49,200.0,9.65,B
2021-07-01T14:07:48,1000.0,9.55,S
2021-07-01T14:02:11,1000.0,9.55,S
2021-07-01T13:58:02,1200.0,9.55,S
2021-07-01T13:58:02,1500.0,9.57,S
2021-07-01T13:48:24,800.0,9.55,B
2021-07-01T13:47:38,200.0,9.55,S
2021-07-01T13:47:28,1000.0,9.6,B
2021-07-01T13:44:00,300.0,9.53,S
2021-07-01T13:43:21,4300.0,9.53,S
2021-07-01T13:43:21,700.0,9.54,S
2021-07-01T13:41:39,900.0,9.53,S
2021-07-01T13:41:39,100.0,9.53,S
2021-07-01T13:39:58,200.0,9.6,B
2021-07-01T13:39:36,300.0,9.54,S
2021-07-01T13:35:32,3000.0,9.6,B
2021-07-01T13:34:21,500.0,9.6,B
2021-07-01T13:31:31,100.0,9.54,S
2021-07-01T13:29:51,200.0,9.51,S
2021-07-01T13:29:30,600.0,9.6,S
2021-07-01T13:28:53,300.0,9.6,B
2021-07-01T13:28:47,4700.0,9.6,S
2021-07-01T13:28:11,5300.0,9.6,B
2021-07-01T13:28:02,2000.0,9.6,B
2021-07-01T13:27:56,13000.0,9.6,B
2021-07-01T13:27:40,10000.0,9.65,S
2021-07-01T13:27:40,8500.0,9.65,S
2021-07-01T13:27:40,10000.0,9.65,S
2021-07-01T13:27:39,1200.0,9.66,S
2021-07-01T13:26:51,1000.0,9.7,B
2021-07-01T13:25:43,3000.0,9.7,B
2021-07-01T13:24:59,6700.0,9.6,B
2021-07-01T13:24:45,1500.0,9.6,S
2021-07-01T13:24:34,10500.0,9.6,B
2021-07-01T13:24:20,1600.0,9.6,B
2021-07-01T13:24:07,10000.0,9.6,B
2021-07-01T13:23:26,500.0,9.58,B
2021-07-01T13:18:56,100.0,9.58,B
2021-07-01T13:15:55,1000.0,9.58,B
2021-07-01T13:11:39,600.0,9.51,S
2021-07-01T13:10:59,6600.0,9.5,S
2021-07-01T13:10:59,200.0,9.5,S
2021-07-01T13:10:59,800.0,9.5,S
2021-07-01T13:10:59,10200.0,9.5,S
2021-07-01T13:10:59,700.0,9.5,S
2021-07-01T13:10:59,3400.0,9.5,S
2021-07-01T13:10:14,600.0,9.51,S
2021-07-01T13:09:43,100.0,9.55,S
2021-07-01T13:09:43,3500.0,9.55,S
2021-07-01T13:09:28,600.0,9.55,S
2021-07-01T13:09:11,100.0,9.55,S
2021-07-01T13:01:31,200.0,9.55,S
2021-07-01T13:01:17,100.0,9.57,B
2021-07-01T13:00:21,3800.0,9.5,S
2021-07-01T13:00:21,1900.0,9.51,S
2021-07-01T13:00:21,3000.0,9.55,S
2021-07-01T13:00:21,300.0,9.55,S
2021-07-01T13:00:21,800.0,9.56,S
2021-07-01T13:00:21,200.0,9.57,S
2021-07-01T11:21:12,500.0,9.56,S
2021-07-01T11:20:27,100.0,9.57,B
2021-07-01T11:19:50,300.0,9.57,B
2021-07-01T11:18:37,1000.0,9.56,S
2021-07-01T11:14:31,1000.0,9.56,S
2021-07-01T11:11:08,800.0,9.56,B
2021-07-01T11:10:24,200.0,9.56,S
2021-07-01T11:10:10,100.0,9.57,S
2021-07-01T11:08:22,5000.0,9.58,B
2021-07-01T11:07:33,200.0,9.58,B
2021-07-01T11:06:55,100.0,9.58,S
2021-07-01T11:06:32,100.0,9.59,B
2021-07-01T11:05:50,200.0,9.59,B
2021-07-01T11:02:40,100.0,9.59,S
2021-07-01T10:59:04,100.0,9.6,S
2021-07-01T10:49:27,100.0,9.69,B
2021-07-01T10:45:31,1000.0,9.7,B
2021-07-01T10:43:27,5000.0,9.65,B
2021-07-01T10:42:56,20000.0,9.65,B
2021-07-01T10:36:59,4600.0,9.63,S
2021-07-01T10:32:10,200.0,9.64,B
2021-07-01T10:24:48,400.0,9.6,B
2021-07-01T10:21:29,1000.0,9.6,B
2021-07-01T10:18:43,500.0,9.55,S
2021-07-01T10:12:38,2400.0,9.55,S
2021-07-01T10:10:37,1700.0,9.64,B
2021-07-01T10:10:12,700.0,9.6,S
2021-07-01T10:09:56,600.0,9.6,S
2021-07-01T10:08:12,100.0,9.64,B
2021-07-01T10:05:03,600.0,9.64,S
2021-07-01T10:03:50,1000.0,9.64,S
2021-07-01T10:01:33,200.0,9.64,S
2021-07-01T09:45:59,5000.0,9.7,B
2021-07-01T09:44:54,500.0,9.7,B
2021-07-01T09:38:59,10000.0,9.7,B
2021-07-01T09:38:23,3000.0,9.65,S
2021-07-01T09:37:08,2000.0,9.65,S
2021-07-01T09:28:38,10000.0,9.75,B
2021-07-01T09:28:33,3500.0,9.75,B
2021-07-01T09:28:26,1000.0,9.75,B
2021-07-01T09:28:18,2000.0,9.75,B
2021-07-01T09:19:38,200.0,9.8,B
2021-07-01T09:18:12,1000.0,9.65,B
2021-07-01T09:17:41,1000.0,9.53,S
