tradingTime,volume,price,side
2021-07-01T14:29:53,5900.0,119.0,B
2021-07-01T14:29:31,2100.0,119.0,B
2021-07-01T14:29:24,700.0,119.0,B
2021-07-01T14:29:24,1300.0,118.9,B
2021-07-01T14:29:20,1500.0,118.6,B
2021-07-01T14:29:07,1000.0,118.6,B
2021-07-01T14:29:04,100.0,118.6,B
2021-07-01T14:29:00,100.0,118.6,B
2021-07-01T14:28:53,2000.0,118.6,B
2021-07-01T14:28:53,300.0,118.5,S
2021-07-01T14:28:47,6400.0,118.6,B
2021-07-01T14:28:47,3600.0,118.6,B
2021-07-01T14:28:30,1600.0,118.6,B
2021-07-01T14:28:28,400.0,118.6,B
2021-07-01T14:28:25,100.0,118.6,S
2021-07-01T14:28:23,1600.0,118.6,S
2021-07-01T14:28:20,200.0,118.6,S
2021-07-01T14:28:20,2500.0,118.6,S
2021-07-01T14:28:14,1000.0,118.6,B
2021-07-01T14:27:58,700.0,118.6,S
2021-07-01T14:27:58,200.0,118.6,S
2021-07-01T14:27:58,100.0,118.6,S
2021-07-01T14:27:58,11000.0,118.6,S
2021-07-01T14:27:42,2100.0,118.7,B
2021-07-01T14:27:39,100.0,118.6,S
2021-07-01T14:27:38,100.0,118.7,B
2021-07-01T14:27:23,6600.0,118.8,S
2021-07-01T14:27:22,1500.0,118.8,S
2021-07-01T14:27:14,1900.0,118.8,B
2021-07-01T14:27:13,1600.0,118.8,B
2021-07-01T14:27:06,1800.0,118.8,B
2021-07-01T14:26:56,100.0,118.8,B
2021-07-01T14:26:37,800.0,118.8,B
2021-07-01T14:26:14,100.0,118.8,B
2021-07-01T14:26:14,200.0,118.8,B
2021-07-01T14:26:14,300.0,118.8,B
2021-07-01T14:26:10,600.0,118.8,B
2021-07-01T14:26:06,400.0,118.8,B
2021-07-01T14:26:03,1700.0,118.6,S
2021-07-01T14:25:42,500.0,118.8,B
2021-07-01T14:25:04,100.0,118.8,B
2021-07-01T14:24:48,1000.0,118.6,S
2021-07-01T14:24:41,200.0,118.7,B
2021-07-01T14:24:29,500.0,118.6,S
2021-07-01T14:23:53,1200.0,118.6,S
2021-07-01T14:23:43,300.0,118.6,S
2021-07-01T14:23:40,900.0,118.8,B
2021-07-01T14:23:34,100.0,118.8,B
2021-07-01T14:23:27,5900.0,118.8,B
2021-07-01T14:23:26,100.0,118.7,B
2021-07-01T14:23:16,300.0,118.7,B
