tradingTime,volume,price,side
2021-07-05T10:51:12,2800.0,18.7,B
2021-07-05T10:47:48.922,1500.0,18.7,B
2021-07-05T10:47:10.16,3000.0,18.6,S
2021-07-05T10:45:40.076,1900.0,18.6,S
2021-07-05T10:45:33.071,2000.0,18.7,B
2021-07-05T10:45:08,2400.0,18.7,B
2021-07-05T10:44:36,5300.0,18.8,S
2021-07-05T10:41:46,10700.0,18.9,S
2021-07-05T10:40:43,1000.0,18.9,S
2021-07-05T10:33:23,900.0,19.0,B
2021-07-05T10:27:38,100.0,19.0,S
2021-07-05T10:26:10,500.0,19.0,S
2021-07-05T10:24:39,500.0,19.0,S
2021-07-05T10:23:41,1000.0,19.0,S
2021-07-05T10:22:58,500.0,19.0,S
2021-07-05T10:21:20,1500.0,19.0,S
2021-07-05T10:20:45,100.0,19.0,B
2021-07-05T10:20:24,700.0,19.0,S
2021-07-05T10:20:13,4300.0,19.0,B
2021-07-05T10:17:25,100.0,18.9,S
2021-07-05T10:08:54,1000.0,18.9,S
2021-07-05T10:08:43,1000.0,18.9,S
2021-07-05T10:08:17,10000.0,18.9,S
2021-07-05T10:02:15,2000.0,18.9,S
2021-07-05T10:00:12,2000.0,19.0,B
2021-07-05T09:59:39,2900.0,19.0,B
2021-07-05T09:59:33,500.0,19.0,S
2021-07-05T09:58:43,100.0,19.0,S
2021-07-05T09:57:52,10000.0,19.0,S
2021-07-05T09:57:21,100.0,19.0,S
2021-07-05T09:50:38,4000.0,19.0,S
2021-07-05T09:46:49,200.0,19.1,B
2021-07-05T09:44:49,100.0,19.1,B
2021-07-05T09:37:16,200.0,19.1,B
2021-07-05T09:36:18,5000.0,19.0,S
2021-07-05T09:33:40,500.0,19.0,S
2021-07-05T09:32:42,500.0,19.0,S
2021-07-05T09:31:39,3100.0,18.9,B
2021-07-05T09:30:34,1000.0,18.9,B
2021-07-05T09:29:27,1000.0,18.9,S
2021-07-05T09:29:18,1900.0,19.0,S
2021-07-05T09:28:56,1000.0,19.0,S
2021-07-05T09:28:11,2000.0,19.0,S
2021-07-05T09:28:01,100.0,19.0,S
2021-07-05T09:25:59,100.0,19.0,S
2021-07-05T09:25:18,600.0,19.0,S
2021-07-05T09:23:58,5000.0,19.0,S
2021-07-05T09:21:58,2200.0,19.1,S
2021-07-05T09:21:51,500.0,19.1,S
2021-07-05T09:21:44,800.0,19.1,S
2021-07-05T09:21:29,100.0,19.1,S
2021-07-05T09:21:07,400.0,19.1,B
2021-07-05T09:20:59,600.0,19.1,B
2021-07-05T09:20:09,500.0,19.1,S
2021-07-05T09:18:04,100.0,19.1,S
2021-07-05T09:17:24,100.0,19.1,S
2021-07-05T09:11:40,300.0,19.2,B
2021-07-05T09:10:42,100.0,19.2,S
2021-07-05T09:08:43,100.0,19.2,S
2021-07-05T09:04:42,7000.0,19.2,B
2021-07-05T09:04:11,100.0,19.2,B
