tradingTime,volume,price,side
2021-07-05T10:43:58,1200.0,11.05,S
2021-07-05T10:42:50,100.0,11.05,S
2021-07-05T10:42:43,100.0,11.05,S
2021-07-05T10:39:59,700.0,11.1,B
2021-07-05T10:37:19,100.0,11.1,B
2021-07-05T10:36:55,1500.0,11.1,B
2021-07-05T10:36:31,100.0,11.1,B
2021-07-05T10:35:53,700.0,11.05,S
2021-07-05T10:35:25,14300.0,11.05,S
2021-07-05T10:35:12,14100.0,11.1,S
2021-07-05T10:35:00,5400.0,11.15,S
2021-07-05T10:34:46,16000.0,11.15,S
2021-07-05T10:34:33,2000.0,11.2,S
2021-07-05T10:34:33,4300.0,11.2,S
2021-07-05T10:34:17,2000.0,11.2,S
2021-07-05T10:34:06,100.0,11.2,S
2021-07-05T10:32:16,10000.0,11.2,S
2021-07-05T10:30:27,1600.0,11.2,S
2021-07-05T10:25:09,1000.0,11.25,B
2021-07-05T10:22:58,400.0,11.2,S
2021-07-05T10:21:38,200.0,11.2,S
2021-07-05T10:20:30,100.0,11.2,S
2021-07-05T10:18:18,8800.0,11.25,S
2021-07-05T10:17:15,500.0,11.3,B
2021-07-05T10:12:42,5000.0,11.3,S
2021-07-05T10:04:18,800.0,11.35,B
2021-07-05T10:03:31,500.0,11.3,S
2021-07-05T10:03:25,2100.0,11.35,B
2021-07-05T10:03:17,1400.0,11.35,S
2021-07-05T10:02:58,100.0,11.35,S
2021-07-05T10:02:25,1600.0,11.3,B
2021-07-05T10:01:12,100.0,11.3,B
2021-07-05T09:57:52,1000.0,11.3,B
2021-07-05T09:57:30,100.0,11.2,S
2021-07-05T09:56:05,500.0,11.2,S
2021-07-05T09:55:44,400.0,11.3,B
2021-07-05T09:54:30,800.0,11.3,B
2021-07-05T09:53:45,2000.0,11.3,B
2021-07-05T09:52:03,100.0,11.3,B
2021-07-05T09:50:33,1000.0,11.3,S
2021-07-05T09:50:12,400.0,11.3,S
2021-07-05T09:49:54,200.0,11.3,B
2021-07-05T09:49:54,3400.0,11.3,B
2021-07-05T09:49:31,500.0,11.3,B
2021-07-05T09:49:09,2300.0,11.3,S
2021-07-05T09:48:58,800.0,11.3,B
2021-07-05T09:48:48,1000.0,11.3,B
2021-07-05T09:48:17,1700.0,11.3,B
2021-07-05T09:48:07,300.0,11.3,B
2021-07-05T09:47:51,2000.0,11.3,B
2021-07-05T09:47:38,400.0,11.3,B
2021-07-05T09:46:43,1200.0,11.3,B
2021-07-05T09:45:46,1800.0,11.3,B
2021-07-05T09:45:34,1000.0,11.3,B
2021-07-05T09:43:44,800.0,11.2,S
2021-07-05T09:42:03,1800.0,11.2,S
2021-07-05T09:41:50,2600.0,11.2,S
2021-07-05T09:41:38,4000.0,11.2,S
2021-07-05T09:41:29,1600.0,11.2,S
2021-07-05T09:40:20,3800.0,11.2,S
2021-07-05T09:40:20,1200.0,11.2,S
2021-07-05T09:37:03,1500.0,11.2,B
2021-07-05T09:36:58,1500.0,11.15,S
2021-07-05T09:36:57,300.0,11.2,B
2021-07-05T09:36:39,900.0,11.15,S
2021-07-05T09:36:30,800.0,11.15,B
2021-07-05T09:36:04,1000.0,11.15,B
2021-07-05T09:35:34,3000.0,11.15,S
2021-07-05T09:35:32,100.0,11.2,B
2021-07-05T09:35:22,300.0,11.2,B
2021-07-05T09:35:18,5800.0,11.2,S
2021-07-05T09:35:02,3200.0,11.3,S
2021-07-05T09:33:40,100.0,11.45,B
2021-07-05T09:27:47,100.0,11.5,B
