tradingTime,volume,price,side
2021-07-05T10:53:16,1400.0,16.9,S
2021-07-05T10:49:35.557,100.0,17.0,B
2021-07-05T10:49:00.879,100.0,17.0,B
2021-07-05T10:48:58.769,1200.0,16.9,B
2021-07-05T10:48:43.982,200.0,16.9,B
2021-07-05T10:48:39.933,1000.0,16.9,B
2021-07-05T10:48:21.974,600.0,16.9,S
2021-07-05T10:48:15.458,400.0,16.9,S
2021-07-05T10:47:48.296,600.0,16.9,S
2021-07-05T10:47:25.973,4000.0,16.9,S
2021-07-05T10:46:28.579,700.0,16.9,S
2021-07-05T10:46:26.204,10000.0,16.9,S
2021-07-05T10:45:37.04,500.0,16.9,S
2021-07-05T10:45:08,10000.0,16.9,S
2021-07-05T10:44:46,600.0,16.9,S
2021-07-05T10:43:23,400.0,16.9,S
2021-07-05T10:42:13,4600.0,17.0,B
2021-07-05T10:41:23,100.0,17.0,S
2021-07-05T10:40:54,5500.0,17.0,S
2021-07-05T10:38:39,100.0,17.1,S
2021-07-05T10:37:58,200.0,17.1,B
2021-07-05T10:35:15,100.0,17.1,B
2021-07-05T10:35:02,5000.0,17.0,S
2021-07-05T10:33:10,100.0,17.1,S
2021-07-05T10:33:02,1100.0,17.1,S
2021-07-05T10:30:55,2000.0,17.1,S
2021-07-05T10:30:12,2000.0,17.1,S
2021-07-05T10:30:03,400.0,17.1,S
2021-07-05T10:27:42,200.0,17.1,S
2021-07-05T10:27:20,4300.0,17.1,B
2021-07-05T10:25:53,700.0,17.1,S
2021-07-05T10:24:21,300.0,17.1,S
2021-07-05T10:20:01,100.0,17.1,S
2021-07-05T10:17:03,100.0,17.1,S
2021-07-05T10:14:53,400.0,17.1,S
2021-07-05T10:12:50,100.0,17.1,S
2021-07-05T10:10:52,900.0,17.1,S
2021-07-05T10:06:27,1000.0,17.0,S
2021-07-05T10:06:23,700.0,17.1,B
2021-07-05T10:04:25,3100.0,17.0,S
2021-07-05T10:04:25,6900.0,17.0,S
2021-07-05T10:04:08,9800.0,17.0,S
2021-07-05T10:02:54,500.0,17.1,B
2021-07-05T10:02:36,400.0,17.0,S
2021-07-05T10:00:44,200.0,17.1,B
2021-07-05T09:59:43,500.0,17.1,B
2021-07-05T09:59:09,400.0,17.1,S
2021-07-05T09:57:31,5000.0,17.1,S
2021-07-05T09:56:09,1000.0,17.1,S
2021-07-05T09:56:05,400.0,17.1,S
2021-07-05T09:54:55,200.0,17.1,S
2021-07-05T09:54:19,100.0,17.1,S
2021-07-05T09:53:34,400.0,17.1,S
2021-07-05T09:45:04,1000.0,17.1,S
2021-07-05T09:44:52,400.0,17.1,S
2021-07-05T09:43:59,500.0,17.1,S
2021-07-05T09:42:47,1000.0,17.1,S
2021-07-05T09:41:07,1400.0,17.1,S
2021-07-05T09:40:19,400.0,17.1,S
2021-07-05T09:39:19,200.0,17.1,S
2021-07-05T09:38:05,600.0,17.1,S
2021-07-05T09:37:56,100.0,17.1,B
2021-07-05T09:36:51,100.0,17.1,B
2021-07-05T09:36:22,4000.0,17.0,S
2021-07-05T09:34:33,100.0,17.1,B
2021-07-05T09:32:58,2000.0,17.0,S
2021-07-05T09:31:09,100.0,17.2,B
2021-07-05T09:30:40,200.0,17.1,B
2021-07-05T09:29:29,4000.0,17.0,S
2021-07-05T09:29:03,2800.0,17.1,S
2021-07-05T09:27:43,100.0,17.2,B
2021-07-05T09:27:03,100.0,17.1,S
2021-07-05T09:26:25,100.0,17.1,S
2021-07-05T09:25:48,1000.0,17.0,S
2021-07-05T09:25:44,6000.0,17.0,S
2021-07-05T09:25:11,4000.0,17.1,S
2021-07-05T09:21:22,200.0,17.2,B
2021-07-05T09:20:18,5000.0,17.2,B
2021-07-05T09:20:02,200.0,17.1,S
2021-07-05T09:20:01,2200.0,17.1,B
2021-07-05T09:19:29,400.0,17.0,S
2021-07-05T09:19:28,100.0,17.0,S
2021-07-05T09:19:08,800.0,17.1,B
2021-07-05T09:19:07,300.0,17.1,B
2021-07-05T09:18:44,100.0,17.1,S
2021-07-05T09:18:13,1000.0,17.1,S
2021-07-05T09:16:47,100.0,17.2,B
2021-07-05T09:16:30,1000.0,17.2,B
2021-07-05T09:14:50,400.0,17.2,S
