tradingTime,volume,price,side
2021-07-08T14:29:08,500.0,29.3,B
2021-07-08T14:29:05,3000.0,29.3,B
2021-07-08T14:28:55,100.0,29.25,S
2021-07-08T14:28:29,1000.0,29.25,S
2021-07-08T14:28:14,2100.0,29.3,S
2021-07-08T14:27:45,3000.0,29.3,S
2021-07-08T14:27:35,1000.0,29.35,S
2021-07-08T14:27:18,100.0,29.35,S
2021-07-08T14:26:52,4100.0,29.35,B
2021-07-08T14:26:50,300.0,29.3,S
2021-07-08T14:26:49,100.0,29.35,B
2021-07-08T14:26:40,300.0,29.35,B
2021-07-08T14:26:20,5000.0,29.3,S
2021-07-08T14:26:05,600.0,29.3,S
2021-07-08T14:26:05,200.0,29.3,S
2021-07-08T14:26:05,2200.0,29.3,S
2021-07-08T14:25:56,100.0,29.35,S
2021-07-08T14:25:31,400.0,29.35,S
2021-07-08T14:25:18,200.0,29.35,S
2021-07-08T14:25:04,3000.0,29.35,B
2021-07-08T14:24:23,1000.0,29.3,S
2021-07-08T14:24:09,500.0,29.3,S
2021-07-08T14:23:53,100.0,29.35,B
2021-07-08T14:23:42,3400.0,29.3,S
2021-07-08T14:23:30,100.0,29.3,S
2021-07-08T14:22:41,700.0,29.3,S
2021-07-08T14:22:32,200.0,29.35,B
2021-07-08T14:22:29,1300.0,29.35,B
2021-07-08T14:22:01,200.0,29.35,B
2021-07-08T14:21:42,500.0,29.35,S
2021-07-08T14:21:20,100.0,29.3,S
2021-07-08T14:20:56,1200.0,29.3,S
2021-07-08T14:20:56,800.0,29.35,S
2021-07-08T14:20:27,200.0,29.35,S
2021-07-08T14:19:52,3000.0,29.4,B
2021-07-08T14:19:27,1000.0,29.4,B
2021-07-08T14:19:16,900.0,29.35,S
2021-07-08T14:18:59,7600.0,29.4,B
2021-07-08T14:18:35,400.0,29.4,S
2021-07-08T14:18:30,100.0,29.4,B
2021-07-08T14:18:16,1000.0,29.4,B
2021-07-08T14:18:07,200.0,29.4,B
2021-07-08T14:18:01,300.0,29.4,B
2021-07-08T14:17:34,500.0,29.4,B
2021-07-08T14:17:08,8800.0,29.3,B
2021-07-08T14:17:05,8600.0,29.25,B
2021-07-08T14:17:05,800.0,29.25,B
2021-07-08T14:17:05,700.0,29.25,B
2021-07-08T14:17:01,400.0,29.2,B
2021-07-08T14:16:22,1000.0,29.2,B
2021-07-08T14:15:16,400.0,29.15,B
2021-07-08T14:15:14,300.0,29.15,B
2021-07-08T14:15:03,400.0,29.0,S
2021-07-08T14:14:53,1000.0,29.15,B
2021-07-08T14:14:32,500.0,29.0,S
2021-07-08T14:14:24,100.0,29.0,B
2021-07-08T14:14:22,200.0,29.0,B
2021-07-08T14:14:17,500.0,29.0,B
2021-07-08T14:14:07,100.0,29.0,B
2021-07-08T14:13:59,1000.0,29.0,B
2021-07-08T14:13:58,1500.0,29.0,B
2021-07-08T14:13:54,500.0,29.0,B
2021-07-08T14:13:51,2400.0,29.0,S
2021-07-08T14:13:09,100.0,29.0,B
2021-07-08T14:12:58,500.0,29.0,B
2021-07-08T14:12:38,800.0,29.0,B
2021-07-08T14:12:19,100.0,29.0,B
2021-07-08T14:12:00,1300.0,29.0,S
2021-07-08T14:12:00,100.0,29.0,S
2021-07-08T14:12:00,3100.0,29.0,S
2021-07-08T14:10:45,100.0,29.0,S
2021-07-08T14:10:41,300.0,29.0,S
2021-07-08T14:10:33,100.0,29.0,S
2021-07-08T14:10:27,400.0,29.0,S
2021-07-08T14:10:25,100.0,29.2,B
2021-07-08T14:10:05,500.0,29.0,S
2021-07-08T14:09:05,2000.0,29.0,S
2021-07-08T14:08:45,2000.0,29.0,S
2021-07-08T14:08:44,500.0,29.2,B
2021-07-08T14:08:43,100.0,29.1,S
2021-07-08T14:07:37,500.0,29.0,S
2021-07-08T14:07:21,2000.0,29.0,S
2021-07-08T14:07:14,100.0,29.1,B
2021-07-08T14:07:04,2300.0,29.0,S
2021-07-08T14:07:03,5800.0,29.0,S
2021-07-08T14:07:01,300.0,29.0,S
2021-07-08T14:06:58,10000.0,29.0,S
2021-07-08T14:05:43,100.0,29.0,S
2021-07-08T14:05:41,500.0,29.1,B
2021-07-08T14:05:37,1000.0,29.1,B
2021-07-08T14:05:13,1900.0,29.1,B
2021-07-08T14:05:11,500.0,29.1,B
2021-07-08T14:05:04,100.0,29.1,B
2021-07-08T14:04:52,300.0,29.0,S
2021-07-08T14:04:42,100.0,29.0,S
2021-07-08T14:04:21,5900.0,29.1,S
2021-07-08T14:04:05,2000.0,29.15,S
2021-07-08T14:04:00,100.0,29.15,S
2021-07-08T14:03:12,200.0,29.15,S
2021-07-08T14:02:49,500.0,29.15,S
2021-07-08T14:02:26,800.0,29.15,S
2021-07-08T14:02:26,700.0,29.2,S
2021-07-08T14:02:07,1000.0,29.2,S
2021-07-08T14:01:55,4900.0,29.2,S
2021-07-08T14:01:15,1300.0,29.25,S
2021-07-08T14:01:14,1000.0,29.25,S
2021-07-08T14:01:04,5000.0,29.25,S
2021-07-08T14:01:04,300.0,29.25,S
2021-07-08T14:00:50,1000.0,29.25,S
2021-07-08T14:00:45,100.0,29.25,S
2021-07-08T14:00:25,400.0,29.25,S
2021-07-08T14:00:22,100.0,29.25,S
2021-07-08T14:00:21,3000.0,29.25,S
2021-07-08T14:00:16,1000.0,29.25,S
2021-07-08T14:00:03,1000.0,29.25,S
2021-07-08T14:00:02,400.0,29.25,S
2021-07-08T13:59:30,1100.0,29.25,S
2021-07-08T13:59:30,1900.0,29.25,S
2021-07-08T13:58:32,100.0,29.25,S
