tradingTime,volume,price,side
2021-07-09T11:29:59,600.0,37.2,B
2021-07-09T11:28:04,100.0,37.2,B
2021-07-09T11:27:29,100.0,37.2,S
2021-07-09T11:26:35,100.0,37.25,B
2021-07-09T11:25:47,800.0,37.0,S
2021-07-09T11:25:47,300.0,37.0,S
2021-07-09T11:25:47,100.0,37.0,S
2021-07-09T11:23:11,2900.0,37.0,B
2021-07-09T11:23:10,100.0,37.0,B
2021-07-09T11:22:52,200.0,37.0,B
2021-07-09T11:22:49,600.0,37.0,S
2021-07-09T11:22:49,13100.0,37.0,S
2021-07-09T11:22:49,900.0,37.0,S
2021-07-09T11:22:49,2100.0,37.0,S
2021-07-09T11:22:49,6800.0,37.0,S
2021-07-09T11:22:49,400.0,37.0,S
2021-07-09T11:22:49,2900.0,37.1,S
2021-07-09T11:22:35,400.0,37.2,S
2021-07-09T11:22:29,1000.0,37.2,S
2021-07-09T11:21:49,1800.0,37.25,S
2021-07-09T11:21:31,300.0,37.3,B
2021-07-09T11:21:11,200.0,37.3,B
2021-07-09T11:21:09,500.0,37.25,S
2021-07-09T11:21:04,2900.0,37.3,S
2021-07-09T11:21:04,4300.0,37.3,S
2021-07-09T11:21:04,100.0,37.3,S
2021-07-09T11:21:04,1700.0,37.3,S
2021-07-09T11:20:50,400.0,37.4,S
2021-07-09T11:20:50,600.0,37.4,S
2021-07-09T11:20:31,800.0,37.5,B
2021-07-09T11:20:01,600.0,37.45,S
2021-07-09T11:18:12,200.0,37.5,B
2021-07-09T11:18:10,200.0,37.5,B
2021-07-09T11:17:49,1100.0,37.5,S
2021-07-09T11:17:44,3700.0,37.5,B
2021-07-09T11:15:30,500.0,37.5,B
2021-07-09T11:15:28,700.0,37.5,B
2021-07-09T11:14:11,300.0,37.5,B
2021-07-09T11:13:50,200.0,37.5,B
2021-07-09T11:13:50,1800.0,37.5,B
2021-07-09T11:12:20,1400.0,37.5,B
2021-07-09T11:11:56,500.0,37.5,B
2021-07-09T11:11:49,100.0,37.5,B
2021-07-09T11:11:28,1200.0,37.5,S
2021-07-09T11:11:18,500.0,37.8,B
2021-07-09T11:11:13,1000.0,37.5,S
2021-07-09T11:09:49,500.0,37.5,B
2021-07-09T11:09:37,3800.0,37.5,B
2021-07-09T11:08:28,200.0,37.5,B
2021-07-09T11:06:27,100.0,37.4,S
2021-07-09T11:05:51,300.0,37.5,B
2021-07-09T11:05:39,2700.0,37.5,S
2021-07-09T11:04:08,400.0,37.5,B
2021-07-09T11:03:56,200.0,37.5,B
2021-07-09T11:01:18,300.0,37.5,B
2021-07-09T11:01:10,2000.0,37.5,B
2021-07-09T11:00:44,100.0,37.5,B
2021-07-09T10:59:58,2000.0,37.5,B
2021-07-09T10:59:21,800.0,37.4,S
2021-07-09T10:59:20,500.0,37.4,S
2021-07-09T10:59:15,3200.0,37.4,S
2021-07-09T10:59:07,200.0,37.4,S
2021-07-09T10:57:17,300.0,37.4,S
2021-07-09T10:55:17,100.0,37.5,B
2021-07-09T10:55:07,200.0,37.5,S
2021-07-09T10:54:21,800.0,37.5,B
2021-07-09T10:54:12,300.0,37.4,S
2021-07-09T10:52:57,200.0,37.4,S
2021-07-09T10:52:53,4000.0,37.5,B
2021-07-09T10:52:43,100.0,37.5,B
2021-07-09T10:52:16,100.0,37.5,B
2021-07-09T10:52:11,1100.0,37.5,S
2021-07-09T10:52:11,2900.0,37.5,S
2021-07-09T10:52:11,1000.0,37.5,S
2021-07-09T10:49:43,200.0,37.7,B
2021-07-09T10:48:57,100.0,37.6,B
2021-07-09T10:48:21,900.0,37.6,S
2021-07-09T10:47:53,300.0,37.6,S
2021-07-09T10:47:52,100.0,37.6,S
2021-07-09T10:47:39,100.0,37.6,B
2021-07-09T10:47:15,200.0,37.6,B
2021-07-09T10:46:31,100.0,37.6,B
2021-07-09T10:45:32,100.0,37.6,S
2021-07-09T10:45:07,2000.0,37.6,B
2021-07-09T10:44:30,800.0,37.6,B
2021-07-09T10:44:25,500.0,37.6,B
2021-07-09T10:42:08,200.0,37.6,B
2021-07-09T10:41:57,100.0,37.6,B
2021-07-09T10:41:51,1000.0,37.6,B
2021-07-09T10:40:53,500.0,37.6,B
2021-07-09T10:39:22,1400.0,37.6,B
2021-07-09T10:38:53,200.0,37.6,B
2021-07-09T10:35:38,1000.0,37.6,B
2021-07-09T10:34:58,600.0,37.5,S
2021-07-09T10:34:25,100.0,37.5,B
2021-07-09T10:34:21,200.0,37.5,S
2021-07-09T10:34:21,600.0,37.5,S
