tradingTime,volume,price,side
2021-07-09T11:29:50,1000.0,9.7,S
2021-07-09T11:28:39,100.0,9.71,B
2021-07-09T11:26:59,100.0,9.7,S
2021-07-09T11:26:14,1000.0,9.71,B
2021-07-09T11:26:02,100.0,9.71,B
2021-07-09T11:25:37,100.0,9.71,B
2021-07-09T11:23:07,2100.0,9.71,S
2021-07-09T11:22:28,2000.0,9.71,S
2021-07-09T11:21:21,200.0,9.71,S
2021-07-09T11:20:46,10000.0,9.71,S
2021-07-09T11:20:36,100.0,9.8,B
2021-07-09T11:18:21,1700.0,9.7,S
2021-07-09T11:16:03,4900.0,9.8,B
2021-07-09T11:12:56,100.0,9.8,B
2021-07-09T11:08:00,1000.0,9.7,S
2021-07-09T11:04:37,400.0,9.7,S
2021-07-09T11:04:15,2000.0,9.7,S
2021-07-09T11:01:15,1000.0,9.8,B
2021-07-09T10:58:34,100.0,9.8,B
2021-07-09T10:56:04,100.0,9.8,B
2021-07-09T10:55:53,9000.0,9.8,B
2021-07-09T10:50:27,100.0,9.8,B
2021-07-09T10:50:17,2400.0,9.8,S
2021-07-09T10:48:43,3000.0,9.8,S
2021-07-09T10:48:17,500.0,9.8,S
2021-07-09T10:46:15,100.0,9.8,B
2021-07-09T10:46:15,4000.0,9.8,B
2021-07-09T10:44:48,100.0,9.8,B
2021-07-09T10:44:23,3000.0,9.8,B
2021-07-09T10:43:46,700.0,9.7,B
2021-07-09T10:42:43,400.0,9.6,S
2021-07-09T10:42:13,100.0,9.6,S
2021-07-09T10:42:13,1900.0,9.6,S
2021-07-09T10:41:04,100.0,9.7,B
2021-07-09T10:40:45,1200.0,9.7,S
2021-07-09T10:40:43,500.0,9.8,B
2021-07-09T10:39:20,2000.0,9.7,S
2021-07-09T10:35:49,3300.0,9.7,S
2021-07-09T10:35:49,1000.0,9.7,S
2021-07-09T10:35:49,5700.0,9.7,S
2021-07-09T10:35:46,5000.0,9.7,S
2021-07-09T10:35:30,1500.0,9.7,S
2021-07-09T10:35:30,8500.0,9.7,S
2021-07-09T10:35:19,4900.0,9.75,S
2021-07-09T10:35:19,100.0,9.78,S
2021-07-09T10:34:40,200.0,9.8,B
2021-07-09T10:34:19,1000.0,9.8,B
2021-07-09T10:33:54,2300.0,9.8,S
2021-07-09T10:33:28,700.0,9.8,S
2021-07-09T10:33:02,400.0,9.84,B
2021-07-09T10:32:58,100.0,9.84,B
2021-07-09T10:32:51,500.0,9.84,B
2021-07-09T10:31:47,600.0,9.84,S
2021-07-09T10:30:41,1000.0,9.9,B
2021-07-09T10:26:51,1000.0,9.9,B
2021-07-09T10:26:19,100.0,9.8,S
2021-07-09T10:25:19,300.0,9.8,S
2021-07-09T10:20:20,400.0,9.8,S
2021-07-09T10:20:02,100.0,9.8,B
2021-07-09T10:19:40,1000.0,9.8,B
2021-07-09T10:18:48,300.0,9.8,B
2021-07-09T10:18:33,5000.0,9.8,B
2021-07-09T10:18:27,100.0,9.8,B
2021-07-09T10:18:21,3200.0,9.8,S
2021-07-09T10:17:54,300.0,9.8,S
2021-07-09T10:17:26,6000.0,9.8,S
2021-07-09T10:17:18,400.0,9.85,S
2021-07-09T10:15:23,2000.0,9.8,S
2021-07-09T10:13:40,200.0,9.82,S
2021-07-09T10:08:26,200.0,9.82,S
2021-07-09T10:06:44,200.0,9.9,B
2021-07-09T10:06:07,100.0,9.9,B
2021-07-09T10:05:27,300.0,9.9,B
2021-07-09T10:05:12,1000.0,9.9,B
2021-07-09T10:04:46,1500.0,9.9,B
2021-07-09T09:56:15,5000.0,9.9,B
2021-07-09T09:55:34,100.0,9.89,B
2021-07-09T09:53:08,100.0,9.9,B
2021-07-09T09:52:45,5000.0,9.8,S
2021-07-09T09:52:17,400.0,9.8,S
2021-07-09T09:40:09,100.0,9.8,S
2021-07-09T09:39:30,1100.0,9.8,S
2021-07-09T09:38:45,300.0,9.8,S
2021-07-09T09:38:08,100.0,9.8,S
2021-07-09T09:35:51,3800.0,9.8,B
2021-07-09T09:35:49,300.0,9.8,B
2021-07-09T09:35:18,200.0,9.8,B
2021-07-09T09:34:47,300.0,9.8,B
2021-07-09T09:34:46,1000.0,9.75,S
2021-07-09T09:34:36,200.0,9.8,B
2021-07-09T09:34:10,200.0,9.8,B
2021-07-09T09:33:48,600.0,9.8,B
2021-07-09T09:33:39,500.0,9.8,B
2021-07-09T09:33:33,1000.0,9.8,B
2021-07-09T09:33:29,500.0,9.79,B
2021-07-09T09:33:10,900.0,9.8,B
2021-07-09T09:33:04,500.0,9.8,B
2021-07-09T09:32:36,200.0,9.8,B
2021-07-09T09:32:23,2000.0,9.8,B
2021-07-09T09:32:01,1000.0,9.8,B
2021-07-09T09:31:31,500.0,9.8,B
2021-07-09T09:31:20,500.0,9.75,S
2021-07-09T09:30:45,500.0,9.8,B
2021-07-09T09:30:15,100.0,9.8,B
2021-07-09T09:29:33,1000.0,9.8,B
2021-07-09T09:29:27,1000.0,9.8,B
2021-07-09T09:29:21,100.0,9.8,B
2021-07-09T09:29:06,3000.0,9.8,B
2021-07-09T09:28:33,500.0,9.8,B
2021-07-09T09:28:24,200.0,9.8,B
2021-07-09T09:27:20,300.0,9.8,S
2021-07-09T09:27:08,1000.0,9.75,S
2021-07-09T09:26:55,4000.0,9.8,S
2021-07-09T09:25:46,100.0,9.9,S
2021-07-09T09:24:47,100.0,9.9,S
2021-07-09T09:23:21,100.0,10.0,B
2021-07-09T09:22:13,1100.0,9.75,S
2021-07-09T09:22:02,900.0,9.8,S
2021-07-09T09:19:06,500.0,10.0,B
2021-07-09T09:19:00,500.0,10.0,B
2021-07-09T09:18:06,100.0,10.05,B
2021-07-09T09:16:56,200.0,9.75,S
2021-07-09T09:15:58,200.0,9.8,B
2021-07-09T09:15:49,2600.0,9.8,B
2021-07-09T09:15:43,1500.0,9.8,S
2021-07-09T09:15:43,100.0,10.05,B
2021-07-09T09:15:34,400.0,9.8,S
2021-07-09T09:15:28,3500.0,9.8,S
2021-07-09T09:15:24,2000.0,9.8,S
2021-07-09T09:15:19,3000.0,9.8,S
