tradingTime,volume,price,side
2021-07-12T14:28:37,100.0,5.0,B
2021-07-12T14:22:02,5000.0,5.0,B
2021-07-12T14:19:41,500.0,4.98,S
2021-07-12T14:18:42,300.0,4.98,S
2021-07-12T14:16:42,200.0,4.98,B
2021-07-12T14:12:24,3100.0,4.95,S
2021-07-12T14:08:05,5000.0,4.95,S
2021-07-12T14:03:52,2700.0,4.95,B
2021-07-12T14:03:15,5000.0,4.95,B
2021-07-12T14:03:07,4000.0,4.95,B
2021-07-12T14:00:57,300.0,4.95,S
2021-07-12T14:00:57,5100.0,4.95,S
2021-07-12T14:00:57,13600.0,4.95,S
2021-07-12T14:00:57,11200.0,4.95,S
2021-07-12T14:00:56,200.0,4.95,S
2021-07-12T13:59:34,11400.0,4.95,S
2021-07-12T13:58:43,3300.0,4.95,S
2021-07-12T13:58:06,6000.0,4.95,S
2021-07-12T13:51:56,20800.0,4.95,S
2021-07-12T13:51:56,1000.0,4.96,S
2021-07-12T13:51:56,5400.0,4.97,S
2021-07-12T13:51:56,11600.0,4.97,S
2021-07-12T13:51:56,3200.0,5.0,S
2021-07-12T13:51:38,2000.0,5.0,S
2021-07-12T13:47:54,100.0,5.0,S
2021-07-12T13:47:12,3000.0,5.0,S
2021-07-12T13:41:26,1000.0,5.05,S
2021-07-12T13:40:39,1000.0,5.05,S
2021-07-12T13:26:39,100.0,5.1,S
2021-07-12T11:20:48,1000.0,5.0,B
2021-07-12T11:13:55,100.0,5.0,B
2021-07-12T11:13:19,1900.0,4.99,B
2021-07-12T11:12:21,100.0,4.99,B
2021-07-12T11:08:25,1000.0,4.99,S
2021-07-12T11:06:56,5000.0,4.99,S
2021-07-12T11:06:33,2500.0,5.0,S
2021-07-12T11:02:24,1500.0,5.0,S
2021-07-12T10:57:36,2400.0,5.0,B
2021-07-12T10:56:48,600.0,5.0,B
2021-07-12T10:55:50,800.0,5.0,S
2021-07-12T10:55:50,200.0,5.0,S
2021-07-12T10:51:20,800.0,5.0,S
2021-07-12T10:51:11,1200.0,5.0,B
2021-07-12T10:50:37,1000.0,5.0,B
2021-07-12T10:38:19,500.0,4.97,S
2021-07-12T10:36:40,500.0,4.96,S
2021-07-12T10:36:34,1000.0,5.0,B
2021-07-12T10:36:24,5000.0,5.0,B
2021-07-12T10:35:23,9800.0,5.0,S
2021-07-12T10:35:16,10000.0,5.0,S
2021-07-12T10:35:00,500.0,5.0,S
2021-07-12T10:34:53,300.0,5.0,S
2021-07-12T10:34:20,3800.0,5.0,S
2021-07-12T10:34:20,6200.0,5.0,S
2021-07-12T10:33:14,500.0,5.01,S
2021-07-12T10:32:58,500.0,5.1,B
2021-07-12T10:32:40,100.0,5.1,B
2021-07-12T10:31:35,7900.0,5.1,S
2021-07-12T10:31:13,3700.0,5.15,S
2021-07-12T10:23:31,100.0,5.15,S
2021-07-12T10:19:57,5000.0,5.15,S
2021-07-12T10:12:52,5000.0,5.17,S
2021-07-12T09:58:30,800.0,5.17,B
2021-07-12T09:55:27,100.0,5.17,S
2021-07-12T09:55:16,400.0,5.17,B
2021-07-12T09:54:07,11100.0,5.17,S
2021-07-12T09:48:09,500.0,5.24,B
2021-07-12T09:46:29,600.0,5.16,S
2021-07-12T09:41:20,1600.0,5.16,B
2021-07-12T09:40:42,300.0,5.15,S
2021-07-12T09:39:52,5000.0,5.16,S
2021-07-12T09:39:01,5000.0,5.15,S
2021-07-12T09:38:56,1500.0,5.16,S
2021-07-12T09:35:33,2000.0,5.2,S
2021-07-12T09:35:21,5000.0,5.22,S
2021-07-12T09:33:55,1700.0,5.25,S
2021-07-12T09:33:34,2200.0,5.25,S
2021-07-12T09:33:16,400.0,5.28,S
2021-07-12T09:33:11,3000.0,5.28,S
2021-07-12T09:32:51,2000.0,5.28,S
2021-07-12T09:30:58,11600.0,5.28,S
2021-07-12T09:26:19,1200.0,5.3,B
2021-07-12T09:26:13,100.0,5.3,S
2021-07-12T09:23:10,600.0,5.33,B
2021-07-12T09:22:11,500.0,5.32,S
2021-07-12T09:17:40,1100.0,5.32,B
