tradingTime,volume,price,side
2021-07-15T14:29:21,10000.0,12.2,B
2021-07-15T14:28:02,3000.0,12.2,B
2021-07-15T14:26:52,2000.0,12.2,B
2021-07-15T14:26:16,2000.0,12.2,B
2021-07-15T14:23:30,1000.0,12.2,B
2021-07-15T14:23:22,10200.0,12.0,S
2021-07-15T14:22:43,5000.0,12.2,B
2021-07-15T14:22:05,1000.0,12.2,B
2021-07-15T14:21:21,3000.0,12.2,B
2021-07-15T14:20:47,1000.0,12.2,B
2021-07-15T14:20:11,1500.0,12.2,B
2021-07-15T14:19:38,1000.0,12.2,B
2021-07-15T14:19:07,500.0,12.2,B
2021-07-15T14:18:33,1000.0,12.2,B
2021-07-15T14:17:57,2000.0,12.2,B
2021-07-15T14:16:48,2000.0,12.2,B
2021-07-15T14:16:42,15400.0,12.0,S
2021-07-15T14:15:48,5000.0,12.2,B
2021-07-15T14:15:14,1000.0,12.2,B
2021-07-15T14:14:36,2000.0,12.2,B
2021-07-15T14:13:40,5000.0,12.2,B
2021-07-15T14:12:57,10000.0,12.0,S
2021-07-15T14:12:25,5000.0,12.2,B
2021-07-15T14:11:42,5000.0,12.2,B
2021-07-15T14:10:52,1000.0,12.2,B
2021-07-15T14:10:43,10000.0,12.0,S
2021-07-15T14:09:51,5000.0,12.2,B
2021-07-15T14:09:11,600.0,12.2,B
2021-07-15T14:08:29,1000.0,12.2,B
2021-07-15T14:07:41,1000.0,12.2,B
2021-07-15T14:07:33,20300.0,12.0,S
2021-07-15T14:06:56,300.0,12.2,B
2021-07-15T14:06:04,500.0,12.2,B
2021-07-15T14:05:25,500.0,12.2,B
2021-07-15T14:04:44,500.0,12.2,B
2021-07-15T14:04:10,1000.0,12.2,B
2021-07-15T14:03:36,500.0,12.2,B
2021-07-15T14:02:52,1000.0,12.2,B
2021-07-15T14:02:12,2000.0,12.2,B
2021-07-15T14:01:22,1000.0,12.2,B
2021-07-15T14:00:45,1000.0,12.2,B
2021-07-15T14:00:24,15000.0,12.0,S
2021-07-15T13:59:50,1000.0,12.2,B
2021-07-15T13:59:17,2000.0,12.2,B
2021-07-15T13:58:26,1000.0,12.2,B
2021-07-15T13:58:04,600.0,12.2,B
2021-07-15T13:57:48,500.0,12.2,B
2021-07-15T13:57:40,500.0,12.2,B
2021-07-15T13:57:20,4400.0,12.2,B
2021-07-15T13:56:55,1000.0,12.2,B
2021-07-15T13:56:37,1000.0,12.2,B
2021-07-15T13:56:13,1500.0,12.2,B
2021-07-15T13:55:33,500.0,12.2,B
2021-07-15T13:55:20,500.0,12.2,B
2021-07-15T13:55:00,600.0,12.2,B
2021-07-15T13:54:54,2000.0,12.2,B
2021-07-15T13:54:52,10800.0,12.0,S
2021-07-15T13:54:13,3000.0,12.2,B
2021-07-15T13:53:32,2500.0,12.2,B
2021-07-15T13:53:03,2000.0,12.2,B
2021-07-15T13:52:47,1000.0,12.2,B
2021-07-15T13:51:51,1000.0,12.2,B
2021-07-15T13:51:44,500.0,12.2,B
2021-07-15T13:51:27,600.0,12.2,B
2021-07-15T13:50:42,2500.0,12.2,B
2021-07-15T13:50:07,2000.0,12.2,B
2021-07-15T13:49:31,3000.0,12.2,B
2021-07-15T13:49:13,16100.0,12.0,S
2021-07-15T13:48:43,2000.0,12.2,B
2021-07-15T13:47:11,1000.0,12.0,S
2021-07-15T13:46:28,2000.0,12.2,B
2021-07-15T13:42:49,500.0,12.2,B
2021-07-15T13:42:27,500.0,12.2,B
2021-07-15T13:41:51,1000.0,12.2,B
2021-07-15T13:38:47,500.0,12.2,B
2021-07-15T13:36:32,2000.0,12.2,B
2021-07-15T13:33:18,2000.0,12.2,B
2021-07-15T13:32:01,1000.0,12.2,B
2021-07-15T13:29:14,900.0,12.2,B
2021-07-15T13:26:27,1000.0,12.1,B
2021-07-15T13:25:18,1000.0,12.1,B
2021-07-15T13:21:23,1000.0,12.2,B
2021-07-15T13:17:55,100.0,12.2,B
2021-07-15T13:15:59,500.0,12.2,B
2021-07-15T13:12:25,500.0,12.2,B
2021-07-15T13:09:15,200.0,12.2,B
2021-07-15T13:05:49,1000.0,12.2,B
2021-07-15T11:27:19,500.0,12.2,B
