tradingTime,volume,price,side
2021-07-15T14:29:54,1500.0,35.75,S
2021-07-15T14:29:48,400.0,35.75,S
2021-07-15T14:29:45,5000.0,35.8,B
2021-07-15T14:29:42,20000.0,35.8,B
2021-07-15T14:29:40,200.0,35.75,S
2021-07-15T14:29:39,500.0,35.8,B
2021-07-15T14:29:39,100.0,35.8,B
2021-07-15T14:29:38,2000.0,35.75,S
2021-07-15T14:29:26,5000.0,35.8,B
2021-07-15T14:29:23,200.0,35.8,B
2021-07-15T14:29:22,7300.0,35.8,B
2021-07-15T14:29:19,6600.0,35.8,B
2021-07-15T14:29:13,1000.0,35.75,S
2021-07-15T14:29:07,600.0,35.75,S
2021-07-15T14:29:05,200.0,35.75,S
2021-07-15T14:29:03,6100.0,35.75,B
2021-07-15T14:29:01,2100.0,35.75,S
2021-07-15T14:29:01,400.0,35.8,B
2021-07-15T14:28:58,500.0,35.75,S
2021-07-15T14:28:53,500.0,35.75,S
2021-07-15T14:28:53,4500.0,35.8,B
2021-07-15T14:28:53,1500.0,35.8,B
2021-07-15T14:28:52,1600.0,35.75,S
2021-07-15T14:28:46,400.0,35.75,S
2021-07-15T14:28:44,1000.0,35.75,S
2021-07-15T14:28:43,300.0,35.75,S
2021-07-15T14:28:43,200.0,35.75,S
2021-07-15T14:28:41,4000.0,35.75,S
2021-07-15T14:28:40,100.0,35.75,S
2021-07-15T14:28:38,100.0,35.75,S
2021-07-15T14:28:32,600.0,35.75,S
2021-07-15T14:28:26,900.0,35.75,S
2021-07-15T14:28:25,400.0,35.75,S
2021-07-15T14:28:21,300.0,35.8,B
2021-07-15T14:28:18,3000.0,35.75,S
2021-07-15T14:28:15,1000.0,35.75,S
2021-07-15T14:28:14,1000.0,35.8,B
2021-07-15T14:28:14,100.0,35.75,S
2021-07-15T14:28:08,2200.0,35.8,B
2021-07-15T14:28:08,100.0,35.8,B
2021-07-15T14:27:59,200.0,35.75,S
2021-07-15T14:27:50,3000.0,35.75,S
2021-07-15T14:27:43,100.0,35.8,B
2021-07-15T14:27:38,100.0,35.75,S
2021-07-15T14:27:34,100.0,35.75,S
2021-07-15T14:27:28,700.0,35.75,S
