tradingTime,volume,price,side
2021-07-21T14:26:22,300.0,3.3,S
2021-07-21T14:15:06,100.0,3.4,B
2021-07-21T14:14:42,2000.0,3.4,B
2021-07-21T14:00:34,2000.0,3.4,B
2021-07-21T13:56:35,2000.0,3.3,S
2021-07-21T13:46:26,1000.0,3.3,S
2021-07-21T13:44:18,1000.0,3.3,S
2021-07-21T13:26:28,1000.0,3.3,S
2021-07-21T13:15:55,2000.0,3.3,S
2021-07-21T13:12:31,1000.0,3.3,S
2021-07-21T13:11:03,900.0,3.3,S
2021-07-21T13:10:00,100.0,3.4,B
2021-07-21T10:42:05,1000.0,3.4,B
2021-07-21T10:19:36,400.0,3.3,S
2021-07-21T10:12:07,200.0,3.3,S
2021-07-21T10:08:56,100.0,3.4,B
2021-07-21T09:58:20,500.0,3.4,B
2021-07-21T09:57:17,2000.0,3.4,B
2021-07-21T09:47:41,200.0,3.4,B
2021-07-21T09:42:06,1000.0,3.4,B
2021-07-21T09:39:02,1000.0,3.3,S
2021-07-21T09:38:31,3000.0,3.4,S
2021-07-21T09:38:22,200.0,3.4,S
2021-07-21T09:37:26,10700.0,3.4,S
2021-07-21T09:35:58,100.0,3.4,S
2021-07-21T09:35:23,5500.0,3.4,S
2021-07-21T09:33:35,500.0,3.4,S
2021-07-21T09:08:03,200.0,3.5,B
2021-07-21T09:06:01,400.0,3.3,S
2021-07-21T09:04:41,4700.0,3.4,B
2021-07-21T09:04:19,300.0,3.4,B
