tradingTime,volume,price,side
2021-07-21T14:00:58,1000.0,20.4,S
2021-07-21T13:57:24,1000.0,20.4,S
2021-07-21T13:46:03,600.0,20.9,S
2021-07-21T13:38:58,500.0,20.9,S
2021-07-21T13:38:05,300.0,20.9,S
2021-07-21T13:37:45,200.0,20.9,S
2021-07-21T13:33:25,3400.0,20.9,B
2021-07-21T13:32:31,1600.0,20.9,S
2021-07-21T13:18:45,1500.0,20.9,S
2021-07-21T13:17:43,100.0,20.9,S
2021-07-21T13:17:00,200.0,20.9,S
2021-07-21T13:16:24,500.0,20.9,S
2021-07-21T13:06:15,200.0,20.9,S
2021-07-21T13:00:07,900.0,20.9,B
2021-07-21T13:00:05,100.0,20.9,B
2021-07-21T11:27:44,100.0,20.9,B
2021-07-21T11:23:34,400.0,20.9,B
2021-07-21T11:19:39,300.0,20.9,B
2021-07-21T11:16:38,300.0,20.9,B
2021-07-21T11:15:47,300.0,20.9,B
2021-07-21T11:00:32,3900.0,20.9,S
2021-07-21T10:56:12,10000.0,21.0,B
2021-07-21T10:49:07,10000.0,21.0,B
2021-07-21T10:45:03,10000.0,21.0,B
2021-07-21T10:36:35,3500.0,21.0,B
2021-07-21T10:36:35,5000.0,21.0,B
2021-07-21T10:36:35,1500.0,21.0,B
2021-07-21T10:34:08,5000.0,21.0,B
2021-07-21T10:25:49,5000.0,21.0,B
2021-07-21T10:17:12,1000.0,21.0,B
2021-07-21T10:17:03,2000.0,21.0,B
2021-07-21T10:15:39,200.0,21.0,B
2021-07-21T10:11:51,5000.0,21.0,B
2021-07-21T10:09:51,1100.0,20.9,S
2021-07-21T10:08:10,200.0,20.9,B
2021-07-21T09:57:19,3300.0,21.0,B
2021-07-21T09:56:45,5000.0,21.0,B
2021-07-21T09:45:19,5000.0,21.0,B
2021-07-21T09:40:02,5000.0,21.0,B
2021-07-21T09:32:22,5000.0,21.0,B
2021-07-21T09:28:15,10000.0,21.0,B
2021-07-21T09:26:20,500.0,20.15,S
