tradingTime,volume,price,side
2021-07-22T13:50:27,100.0,3.42,S
2021-07-22T13:50:24,2000.0,3.43,B
2021-07-22T13:49:19,2000.0,3.43,B
2021-07-22T13:49:08,1000.0,3.42,S
2021-07-22T13:49:00,300.0,3.43,B
2021-07-22T13:48:18,800.0,3.43,B
2021-07-22T13:47:30,300.0,3.43,B
2021-07-22T13:45:46,1200.0,3.42,S
2021-07-22T13:45:46,5000.0,3.42,B
2021-07-22T13:45:04,1000.0,3.42,B
2021-07-22T13:44:49,4900.0,3.42,S
2021-07-22T13:44:47,15400.0,3.42,S
2021-07-22T13:44:37,5000.0,3.42,S
2021-07-22T13:44:24,6500.0,3.42,S
2021-07-22T13:44:23,1000.0,3.42,S
2021-07-22T13:44:15,9000.0,3.42,S
2021-07-22T13:44:13,200.0,3.43,B
2021-07-22T13:44:04,10000.0,3.42,S
2021-07-22T13:43:52,100.0,3.43,B
2021-07-22T13:43:09,100.0,3.42,S
2021-07-22T13:42:32,6900.0,3.42,S
2021-07-22T13:42:20,3000.0,3.42,S
2021-07-22T13:42:09,3500.0,3.42,S
2021-07-22T13:42:06,100.0,3.42,S
2021-07-22T13:41:58,300.0,3.43,B
2021-07-22T13:41:51,3000.0,3.42,S
2021-07-22T13:39:48,3000.0,3.43,B
2021-07-22T13:39:16,1000.0,3.43,B
2021-07-22T13:38:21,3000.0,3.43,B
2021-07-22T13:38:08,3000.0,3.43,B
2021-07-22T13:38:04,7400.0,3.42,S
2021-07-22T13:37:46,600.0,3.42,B
2021-07-22T13:37:46,7000.0,3.42,B
2021-07-22T13:37:40,100.0,3.42,B
2021-07-22T13:37:12,1000.0,3.42,B
2021-07-22T13:37:00,2000.0,3.42,B
2021-07-22T13:36:44,300.0,3.41,S
2021-07-22T13:36:36,3200.0,3.41,B
2021-07-22T13:35:12,800.0,3.41,B
2021-07-22T13:35:09,3000.0,3.41,S
2021-07-22T13:35:02,9900.0,3.42,B
2021-07-22T13:34:41,2000.0,3.42,B
2021-07-22T13:33:39,100.0,3.41,B
2021-07-22T13:33:20,300.0,3.41,B
2021-07-22T13:33:07,5100.0,3.41,S
2021-07-22T13:32:57,4500.0,3.41,S
2021-07-22T13:32:47,4000.0,3.41,S
2021-07-22T13:32:37,6000.0,3.41,S
2021-07-22T13:32:15,2000.0,3.41,S
2021-07-22T13:31:18,900.0,3.41,B
2021-07-22T13:31:12,7400.0,3.41,S
2021-07-22T13:30:34,8600.0,3.41,S
2021-07-22T13:30:10,1000.0,3.42,B
