tradingTime,volume,price,side
2021-07-22T13:50:36,100.0,8.53,B
2021-07-22T13:50:25,3000.0,8.53,B
2021-07-22T13:50:24,1000.0,8.53,B
2021-07-22T13:49:57,5800.0,8.53,B
2021-07-22T13:49:52,100.0,8.53,B
2021-07-22T13:49:49,500.0,8.53,B
2021-07-22T13:49:46,500.0,8.52,S
2021-07-22T13:49:36,100.0,8.52,S
2021-07-22T13:49:12,100.0,8.53,B
2021-07-22T13:48:52,1000.0,8.53,B
2021-07-22T13:48:36,1000.0,8.53,B
2021-07-22T13:48:34,3000.0,8.53,B
2021-07-22T13:48:22,100.0,8.53,B
2021-07-22T13:48:17,1600.0,8.53,B
2021-07-22T13:48:17,8400.0,8.53,B
2021-07-22T13:48:00,1000.0,8.53,B
2021-07-22T13:47:59,500.0,8.53,B
2021-07-22T13:47:56,100.0,8.53,S
2021-07-22T13:47:50,100.0,8.53,B
2021-07-22T13:47:50,200.0,8.53,B
2021-07-22T13:47:49,1700.0,8.53,S
2021-07-22T13:47:45,100.0,8.53,S
2021-07-22T13:47:44,400.0,8.53,S
2021-07-22T13:47:43,100.0,8.53,S
2021-07-22T13:47:33,2400.0,8.53,S
2021-07-22T13:47:30,100.0,8.53,S
2021-07-22T13:47:26,2000.0,8.53,S
2021-07-22T13:47:24,400.0,8.53,S
2021-07-22T13:47:18,2000.0,8.53,S
2021-07-22T13:47:11,900.0,8.54,B
2021-07-22T13:46:55,300.0,8.54,B
2021-07-22T13:46:53,500.0,8.53,S
2021-07-22T13:46:51,1000.0,8.53,S
2021-07-22T13:46:50,100.0,8.53,S
2021-07-22T13:46:45,100.0,8.54,B
2021-07-22T13:46:42,1000.0,8.53,S
2021-07-22T13:46:31,500.0,8.53,S
2021-07-22T13:46:14,1200.0,8.54,B
2021-07-22T13:46:06,100.0,8.53,S
2021-07-22T13:46:06,1400.0,8.53,B
2021-07-22T13:46:01,200.0,8.53,B
2021-07-22T13:45:38,100.0,8.53,S
2021-07-22T13:45:34,100.0,8.53,S
2021-07-22T13:45:33,2000.0,8.53,S
2021-07-22T13:45:25,1000.0,8.52,B
2021-07-22T13:45:19,1000.0,8.52,S
2021-07-22T13:45:06,500.0,8.51,S
2021-07-22T13:45:00,8900.0,8.54,B
2021-07-22T13:45:00,500.0,8.54,B
2021-07-22T13:45:00,1600.0,8.54,B
2021-07-22T13:44:59,200.0,8.52,B
2021-07-22T13:44:58,200.0,8.52,B
2021-07-22T13:44:48,11100.0,8.52,B
2021-07-22T13:44:48,5900.0,8.52,B
2021-07-22T13:44:48,3000.0,8.52,B
2021-07-22T13:44:43,2000.0,8.52,B
2021-07-22T13:44:40,100.0,8.52,B
2021-07-22T13:44:38,700.0,8.51,S
2021-07-22T13:44:37,500.0,8.52,B
2021-07-22T13:44:30,200.0,8.52,B
2021-07-22T13:44:24,1400.0,8.52,S
2021-07-22T13:44:24,22000.0,8.53,B
2021-07-22T13:44:23,200.0,8.52,S
2021-07-22T13:44:19,2000.0,8.52,S
2021-07-22T13:44:17,5000.0,8.52,S
2021-07-22T13:44:11,500.0,8.52,S
2021-07-22T13:44:10,200.0,8.52,S
2021-07-22T13:44:09,200.0,8.52,S
2021-07-22T13:44:05,2000.0,8.53,B
2021-07-22T13:44:02,900.0,8.52,S
2021-07-22T13:44:01,100.0,8.52,S
2021-07-22T13:43:54,1600.0,8.52,S
2021-07-22T13:43:46,1600.0,8.52,S
2021-07-22T13:43:45,100.0,8.53,B
2021-07-22T13:43:41,10000.0,8.52,S
2021-07-22T13:43:17,1000.0,8.52,S
2021-07-22T13:43:01,4600.0,8.52,S
2021-07-22T13:43:01,10000.0,8.51,S
2021-07-22T13:42:50,200.0,8.51,S
2021-07-22T13:42:49,200.0,8.52,B
2021-07-22T13:42:45,100.0,8.51,S
2021-07-22T13:42:40,1000.0,8.52,B
2021-07-22T13:42:38,5400.0,8.52,B
2021-07-22T13:42:38,1000.0,8.51,S
2021-07-22T13:42:26,1200.0,8.51,S
2021-07-22T13:42:25,100.0,8.52,B
2021-07-22T13:42:24,1000.0,8.52,B
2021-07-22T13:42:23,1000.0,8.51,S
2021-07-22T13:42:20,2000.0,8.52,B
2021-07-22T13:42:19,1000.0,8.52,B
2021-07-22T13:41:58,100.0,8.5,S
2021-07-22T13:41:56,10000.0,8.5,S
2021-07-22T13:41:46,7000.0,8.53,S
2021-07-22T13:41:40,1000.0,8.55,B
2021-07-22T13:41:37,1700.0,8.54,B
2021-07-22T13:41:36,100.0,8.54,B
2021-07-22T13:41:36,100.0,8.54,B
2021-07-22T13:41:26,500.0,8.54,S
2021-07-22T13:41:23,1000.0,8.54,S
