tradingTime,volume,price,side
2021-07-26T11:28:16,29100.0,15.6,S
2021-07-26T11:27:49,1000.0,15.6,B
2021-07-26T11:23:57,500.0,15.6,B
2021-07-26T11:21:34,35100.0,15.5,S
2021-07-26T11:21:12,100.0,15.6,B
2021-07-26T11:21:10,800.0,15.6,B
2021-07-26T11:21:03,100.0,15.6,B
2021-07-26T11:19:57,1000.0,15.6,B
2021-07-26T11:19:10,1500.0,15.5,S
2021-07-26T11:18:32,4000.0,15.5,S
2021-07-26T11:18:30,20000.0,15.5,S
2021-07-26T11:18:19,200.0,15.5,S
2021-07-26T11:16:47,1000.0,15.5,S
2021-07-26T11:16:47,100.0,15.6,B
2021-07-26T11:14:52,6000.0,15.5,S
2021-07-26T11:14:44,1300.0,15.6,B
2021-07-26T11:14:30,2000.0,15.6,B
2021-07-26T11:13:17,200.0,15.6,B
2021-07-26T11:12:58,9600.0,15.6,B
2021-07-26T11:11:32,100.0,15.6,B
2021-07-26T11:10:53,200.0,15.5,S
2021-07-26T11:10:24,5000.0,15.5,S
2021-07-26T11:10:11,100.0,15.6,B
2021-07-26T11:09:22,1000.0,15.6,B
2021-07-26T11:08:12,300.0,15.6,B
2021-07-26T11:07:22,200.0,15.5,S
2021-07-26T11:06:39,100.0,15.5,S
2021-07-26T11:05:37,5000.0,15.5,S
2021-07-26T11:05:07,1000.0,15.5,S
2021-07-26T11:04:23,500.0,15.6,B
2021-07-26T11:04:20,100.0,15.6,B
2021-07-26T11:04:10,5000.0,15.5,S
2021-07-26T11:03:52,100.0,15.6,B
2021-07-26T11:02:49,100.0,15.5,S
2021-07-26T11:00:35,10000.0,15.5,S
2021-07-26T10:59:43,100.0,15.6,B
2021-07-26T10:58:43,100.0,15.6,B
2021-07-26T10:57:15,1500.0,15.6,B
2021-07-26T10:56:51,100.0,15.6,B
2021-07-26T10:56:41,2000.0,15.6,B
2021-07-26T10:56:31,100.0,15.6,B
2021-07-26T10:54:10,600.0,15.6,S
2021-07-26T10:54:09,5000.0,15.6,S
2021-07-26T10:53:47,1200.0,15.6,B
2021-07-26T10:52:54,500.0,15.6,B
2021-07-26T10:52:48,500.0,15.6,B
2021-07-26T10:52:20,3000.0,15.6,B
2021-07-26T10:52:07,100.0,15.6,B
2021-07-26T10:51:33,200.0,15.6,B
2021-07-26T10:51:08,3000.0,15.6,B
2021-07-26T10:51:04,200.0,15.6,B
2021-07-26T10:50:55,1500.0,15.5,S
2021-07-26T10:50:42,1000.0,15.6,B
2021-07-26T10:50:39,100.0,15.6,B
2021-07-26T10:50:38,1000.0,15.6,B
2021-07-26T10:49:32,500.0,15.6,B
2021-07-26T10:48:58,3000.0,15.6,B
2021-07-26T10:48:55,100.0,15.6,B
2021-07-26T10:48:43,2000.0,15.6,B
2021-07-26T10:48:32,1600.0,15.6,B
2021-07-26T10:48:29,1000.0,15.6,B
2021-07-26T10:46:30,3500.0,15.6,S
2021-07-26T10:46:27,4900.0,15.6,S
2021-07-26T10:46:13,3100.0,15.6,S
2021-07-26T10:45:53,1400.0,15.6,B
2021-07-26T10:45:43,3000.0,15.6,B
2021-07-26T10:45:35,2000.0,15.6,B
2021-07-26T10:45:28,3000.0,15.6,B
2021-07-26T10:45:27,200.0,15.6,B
2021-07-26T10:45:04,100.0,15.6,B
2021-07-26T10:44:52,30000.0,15.5,S
2021-07-26T10:44:27,100.0,15.5,S
2021-07-26T10:44:17,1200.0,15.5,S
2021-07-26T10:43:54,1000.0,15.5,S
2021-07-26T10:43:43,1000.0,15.5,S
2021-07-26T10:43:37,100.0,15.5,S
2021-07-26T10:43:34,2500.0,15.5,S
2021-07-26T10:43:32,300.0,15.5,S
2021-07-26T10:43:19,300.0,15.5,S
2021-07-26T10:42:52,1000.0,15.5,S
2021-07-26T10:42:03,2000.0,15.5,S
2021-07-26T10:41:58,1000.0,15.5,S
2021-07-26T10:40:58,2000.0,15.6,B
2021-07-26T10:40:36,500.0,15.5,S
2021-07-26T10:39:39,57000.0,15.5,S
2021-07-26T10:39:24,100.0,15.6,S
2021-07-26T10:39:22,500.0,15.6,B
2021-07-26T10:39:22,1000.0,15.5,S
2021-07-26T10:38:56,100.0,15.5,S
2021-07-26T10:38:11,28500.0,15.5,S
2021-07-26T10:38:05,3000.0,15.6,S
2021-07-26T10:37:59,15000.0,15.6,S
2021-07-26T10:37:51,2000.0,15.6,S
2021-07-26T10:37:14,300.0,15.6,S
2021-07-26T10:36:47,2000.0,15.6,S
2021-07-26T10:36:20,100.0,15.6,S
2021-07-26T10:35:55,1100.0,15.6,S
2021-07-26T10:33:23,1800.0,15.6,S
2021-07-26T10:33:10,2000.0,15.6,S
2021-07-26T10:32:12,1000.0,15.7,B
2021-07-26T10:31:50,100.0,15.7,B
2021-07-26T10:30:21,1000.0,15.7,B
2021-07-26T10:29:44,100.0,15.7,B
2021-07-26T10:29:32,33000.0,15.7,S
2021-07-26T10:29:00,500.0,15.7,S
2021-07-26T10:28:34,1000.0,15.7,S
