tradingTime,volume,price,side
2021-07-28T09:55:48,300.0,13.2,S
2021-07-28T09:54:55,100.0,13.2,S
2021-07-28T09:54:11,300.0,13.3,B
2021-07-28T09:53:37,100.0,13.3,B
2021-07-28T09:53:32,2400.0,13.3,S
2021-07-28T09:53:14,10000.0,13.3,S
2021-07-28T09:42:47,500.0,13.3,S
2021-07-28T09:41:12,100.0,13.3,B
2021-07-28T09:35:03,600.0,13.3,S
2021-07-28T09:33:20,100.0,13.3,S
2021-07-28T09:26:35,100.0,13.4,B
2021-07-28T09:25:42,100.0,13.4,B
2021-07-28T09:24:53,200.0,13.2,S
2021-07-28T09:18:44,100.0,13.4,B
2021-07-28T09:18:24,300.0,13.4,S
