Date,Close,Open,High,Low,Change,Volume
2021-07-27,16.0,15.6,16.2,15.6,3.56,9434500
2021-07-26,15.45,15.3,15.65,15.2,-0.64,2390900
2021-07-23,15.55,15.6,16.0,15.5,-2.51,5311200
2021-07-22,15.95,15.5,15.95,15.35,3.24,5711900
2021-07-21,15.45,15.45,15.8,15.4,0.0,4420900
2021-07-20,15.45,14.8,15.45,14.65,4.39,4679900
2021-07-19,14.8,15.15,15.45,14.75,-6.03,6257700
2021-07-16,15.75,16.05,16.05,15.7,-1.25,3757400
2021-07-15,15.95,15.2,16.15,15.2,2.57,4526400
2021-07-14,15.55,15.9,15.9,15.2,-2.2,3234800
2021-07-13,15.9,15.6,15.9,15.3,3.25,3904300
2021-07-12,15.4,15.9,15.9,15.0,-4.35,11423200
2021-07-09,16.1,16.3,16.9,16.1,-3.59,7290600
2021-07-08,16.7,17.4,17.45,16.6,-3.47,6239800
2021-07-07,17.3,17.1,17.5,16.55,0.0,8404400
2021-07-06,17.3,18.55,19.1,17.3,-6.74,6779000
2021-07-05,18.55,18.6,19.0,18.05,-0.54,7067000
2021-07-02,18.65,19.3,19.3,18.55,-4.11,17217000
2021-07-01,19.45,19.5,19.65,18.9,-0.26,10794000
2021-06-30,19.5,20.1,20.2,19.5,-4.88,13771700
2021-06-29,20.5,19.95,21.0,19.85,3.8,21458900
2021-06-28,19.75,18.6,19.75,18.15,6.76,20292000
2021-06-25,18.5,19.1,19.3,18.3,-2.89,17157600
2021-06-24,19.05,19.15,19.5,18.8,0.26,17237200
2021-06-23,19.0,19.45,19.85,18.95,-2.56,18722100
2021-06-22,19.5,20.05,20.2,19.1,-2.01,21219400
2021-06-18,19.45,19.0,20.2,18.5,1.57,20342000
2021-06-17,19.15,17.85,19.15,17.8,6.98,24665400
2021-06-16,17.9,17.8,18.15,17.25,3.77,15032000
2021-06-15,17.25,15.9,17.25,15.85,6.81,20250800
2021-06-14,16.15,16.2,16.4,15.9,0.31,4586000
2021-06-11,16.1,15.8,16.3,15.8,2.55,4647900
2021-06-10,15.7,15.7,15.8,15.35,1.29,3797400
2021-06-09,15.5,15.5,15.65,15.1,0.32,4965400
2021-06-08,15.45,15.9,16.15,15.4,-3.44,5139900
2021-06-07,16.0,16.45,16.55,15.8,-1.84,2465700
2021-06-04,16.3,16.5,16.7,16.15,0.31,5496500
2021-06-03,16.25,15.35,16.25,15.35,6.91,9756000
2021-06-02,15.2,15.1,15.25,15.0,0.33,2392000
2021-06-01,15.15,15.45,15.55,15.15,-0.66,2266400
2021-05-31,15.25,15.3,15.4,15.05,-0.65,2402100
2021-05-28,15.35,15.2,15.45,15.1,1.32,4608500
2021-05-27,15.15,15.4,15.6,15.0,-2.26,3740400
2021-05-26,15.5,15.6,15.85,15.35,-1.59,3320600
2021-05-25,15.75,15.8,16.05,15.65,0.96,3640500
2021-05-24,15.6,15.4,15.85,15.4,1.96,6637300
