Date,Close,Open,High,Low,Change,Volume
2021-07-27,20.6,20.65,21.1,20.4,1.23,942400
2021-07-26,20.35,20.05,20.45,19.8,0.74,869100
2021-07-23,20.2,20.3,21.0,20.2,-0.98,1900900
2021-07-22,20.4,20.4,20.55,20.1,2.0,982800
2021-07-21,20.0,20.8,20.8,19.85,-2.91,736300
2021-07-20,20.6,19.4,20.6,18.9,6.74,1264000
2021-07-19,19.3,19.8,20.1,19.3,-6.76,1727700
2021-07-16,20.7,21.0,21.3,20.65,-1.66,855900
2021-07-15,21.05,19.3,21.05,19.25,6.85,1186600
2021-07-14,19.7,20.6,20.75,19.4,-2.96,1141000
2021-07-13,20.3,20.05,20.4,19.4,1.75,2024600
2021-07-12,19.95,20.5,20.55,19.95,-6.78,1680100
2021-07-09,21.4,22.2,23.1,21.4,-6.96,2048700
2021-07-08,23.0,23.8,24.2,22.9,-3.36,1311900
2021-07-07,23.8,23.25,23.8,22.0,1.06,2258300
2021-07-06,23.55,25.0,25.6,23.55,-6.92,2240600
2021-07-05,25.1,25.5,25.9,24.5,-3.09,2073600
2021-07-02,25.9,25.9,26.3,25.0,4.44,2683700
2021-07-01,24.8,23.5,24.8,23.2,6.9,2574800
2021-06-30,23.2,24.0,24.0,23.2,-3.33,1639500
2021-06-29,24.0,24.15,24.6,23.65,-0.62,2329400
2021-06-28,24.15,24.35,24.5,23.85,1.05,1879900
2021-06-25,23.9,23.65,23.9,22.65,3.46,2374900
2021-06-24,23.1,22.7,23.55,22.6,3.59,3217100
2021-06-23,22.3,22.0,23.0,21.9,1.36,2002400
2021-06-22,22.0,21.9,22.4,21.8,0.46,1332900
2021-06-21,21.9,22.0,22.6,21.75,-0.45,1447300
2021-06-18,22.0,22.2,22.6,21.95,0.0,1179400
2021-06-17,22.0,21.5,22.3,21.4,-1.35,1356400
2021-06-16,22.3,22.5,23.0,22.05,-2.41,1690100
2021-06-15,22.85,22.6,23.45,22.2,1.11,2338300
2021-06-14,22.6,21.2,22.9,20.8,5.12,3394200
2021-06-11,21.5,21.0,22.0,20.5,1.42,1749900
2021-06-10,21.2,21.2,22.5,20.8,-4.5,1373100
2021-06-09,22.2,22.2,22.25,19.35,6.73,3913400
2021-06-08,20.8,21.2,22.35,20.8,-6.94,2917000
2021-06-07,22.35,23.2,23.4,22.35,-6.87,3206900
2021-06-04,24.0,24.0,24.1,23.0,6.43,3168300
2021-06-03,22.55,22.0,22.55,21.9,6.87,1627400
2021-06-02,21.1,19.5,21.3,19.5,3.69,4724900
2021-06-01,20.35,20.35,20.35,20.35,6.82,1329500
2021-05-31,19.05,19.05,19.05,19.05,6.72,1483400
2021-05-28,17.85,16.7,17.85,16.5,6.89,3002600
2021-05-27,16.7,17.5,17.55,16.5,-4.02,1537500
2021-05-26,17.4,17.5,17.65,17.25,0.87,1853000
2021-05-25,17.25,16.55,17.5,16.5,4.23,2864700
2021-05-24,16.55,16.2,16.7,16.0,2.16,1446400
2021-05-21,16.2,16.3,16.8,16.1,1.89,2022800
2021-05-20,15.9,14.9,15.9,14.65,6.71,2109200
2021-05-19,14.9,15.0,15.05,14.8,-1.0,702600
2021-05-18,15.05,15.4,15.4,14.85,-2.27,852400
2021-05-17,15.4,15.9,15.9,15.35,-2.22,663100
2021-05-14,15.75,15.9,16.0,15.5,0.64,687800
2021-05-13,15.65,15.4,15.85,15.3,0.97,1389700
2021-05-12,15.5,15.0,15.5,15.0,0.32,401600
2021-05-11,15.45,15.65,15.8,15.3,-0.32,872100
2021-05-10,15.5,14.4,15.5,14.4,5.08,989600
2021-05-07,14.75,15.05,15.1,14.45,-2.64,571100
2021-05-06,15.15,15.45,15.8,14.9,-1.94,548200
2021-05-05,15.45,14.8,15.45,14.5,6.92,977600
2021-05-04,14.45,14.1,14.5,14.05,-1.03,655600
2021-04-29,14.6,14.95,14.95,14.6,0.0,349500
2021-04-28,14.6,14.5,14.9,14.5,0.0,482900
2021-04-27,14.6,14.9,15.0,14.45,-2.67,1103700
2021-04-26,15.0,15.9,15.9,15.0,-5.66,587700
2021-04-23,15.9,15.4,15.9,14.9,3.25,996900
2021-04-22,15.4,15.9,16.5,15.4,-6.95,1537100
2021-04-20,16.55,17.0,17.2,16.5,-1.19,956700
2021-04-19,16.75,16.5,16.9,16.25,1.21,722100
2021-04-16,16.55,17.1,17.25,16.1,-3.22,1287500
2021-04-15,17.1,17.3,17.45,16.95,-1.44,1421400
2021-04-14,17.35,17.0,17.4,17.0,0.87,945600
2021-04-13,17.2,17.9,17.9,17.1,-1.99,1820300
2021-04-12,17.55,17.2,17.6,16.9,3.24,1976300
2021-04-09,17.0,17.2,17.2,17.0,-1.16,905900
2021-04-08,17.2,17.4,17.4,16.95,-0.29,742900
2021-04-07,17.25,17.1,17.3,16.85,0.58,986400
2021-04-06,17.15,17.25,17.5,17.0,-2.28,1374100
2021-04-05,17.55,17.5,17.8,17.4,1.45,1364500
2021-04-02,17.3,17.6,17.6,17.1,0.58,1612600
2021-04-01,17.2,16.8,17.5,16.5,3.93,2245300
2021-03-31,16.55,16.5,16.95,16.3,1.85,1716200
2021-03-30,16.25,16.2,16.25,15.85,1.56,851000
2021-03-29,16.0,16.1,16.15,15.7,2.24,858600
2021-03-26,15.65,15.35,15.7,14.5,1.95,994300
2021-03-25,15.35,15.8,15.9,15.2,-1.29,886400
2021-03-24,15.55,15.9,16.2,15.45,-4.6,1201500
2021-03-23,16.3,16.8,16.8,15.8,-3.26,1791600
2021-03-22,16.85,17.3,17.35,16.8,-2.32,888500
2021-03-19,17.25,17.2,17.5,16.9,0.29,990800
2021-03-18,17.2,17.1,17.5,17.0,2.38,1937500
2021-03-17,16.8,16.4,17.0,16.4,2.44,1470900
2021-03-16,16.4,16.8,17.0,16.25,-2.96,1623500
2021-03-15,16.9,16.9,17.3,16.55,0.6,1598800
2021-03-12,16.8,16.9,17.4,16.3,0.9,1649100
2021-03-11,16.65,16.1,16.65,15.7,6.73,3270600
2021-03-10,15.6,15.5,15.8,15.4,0.0,1080400
2021-03-09,15.6,15.65,15.75,15.3,-0.95,1057900
2021-03-08,15.75,15.9,16.1,15.4,2.27,1674200
2021-03-05,15.4,14.6,15.5,14.5,4.41,1205700
2021-03-04,14.75,15.55,15.65,14.7,-5.14,914900
2021-03-03,15.55,15.45,15.75,15.4,0.65,865600
2021-03-02,15.45,16.0,16.05,15.4,-0.25 (-1.59 %),1080800
2021-03-01,15.7,15.25,15.75,14.9,0.75 (5.02 %),1307700
2021-02-26,14.95,14.7,15.1,14.55,-0.15 (-0.99 %),660600
2021-02-25,15.1,15.45,15.55,14.75,-0.10 (-0.66 %),1203400
2021-02-24,15.2,15.35,15.5,14.85,0.35 (2.36 %),1742800
2021-02-23,14.85,14.5,14.9,14.3,0.35 (2.41 %),954100
2021-02-22,14.5,14.5,14.85,14.4,0.00 (0.00 %),865600
2021-02-19,14.5,14.4,14.9,14.25,0.00 (0.00 %),722700
2021-02-18,14.5,14.9,15.0,14.3,-0.50 (-3.33 %),1120300
2021-02-17,15.0,14.7,15.1,14.65,0.40 (2.74 %),1054400
2021-02-09,14.6,14.1,14.9,13.7,0.50 (3.55 %),805300
2021-02-08,14.1,14.1,15.3,13.8,-0.45 (-3.09 %),1416400
2021-02-05,14.55,13.8,14.55,13.8,0.95 (6.99 %),1103800
2021-02-04,13.6,13.2,13.6,12.85,0.85 (6.67 %),1177400
2021-02-03,12.75,12.25,12.75,12.0,0.80 (6.69 %),946900
2021-02-02,11.95,11.5,12.1,11.2,-0.05 (-0.42 %),699600
2021-02-01,12.0,12.5,12.9,12.0,-0.85 (-6.61 %),881400
2021-01-29,12.85,11.85,13.3,11.85,0.15 (1.18 %),1316200
2021-01-28,12.7,12.7,12.7,12.7,-0.95 (-6.96 %),405900
2021-01-27,13.65,13.9,14.5,13.65,-1.00 (-6.83 %),824100
2021-01-26,14.65,15.3,15.35,14.65,-1.10 (-6.98 %),999300
2021-01-25,15.75,15.2,16.05,15.1,-0.25 (-1.56 %),1119800
2021-01-22,16.0,16.9,16.9,15.8,-0.70 (-4.19 %),803700
2021-01-21,16.7,16.8,16.8,15.9,0.70 (4.38 %),739000
2021-01-20,16.0,16.0,16.8,15.5,-0.65 (-3.90 %),1891000
2021-01-19,16.65,17.65,17.85,16.65,-1.20 (-6.72 %),1076600
2021-01-18,17.85,18.2,18.2,17.55,-0.35 (-1.92 %),1124400
2021-01-15,18.2,18.4,18.4,17.8,1.00 (5.81 %),1197300
2021-01-14,17.2,16.7,17.2,16.0,1.10 (6.83 %),1423900
2021-01-13,16.1,17.55,17.6,16.1,-0.95 (-5.57 %),756800
2021-01-12,17.05,16.5,17.7,16.45,-0.05 (-0.29 %),1068400
2021-01-11,17.1,17.6,17.8,17.1,-0.40 (-2.29 %),1219200
2021-01-08,17.5,18.45,18.45,17.4,-0.35 (-1.96 %),1454800
2021-01-07,17.85,18.15,18.25,17.8,0.05 (0.28 %),1310700
2021-01-06,17.8,18.6,19.0,17.5,-0.15 (-0.84 %),1452500
2021-01-05,17.95,17.5,18.05,17.2,1.05 (6.21 %),1915600
2021-01-04,16.9,16.8,16.9,16.5,1.10 (6.96 %),518500
2020-12-31,15.8,14.8,15.8,14.8,1.00 (6.76 %),1240140
2020-12-30,14.8,14.8,15.4,14.75,-0.60 (-3.90 %),1284650
2020-12-29,15.4,15.0,16.0,14.75,0.30 (1.99 %),1378300
2020-12-28,15.1,15.05,15.1,14.8,0.95 (6.71 %),1464770
2020-12-25,14.15,13.25,14.15,13.0,0.90 (6.79 %),1895840
2020-12-24,13.25,13.0,13.6,12.1,0.25 (1.92 %),1312920
2020-12-23,13.0,13.8,14.2,13.0,-0.30 (-2.26 %),1440550
2020-12-22,13.3,12.85,13.3,12.7,0.85 (6.83 %),1425460
2020-12-21,12.45,12.45,12.45,12.3,0.80 (6.87 %),1273130
2020-12-18,11.65,11.15,11.65,11.1,0.55 (4.95 %),1347460
2020-12-17,11.1,11.2,11.25,10.85,0.10 (0.91 %),994580
2020-12-16,11.0,11.1,11.2,10.85,0.00 (0.00 %),1200610
2020-12-15,11.0,11.45,11.5,10.8,-0.10 (-0.90 %),1416050
2020-12-14,11.1,11.0,11.1,10.5,0.70 (6.73 %),1001650
2020-12-11,10.4,10.05,10.4,9.96,0.50 (5.05 %),629750
2020-12-10,9.9,10.3,10.5,9.9,-0.50 (-4.81 %),1396670
2020-12-09,10.4,9.99,10.4,9.91,0.64 (6.56 %),1554310
