Date,Close,Open,High,Low,Change,Volume
2021-07-27,18.9,19.0,19.4,18.55,-0.26,5045100
2021-07-26,18.95,18.2,19.2,18.0,2.99,4972400
2021-07-23,18.4,18.2,18.65,18.0,1.1,3972200
2021-07-22,18.2,17.4,18.45,17.2,4.6,4159600
2021-07-21,17.4,17.55,17.85,17.3,-0.29,1965800
2021-07-20,17.45,16.8,17.55,16.6,5.12,3420800
2021-07-19,16.6,16.9,17.2,16.45,-5.14,2819500
2021-07-16,17.5,17.2,17.9,17.0,1.74,2411800
2021-07-15,17.2,16.55,17.35,16.55,1.18,1769600
2021-07-14,17.0,17.2,17.5,16.4,-0.58,2549200
2021-07-13,17.1,16.2,17.1,16.1,6.88,2663000
2021-07-12,16.0,17.1,17.1,15.9,-6.16,5058100
2021-07-09,17.05,17.3,17.95,17.0,-3.4,3294500
2021-07-08,17.65,17.8,18.35,17.55,-1.67,2350700
2021-07-07,17.95,18.0,18.3,17.2,-5.28,2779100
2021-07-06,18.95,19.5,19.9,18.95,-2.82,3285800
2021-07-05,19.55,19.9,20.0,19.4,-2.74,6023700
2021-07-02,20.1,20.75,20.95,19.9,-2.66,7896100
2021-07-01,20.65,21.2,21.4,20.5,-1.67,4589300
2021-06-30,21.0,20.65,21.45,20.4,1.69,4257700
2021-06-29,20.65,20.5,21.3,20.5,0.98,2923700
2021-06-28,20.45,20.2,20.7,20.2,1.24,3295000
2021-06-25,20.2,19.9,20.3,19.9,1.51,2489700
2021-06-24,19.9,19.9,20.2,19.6,-1.24,2012600
2021-06-23,20.15,19.6,20.3,19.3,1.77,5383800
2021-06-22,19.8,20.5,20.55,19.7,-2.7,5703200
2021-06-21,20.35,20.35,20.9,20.2,0.25,3715700
2021-06-18,20.3,20.45,21.5,19.9,0.5,5936800
2021-06-17,20.2,19.2,20.3,19.2,2.54,3719600
2021-06-16,19.7,19.5,20.25,19.4,1.29,5046200
2021-06-15,19.45,19.3,19.8,19.0,-0.26,4405300
2021-06-14,19.5,19.1,19.9,19.1,2.36,3360200
2021-06-11,19.05,19.3,19.5,18.9,-0.52,4548000
2021-06-10,19.15,19.15,19.15,17.75,6.98,10617500
2021-06-09,17.9,17.9,18.0,17.3,0.56,2063600
2021-06-08,17.8,18.0,18.45,17.8,0.28,5690800
2021-06-07,17.75,17.8,18.5,17.5,-0.28,7308900
2021-06-04,17.8,18.05,18.05,17.65,-1.39,3709900
2021-06-03,18.05,18.5,18.5,18.0,1.4,3823700
2021-06-02,17.8,16.6,17.8,16.2,6.91,6752700
2021-06-01,16.65,16.7,16.85,16.6,-0.89,2551200
2021-05-31,16.8,17.0,17.0,16.55,-1.18,4106200
2021-05-28,17.0,17.0,17.3,16.6,0.0,3537400
2021-05-27,17.0,17.4,17.45,16.85,-2.58,3385300
2021-05-26,17.45,17.65,17.7,17.4,-1.13,1980600
2021-05-25,17.65,17.7,18.3,17.6,-0.28,4640600
2021-05-24,17.7,17.2,17.8,17.0,4.12,4516700
2021-05-21,17.0,17.25,17.55,16.9,1.19,2990600
2021-05-20,16.8,16.7,17.05,16.6,0.9,1785900
2021-05-19,16.65,16.55,16.95,16.2,0.3,2701100
2021-05-18,16.6,17.05,17.2,16.55,-3.21,1760300
2021-05-17,17.15,17.75,17.9,17.05,-2.83,2806500
2021-05-14,17.65,16.9,17.8,16.9,6.01,5811300
2021-05-13,16.65,16.5,16.85,16.4,0.0,2274000
2021-05-12,16.65,16.05,16.65,16.0,3.74,1800100
2021-05-11,16.05,16.2,16.35,16.05,0.63,1753300
2021-05-10,15.95,15.45,16.1,15.35,2.57,2778900
2021-05-07,15.55,15.95,16.05,15.55,-3.12,2012300
2021-05-06,16.05,16.3,16.4,16.0,-1.23,1570400
2021-05-05,16.25,16.0,16.4,15.85,2.2,1864900
2021-05-04,15.9,15.5,16.0,15.5,-0.62,1614400
2021-04-29,16.0,16.2,16.35,16.0,-0.93,1406200
2021-04-28,16.15,16.3,16.35,16.0,0.0,1826200
2021-04-27,16.15,15.5,16.55,15.25,4.19,3171100
2021-04-26,15.5,16.15,16.2,15.3,-4.02,1800200
2021-04-23,16.15,15.85,16.25,15.0,1.89,2890300
2021-04-22,15.85,16.8,16.95,15.85,-6.76,4848500
2021-04-20,17.0,17.4,17.45,16.75,-2.3,2437900
2021-04-19,17.4,17.1,17.55,16.8,1.75,1535300
2021-04-16,17.1,17.25,17.25,16.55,-1.16,4232200
2021-04-15,17.3,18.1,18.2,17.0,-4.42,4863700
2021-04-14,18.1,17.9,18.1,17.8,0.28,2416900
2021-04-13,18.05,18.2,18.5,18.0,-0.55,4066300
2021-04-12,18.15,17.9,18.4,17.8,1.4,4177600
2021-04-09,17.9,17.95,18.05,17.5,-0.28,2763800
2021-04-08,17.95,18.15,18.25,17.85,-1.1,1687400
2021-04-07,18.15,17.95,18.15,17.8,0.83,2004800
2021-04-06,18.0,17.6,18.3,17.55,0.28,3576400
2021-04-05,17.95,18.2,18.2,17.7,-0.55,2966200
2021-04-02,18.05,18.2,18.3,17.8,-0.28,2362300
2021-04-01,18.1,17.8,18.5,17.75,3.72,5582300
2021-03-31,17.45,17.15,17.6,17.15,1.16,4268000
2021-03-30,17.25,17.55,17.55,17.0,-1.43,2346100
2021-03-29,17.5,16.95,17.65,16.9,4.17,5037000
2021-03-26,16.8,16.5,16.95,16.2,0.6,3996100
2021-03-25,16.7,16.9,17.0,16.5,-1.76,2132500
2021-03-24,17.0,17.35,17.35,16.5,-2.3,3223400
2021-03-23,17.4,17.0,17.6,16.85,2.05,3727300
2021-03-22,17.05,17.2,17.25,16.95,-1.45,3447500
2021-03-19,17.3,17.45,17.45,16.9,-0.86,3406800
2021-03-18,17.45,17.8,17.85,17.35,0.0,3240200
2021-03-17,17.45,16.55,17.45,16.55,5.44,7363000
2021-03-16,16.35,16.4,16.5,16.0,-0.3,2549500
2021-03-15,16.4,16.55,16.6,16.35,-0.91,3279000
2021-03-12,16.55,16.9,16.95,16.5,-1.78,2827800
2021-03-11,16.85,16.9,17.05,16.7,-0.3,3640100
2021-03-10,16.9,16.8,17.3,16.8,0.6,4718100
2021-03-09,16.8,16.4,16.9,16.25,0.3,4187600
2021-03-08,16.75,16.85,17.2,16.3,-0.3,6129900
2021-03-05,16.8,15.9,16.9,15.65,2.75,7688000
2021-03-04,16.35,16.45,16.85,15.95,2.51,7916800
2021-03-03,15.95,15.3,15.95,15.2,6.69,9926500
2021-03-02,14.95,14.45,14.95,14.2,0.95 (6.79 %),11549900
2021-03-01,14.0,13.7,14.15,13.6,0.50 (3.70 %),4322600
2021-02-26,13.5,13.15,13.5,13.1,0.10 (0.75 %),3042200
2021-02-25,13.4,13.7,13.7,13.25,-0.10 (-0.74 %),2405300
2021-02-24,13.5,13.65,13.9,13.25,-0.15 (-1.10 %),2755000
2021-02-23,13.65,13.6,13.85,13.6,-0.15 (-1.09 %),2390200
2021-02-22,13.8,14.1,14.1,13.6,0.00 (0.00 %),2954300
2021-02-19,13.8,13.7,14.2,13.5,0.15 (1.10 %),3616800
2021-02-18,13.65,12.8,13.65,12.7,0.85 (6.64 %),5597500
2021-02-17,12.8,12.75,12.9,12.5,0.30 (2.40 %),2073000
2021-02-09,12.5,12.45,12.65,12.35,-0.05 (-0.40 %),2277000
2021-02-08,12.55,12.55,13.0,12.3,-0.35 (-2.71 %),2219800
2021-02-05,12.9,12.7,13.0,12.65,0.20 (1.57 %),1438500
2021-02-04,12.7,12.65,13.15,11.75,0.10 (0.79 %),2751600
2021-02-03,12.6,12.0,12.6,12.0,0.80 (6.78 %),2548300
2021-02-02,11.8,11.95,12.15,11.5,-0.15 (-1.26 %),2301800
2021-02-01,11.95,12.75,12.75,11.9,-0.80 (-6.27 %),4405600
