Date,Close,Open,High,Low,Change,Volume
2021-07-27,8.13,8.47,8.48,8.1,0.62,5877400
2021-07-26,8.08,7.68,8.5,7.68,-2.06,41613500
2021-07-23,8.25,8.35,8.45,8.25,-2.25,3691300
2021-07-22,8.44,8.11,8.62,8.09,3.94,4657300
2021-07-21,8.12,8.15,8.19,8.07,0.25,3491700
2021-07-20,8.1,8.05,8.24,7.79,-1.7,8374000
2021-07-19,8.24,8.6,8.6,8.24,-7.0,11675400
2021-07-16,8.86,9.0,9.0,8.85,-1.12,3126900
2021-07-15,8.96,8.72,8.99,8.7,2.87,4739900
2021-07-14,8.71,8.79,9.09,8.58,0.11,5513900
2021-07-13,8.7,8.65,8.85,8.49,0.58,6357700
2021-07-12,8.65,9.0,9.2,8.65,-6.99,14661500
2021-07-09,9.3,9.95,10.05,9.3,-6.91,9731300
2021-07-08,9.99,9.99,10.2,9.97,0.0,5823100
2021-07-07,9.99,10.3,10.35,9.8,-3.01,11640600
2021-07-06,10.3,10.4,10.75,10.3,-0.96,11863400
2021-07-05,10.4,10.65,10.65,10.35,-2.35,13886400
2021-07-02,10.65,10.8,10.9,10.6,-1.39,10911200
2021-07-01,10.8,10.8,10.9,10.75,0.0,7442600
2021-06-30,10.8,10.95,11.0,10.8,-0.92,6446700
2021-06-29,10.9,10.85,11.25,10.8,0.46,7779700
2021-06-28,10.85,11.05,11.1,10.85,-1.81,9796600
2021-06-25,11.05,11.1,11.2,11.0,0.0,7756500
2021-06-24,11.05,11.05,11.35,10.95,-0.45,13507800
2021-06-23,11.1,11.45,11.45,11.05,-3.06,14095400
2021-06-22,11.45,11.9,11.9,11.45,-2.55,14517300
2021-06-21,11.75,11.75,11.75,11.0,6.82,44664700
2021-06-18,11.0,11.0,11.15,10.9,0.0,17661700
2021-06-17,11.0,10.9,11.05,10.9,-0.45,10048400
2021-06-16,11.05,10.7,11.35,10.65,2.31,23238200
2021-06-15,10.8,10.8,10.85,10.65,0.47,13681500
2021-06-14,10.75,10.7,10.85,10.55,3.86,29663300
2021-06-11,10.35,10.4,10.55,10.3,-0.48,11082700
2021-06-10,10.4,10.5,10.55,10.35,-1.42,10074500
2021-06-09,10.55,10.55,10.7,10.45,-0.47,7890700
2021-06-08,10.6,10.6,10.9,10.5,0.0,12311200
2021-06-07,10.6,10.65,10.9,10.45,-4.07,17460300
2021-06-04,11.05,11.3,11.5,10.9,-1.34,13457100
2021-06-03,11.2,11.2,11.6,11.1,2.28,17325100
2021-06-02,10.95,10.6,11.05,10.55,4.29,16502500
2021-06-01,10.5,10.65,10.7,10.5,0.0,4970500
2021-05-31,10.5,10.5,10.6,10.35,-0.94,8600800
2021-05-28,10.6,10.7,10.75,10.55,-0.93,7759700
2021-05-27,10.7,11.0,11.25,10.6,-2.73,5629500
2021-05-26,11.0,10.6,11.25,10.45,3.77,11722200
2021-05-25,10.6,10.7,10.7,10.55,0.0,5602900
2021-05-24,10.6,10.65,10.75,10.5,0.47,8094500
2021-05-21,10.55,10.5,10.7,10.5,-0.47,5551200
2021-05-20,10.6,10.8,10.8,10.5,-0.93,6060300
2021-05-19,10.7,10.65,10.95,10.65,0.47,5410000
2021-05-18,10.65,10.6,10.75,10.5,-0.47,6286300
2021-05-17,10.7,10.8,10.95,10.65,-2.73,7647600
2021-05-14,11.0,11.35,11.4,11.0,-3.08,6849300
2021-05-13,11.35,11.5,11.85,11.35,-1.3,10030500
2021-05-12,11.5,10.7,11.5,10.7,6.98,8803300
2021-05-11,10.75,10.65,10.95,10.65,0.94,6536600
2021-05-10,10.65,10.5,10.7,10.3,-0.47,9969000
2021-05-07,10.7,11.1,11.15,10.7,-3.6,10200700
2021-05-06,11.1,11.2,11.3,11.1,-0.89,4636200
2021-05-05,11.2,11.2,11.45,11.05,0.0,10909600
2021-05-04,11.2,11.1,11.35,11.05,-2.61,7656000
2021-04-29,11.5,11.5,11.6,11.3,0.0,6011500
2021-04-28,11.5,11.4,11.6,11.4,0.44,6293300
2021-04-27,11.45,11.45,11.6,11.3,-0.43,5743500
2021-04-26,11.5,11.65,11.8,11.4,-0.86,7920100
2021-04-23,11.6,11.3,11.8,11.15,2.65,11281700
2021-04-22,11.3,11.75,11.9,11.3,-5.83,14048000
2021-04-20,12.0,12.3,12.4,11.9,-2.44,10741500
2021-04-19,12.3,12.1,12.55,11.9,0.82,14515800
2021-04-16,12.2,12.6,12.65,11.85,-3.56,21936500
2021-04-15,12.65,13.0,13.3,12.65,-2.32,26125800
2021-04-14,12.95,12.7,13.1,12.6,-0.77,17698700
2021-04-13,13.05,13.5,13.6,12.85,-0.38,27942800
2021-04-12,13.1,12.5,13.1,12.2,6.94,24465400
2021-04-09,12.25,12.0,12.5,11.95,2.08,22069500
2021-04-08,12.0,12.0,12.2,11.85,0.0,14055900
2021-04-07,12.0,11.8,12.2,11.7,1.27,11921600
2021-04-06,11.85,12.0,12.1,11.8,-2.07,8874400
2021-04-05,12.1,12.2,12.3,12.0,0.83,11977300
2021-04-02,12.0,11.75,12.15,11.6,3.45,17345500
2021-04-01,11.6,11.6,11.75,11.55,0.0,6811300
2021-03-31,11.6,11.55,11.8,11.5,0.43,6623200
2021-03-30,11.55,11.65,11.65,11.4,-0.86,8665200
2021-03-29,11.65,11.3,11.8,11.2,3.56,10544600
2021-03-26,11.25,11.3,11.45,10.95,-1.32,10044100
2021-03-25,11.4,11.6,11.7,11.3,-0.87,9425800
2021-03-24,11.5,11.7,11.85,11.4,-2.95,9717900
2021-03-23,11.85,12.0,12.1,11.7,-2.47,6869600
2021-03-22,12.15,12.3,12.35,12.0,-1.22,6086100
2021-03-19,12.3,11.95,12.4,11.5,2.5,23014000
2021-03-18,12.0,12.3,12.35,11.9,-2.83,23314100
2021-03-17,12.35,12.4,12.5,12.3,-0.4,5186000
