Date,Close,Open,High,Low,Change,Volume
2021-07-27,6.9,7.0,7.1,6.9,-1.43,412500
2021-07-26,7.0,7.4,7.4,6.7,0.0,1271914
2021-07-23,7.0,7.7,7.7,7.0,-9.09,1897111
2021-07-22,7.7,7.8,7.9,7.5,-1.28,706500
2021-07-21,7.8,7.9,7.9,7.7,0.0,527004
2021-07-20,7.8,7.7,7.9,7.5,1.3,866872
2021-07-19,7.7,7.4,8.0,7.1,4.05,2034880
2021-07-16,7.4,7.6,7.9,7.4,-1.33,1087820
2021-07-15,7.5,6.9,7.5,6.9,8.7,1572890
2021-07-14,6.9,6.8,7.0,6.7,1.47,641426
2021-07-13,6.8,6.8,6.9,6.7,-1.45,894300
2021-07-12,6.9,7.3,7.4,6.6,-4.17,1085500
2021-07-09,7.2,7.3,7.4,7.0,0.0,1311933
2021-07-08,7.2,7.0,7.4,7.0,2.86,971010
2021-07-07,7.0,6.4,7.0,6.3,9.37,1732502
2021-07-06,6.4,6.5,6.5,6.4,-3.03,350293
2021-07-05,6.6,6.6,6.6,6.4,0.0,277313
2021-07-02,6.6,6.6,6.7,6.5,0.0,217000
2021-07-01,6.6,6.6,6.7,6.5,0.0,356910
2021-06-30,6.6,6.5,6.7,6.5,1.54,290510
2021-06-29,6.5,6.8,6.8,6.5,-4.41,426200
2021-06-28,6.8,7.0,7.0,6.6,1.49,245800
2021-06-25,6.7,6.7,6.8,6.6,0.0,360710
2021-06-24,6.7,6.9,6.9,6.6,-2.9,516900
2021-06-23,6.9,6.9,7.0,6.8,-1.43,379880
2021-06-22,7.0,7.1,7.1,6.9,0.0,304300
2021-06-21,7.0,7.0,7.1,6.9,0.0,313497
2021-06-18,7.0,7.1,7.1,6.9,0.0,441240
2021-06-17,7.0,6.8,7.2,6.8,2.94,488000
2021-06-16,6.8,6.8,7.0,6.7,0.0,270105
2021-06-15,6.8,6.9,7.0,6.8,-1.45,251141
2021-06-14,6.9,6.9,7.0,6.8,0.0,287300
2021-06-11,6.9,7.0,7.1,6.8,-1.43,400029
2021-06-10,7.0,7.0,7.0,6.8,0.0,195000
2021-06-09,7.0,6.9,7.0,6.7,1.45,378100
2021-06-08,6.9,7.0,7.3,6.9,0.0,595158
2021-06-07,6.9,7.1,7.2,6.7,-2.82,601240
2021-06-04,7.1,7.2,7.3,7.0,0.0,422751
2021-06-03,7.1,7.1,7.3,7.0,0.0,637580
2021-06-02,7.1,6.5,7.1,6.5,9.23,781446
2021-06-01,6.5,6.2,6.6,6.1,3.17,769230
2021-05-31,6.3,6.4,6.4,6.2,-3.08,432841
2021-05-28,6.5,6.6,6.6,6.4,-1.52,507200
2021-05-27,6.6,6.5,6.7,6.5,1.54,388000
2021-05-26,6.5,6.7,6.8,6.5,-2.99,320220
2021-05-25,6.7,6.8,6.9,6.6,-1.47,340400
2021-05-24,6.8,6.8,6.9,6.6,0.0,356104
2021-05-21,6.8,6.2,7.0,6.2,6.25,680886
2021-05-20,6.4,6.7,6.7,6.3,-4.48,611138
2021-05-19,6.7,6.6,6.9,6.6,1.52,348163
2021-05-18,6.6,7.0,7.0,6.6,-5.71,615705
2021-05-17,7.0,7.1,7.1,6.8,-2.78,862999
2021-05-14,7.2,7.1,7.2,7.0,1.41,268617
2021-05-13,7.1,7.2,7.3,7.1,-1.39,267630
2021-05-12,7.2,7.1,7.2,7.1,1.41,328200
2021-05-11,7.1,7.2,7.3,7.1,-1.39,277610
2021-05-10,7.2,7.2,7.3,7.0,-2.7,694040
2021-05-07,7.4,7.6,7.6,7.2,-2.63,527600
2021-05-06,7.6,7.5,7.8,7.5,1.33,393434
2021-05-05,7.5,7.2,7.7,7.1,5.63,681008
2021-05-04,7.1,7.3,7.4,7.0,-5.33,721000
2021-04-29,7.5,7.5,7.6,7.4,0.0,139911
2021-04-28,7.5,7.3,7.6,7.2,2.74,342900
2021-04-27,7.3,7.3,7.5,7.2,-1.35,509530
2021-04-26,7.4,7.9,7.9,7.4,-6.33,628357
2021-04-23,7.9,7.6,8.0,7.4,3.95,835001
2021-04-22,7.6,8.2,8.2,7.6,-8.43,987494
2021-04-20,8.3,8.5,8.5,8.1,-1.19,824800
2021-04-19,8.4,8.5,8.7,8.2,-1.18,865440
2021-04-16,8.5,8.9,8.9,8.2,-4.49,1900153
2021-04-15,8.9,9.1,9.3,8.9,-2.2,1038011
2021-04-14,9.1,9.1,9.2,8.9,-1.09,877670
2021-04-13,9.2,9.2,9.5,8.9,0.0,2028136
2021-04-12,9.2,9.0,9.3,9.0,2.22,1952764
2021-04-09,9.0,8.8,9.0,8.6,2.27,1080240
2021-04-08,8.8,9.3,9.3,8.8,-4.35,1406629
2021-04-07,9.2,9.0,9.3,8.8,2.22,1213680
2021-04-06,9.0,9.3,9.7,9.0,-3.23,842787
2021-04-05,9.3,8.7,9.3,8.4,9.41,3928110
2021-04-02,8.5,8.4,8.6,8.2,1.19,665980
2021-04-01,8.4,8.2,8.4,8.2,2.44,602487
2021-03-31,8.2,7.9,8.5,7.9,3.8,1501105
2021-03-30,7.9,8.1,8.1,7.8,-1.25,757800
2021-03-29,8.0,7.8,8.2,7.8,2.56,502302
2021-03-26,7.8,8.1,8.2,7.3,-3.7,880360
2021-03-25,8.1,8.0,8.4,7.9,1.25,637617
2021-03-24,8.0,8.2,8.2,7.8,-2.44,813995
2021-03-23,8.2,7.9,8.3,7.7,0.0,779760
2021-03-22,8.2,8.4,8.4,8.1,-2.38,766646
2021-03-19,8.4,8.5,8.5,8.2,-1.18,338127
2021-03-18,8.5,8.6,8.7,8.3,-1.16,450450
2021-03-17,8.6,8.0,8.8,7.9,7.5,1907525
2021-03-16,8.0,7.9,8.0,7.7,1.27,809220
2021-03-15,7.9,8.0,8.0,7.8,-1.25,344618
2021-03-12,8.0,8.1,8.5,7.9,0.0,436990
2021-03-11,8.0,8.1,8.1,7.9,-1.23,445700
2021-03-10,8.1,8.3,8.4,8.1,-2.41,587597
2021-03-09,8.3,8.0,8.5,7.9,3.75,1124640
2021-03-08,8.0,8.0,8.1,7.8,0.0,491261
2021-03-05,8.0,7.4,8.1,7.2,8.11,803536
2021-03-04,7.4,7.6,7.7,7.2,-2.63,709440
2021-03-03,7.6,7.7,7.7,7.4,-1.3,624667
2021-03-02,7.7,7.6,7.8,7.6,0.10 (1.32 %),491659
2021-03-01,7.6,7.4,7.6,7.2,0.20 (2.70 %),533910
2021-02-26,7.4,7.4,7.4,7.1,-0.10 (-1.33 %),623400
2021-02-25,7.5,7.5,7.9,7.3,0.00 (0.00 %),306234
2021-02-24,7.5,7.0,7.5,7.0,0.60 (8.70 %),1452778
2021-02-23,6.9,6.7,6.9,6.5,0.30 (4.55 %),570020
2021-02-22,6.6,6.5,6.8,6.5,0.10 (1.54 %),808400
2021-02-19,6.5,6.4,6.6,6.3,0.00 (0.00 %),243054
2021-02-18,6.5,6.6,6.6,6.4,-0.10 (-1.52 %),477600
2021-02-17,6.6,6.3,6.7,6.2,0.40 (6.45 %),424532
2021-02-09,6.2,6.1,6.3,6.0,0.20 (3.33 %),337540
2021-02-08,6.0,6.4,6.5,5.8,-0.40 (-6.25 %),948910
2021-02-05,6.4,6.3,6.4,6.2,0.00 (0.00 %),381068
2021-02-04,6.4,6.7,6.8,6.3,-0.20 (-3.03 %),278920
2021-02-03,6.6,6.0,6.6,6.0,0.60 (10.00 %),560763
2021-02-02,6.0,5.8,6.0,5.5,0.10 (1.69 %),449200
2021-02-01,5.9,6.5,6.5,5.9,-0.60 (-9.23 %),1147615
2021-01-29,6.5,6.5,7.2,6.5,-0.70 (-9.72 %),1314770
2021-01-28,7.2,7.9,7.9,7.2,-0.80 (-10.00 %),547400
2021-01-27,8.0,8.6,8.7,8.0,-0.40 (-4.76 %),969743
2021-01-26,8.4,7.8,8.4,7.7,0.70 (9.09 %),2497614
2021-01-25,7.7,7.7,8.0,7.4,0.00 (0.00 %),658907
2021-01-22,7.7,7.7,7.8,7.5,-0.10 (-1.28 %),368363
2021-01-21,7.8,7.4,7.8,7.2,0.40 (5.41 %),344600
2021-01-20,7.4,7.5,7.5,6.8,-0.10 (-1.33 %),669503
2021-01-19,7.5,8.1,8.2,7.3,-0.60 (-7.41 %),1318163
2021-01-18,8.1,8.3,8.3,8.0,-0.20 (-2.41 %),603687
2021-01-15,8.3,8.3,8.4,8.1,0.00 (0.00 %),903543
2021-01-14,8.3,7.9,8.6,7.9,0.40 (5.06 %),1141610
2021-01-13,7.9,8.0,8.1,7.6,-0.10 (-1.25 %),728300
2021-01-12,8.0,8.1,8.1,7.6,-0.10 (-1.23 %),1304279
2021-01-11,8.1,8.9,8.9,7.8,0.00 (0.00 %),2469176
2021-01-08,8.1,8.1,8.1,8.1,0.70 (9.46 %),479360
2021-01-07,7.4,6.8,7.4,6.8,0.60 (8.82 %),941000
2021-01-06,6.8,6.3,6.8,6.2,0.60 (9.68 %),1941100
2021-01-05,6.2,6.1,6.2,6.0,0.10 (1.64 %),514625
2021-01-04,6.1,6.1,6.2,6.0,-0.10 (-1.61 %),357000
2020-12-31,6.2,6.1,6.2,6.0,0.10 (1.64 %),238239
2020-12-30,6.1,6.2,6.4,6.0,-0.10 (-1.61 %),536073
2020-12-29,6.2,5.8,6.3,5.8,0.40 (6.90 %),1077250
2020-12-28,5.8,5.8,5.9,5.7,0.00 (0.00 %),573776
2020-12-25,5.8,5.7,5.9,5.7,0.10 (1.75 %),259001
2020-12-24,5.7,5.7,5.8,5.5,0.00 (0.00 %),639172
