Date,Close,Open,High,Low,Change,Volume
2021-07-27,6.1,6.2,6.4,6.1,-1.61,41715
2021-07-26,6.2,6.2,6.2,6.1,0.0,27000
2021-07-23,6.2,6.5,6.5,6.0,-3.13,73400
2021-07-22,6.4,6.3,6.5,6.3,0.0,56400
2021-07-21,6.4,6.6,6.6,6.3,0.0,17700
2021-07-20,6.4,5.9,6.4,5.9,3.23,49725
2021-07-19,6.2,6.5,6.7,6.2,-8.82,137900
2021-07-16,6.8,7.0,7.0,6.6,0.0,64800
2021-07-15,6.8,6.2,6.8,6.2,9.68,130500
2021-07-14,6.2,6.1,6.4,6.0,5.08,171345
2021-07-13,5.9,6.2,6.2,5.7,-4.84,150000
2021-07-12,6.2,6.8,6.8,6.2,-8.82,158300
2021-07-09,6.8,7.3,7.3,6.8,-2.86,63340
2021-07-08,7.0,7.0,7.3,6.9,0.0,55500
2021-07-07,7.0,7.5,7.7,6.8,-6.67,295301
2021-07-06,7.5,8.0,8.1,7.5,-7.41,191700
2021-07-05,8.1,8.2,8.2,8.0,-1.22,110714
2021-07-02,8.2,8.2,8.3,8.1,0.0,96100
2021-07-01,8.2,8.1,8.2,8.0,0.0,42100
2021-06-30,8.2,8.3,8.3,8.1,0.0,114040
2021-06-29,8.2,8.2,8.3,8.1,0.0,57300
2021-06-28,8.2,8.1,8.3,8.0,1.23,73800
2021-06-25,8.1,8.1,8.3,8.1,0.0,61045
2021-06-24,8.1,8.2,8.3,8.1,-2.41,105300
2021-06-23,8.3,8.2,8.3,8.1,-1.19,138800
2021-06-22,8.4,8.3,8.4,8.3,1.2,70900
2021-06-21,8.3,8.6,8.6,8.2,-2.35,35200
2021-06-18,8.5,8.1,8.9,8.1,4.94,306400
2021-06-17,8.1,8.1,8.2,8.0,-1.22,93670
2021-06-16,8.2,8.1,8.3,8.1,1.23,134145
2021-06-15,8.1,8.3,8.3,8.1,-2.41,99800
2021-06-14,8.3,8.4,8.4,8.2,-1.19,91900
2021-06-11,8.4,8.3,8.4,8.2,1.2,62800
2021-06-10,8.3,8.3,8.4,8.1,0.0,162800
2021-06-09,8.3,8.2,8.4,8.0,0.0,106600
2021-06-08,8.3,8.5,8.6,8.3,-3.49,119465
2021-06-07,8.6,8.7,8.7,8.4,-1.15,129300
2021-06-04,8.7,8.6,8.7,8.2,1.16,170970
2021-06-03,8.6,8.8,8.9,8.6,-2.27,239820
2021-06-02,8.8,9.1,9.1,8.6,-3.3,108100
2021-06-01,9.1,9.2,9.8,9.0,1.11,322170
2021-05-31,9.0,8.3,9.0,8.1,8.43,224200
2021-05-28,8.3,8.3,8.6,8.1,-1.19,245000
2021-05-27,8.4,8.4,8.6,8.2,-2.33,105892
2021-05-26,8.6,8.8,8.8,8.4,-2.27,98327
2021-05-25,8.8,8.4,8.8,8.4,4.76,98700
2021-05-24,8.4,8.4,8.6,8.0,0.0,131290
2021-05-21,8.4,8.4,8.6,8.2,-2.33,147600
2021-05-20,8.6,8.9,8.9,8.4,-4.44,278300
2021-05-19,9.0,9.0,9.0,8.8,0.0,149082
2021-05-18,9.0,8.8,9.3,8.7,2.27,203128
2021-05-17,8.8,9.0,9.1,8.7,-3.3,299208
2021-05-14,9.1,9.4,9.5,9.0,-3.19,245302
2021-05-13,9.4,9.7,9.9,9.0,-4.08,365460
2021-05-12,9.8,9.6,9.8,9.3,1.03,155600
2021-05-11,9.7,10.6,10.6,9.0,0.0,426302
2021-05-10,9.7,8.8,9.7,8.5,8.99,485087
2021-05-07,8.9,8.8,9.2,8.7,1.14,338100
2021-05-06,8.8,9.2,9.2,8.8,-4.35,194300
2021-05-05,9.2,9.1,9.2,8.9,2.22,218100
2021-05-04,9.0,9.2,9.4,8.6,-4.26,122425
2021-04-29,9.4,9.4,9.7,9.2,1.08,120227
2021-04-28,9.3,8.5,9.3,8.2,9.41,137711
2021-04-27,8.5,8.9,8.9,8.1,-4.49,202200
2021-04-26,8.9,9.6,9.6,8.9,-7.29,201415
2021-04-23,9.6,9.4,9.8,8.8,1.05,402323
2021-04-22,9.5,10.4,10.4,9.5,-9.52,487900
2021-04-20,10.5,12.3,12.3,10.2,-6.25,549143
2021-04-19,11.2,11.2,11.2,10.2,9.8,706427
2021-04-16,10.2,9.5,10.2,9.5,9.68,498500
2021-04-15,9.3,9.2,9.5,9.2,2.2,446158
2021-04-14,9.1,8.9,9.2,8.9,2.25,207300
2021-04-13,8.9,9.2,9.5,8.9,-4.3,272810
2021-04-12,9.3,9.2,9.6,8.8,1.09,354570
2021-04-09,9.2,8.7,9.3,8.6,4.55,190700
2021-04-08,8.8,9.0,9.1,8.3,-3.3,462400
2021-04-07,9.1,9.1,9.5,9.1,0.0,259346
2021-04-06,9.1,8.6,9.1,8.6,9.64,541200
2021-04-05,8.3,7.7,8.3,7.7,9.21,601400
2021-04-02,7.6,7.8,7.8,7.5,0.0,215872
2021-04-01,7.6,7.5,7.7,7.5,0.0,122200
2021-03-31,7.6,7.7,7.9,7.3,1.33,240223
2021-03-30,7.5,7.6,7.6,7.0,-2.6,282576
2021-03-29,7.7,7.8,7.8,7.4,0.0,205024
2021-03-26,7.7,7.3,7.9,6.6,5.48,446030
2021-03-25,7.3,7.9,8.0,7.3,-7.59,180217
2021-03-24,7.9,7.6,7.9,7.3,5.33,383623
2021-03-23,7.5,6.9,7.5,6.8,8.7,567993
2021-03-22,6.9,7.3,7.3,6.8,-5.48,287815
2021-03-19,7.3,7.4,7.4,7.0,7.35,631127
2021-03-18,6.8,6.4,6.8,6.4,9.68,393669
2021-03-17,6.2,5.7,6.2,5.6,8.77,537300
2021-03-16,5.7,5.7,5.7,5.5,-1.72,77000
2021-03-15,5.8,5.8,5.8,5.6,0.0,75100
2021-03-12,5.8,5.9,5.9,5.7,-1.69,76400
2021-03-11,5.9,5.8,5.9,5.7,1.72,59400
2021-03-10,5.8,5.9,5.9,5.6,0.0,80600
2021-03-09,5.8,6.2,6.2,5.8,-4.92,91600
2021-03-08,6.1,6.1,6.3,6.0,0.0,202700
2021-03-05,6.1,5.8,6.2,5.6,5.17,150400
2021-03-04,5.8,6.0,6.0,5.5,-3.33,49700
2021-03-03,6.0,5.9,6.3,5.9,1.69,103000
2021-03-02,5.9,5.4,5.9,5.4,0.50 (9.26 %),263118
2021-03-01,5.4,5.2,5.4,5.2,0.30 (5.88 %),102400
2021-02-26,5.1,5.2,5.2,5.0,-0.10 (-1.92 %),103500
2021-02-25,5.2,5.2,5.2,5.1,0.00 (0.00 %),13500
2021-02-24,5.2,5.3,5.4,5.1,0.00 (0.00 %),76000
2021-02-23,5.2,5.5,5.5,5.2,-0.20 (-3.70 %),43400
2021-02-22,5.4,5.6,5.6,5.3,-0.20 (-3.57 %),38400
2021-02-19,5.6,5.6,5.6,5.3,0.00 (0.00 %),111700
2021-02-18,5.6,5.2,5.6,5.2,0.40 (7.69 %),169000
2021-02-17,5.2,4.9,5.2,4.9,0.20 (4.00 %),72400
2021-02-09,5.0,5.0,5.0,4.5,0.00 (0.00 %),96500
2021-02-08,5.0,5.2,5.2,4.7,-0.20 (-3.85 %),80000
2021-02-05,5.2,5.2,5.4,4.9,0.00 (0.00 %),54200
2021-02-04,5.2,5.2,5.2,4.9,0.00 (0.00 %),26400
2021-02-03,5.2,5.2,5.3,5.1,0.30 (6.12 %),62800
