Date,Close,Open,High,Low,Change,Volume
2021-07-27,48.8,49.5,49.5,48.0,0.0,474200
2021-07-26,48.8,48.5,48.95,48.0,-0.81,458200
2021-07-23,49.2,49.9,50.0,49.1,-1.11,307500
2021-07-22,49.75,48.8,49.9,48.8,1.53,477200
2021-07-21,49.0,49.4,49.75,49.0,-0.41,428200
2021-07-20,49.2,48.0,49.2,47.1,3.69,730000
2021-07-19,47.45,48.1,49.0,47.3,-4.14,715800
2021-07-16,49.5,49.1,49.5,48.8,0.61,345300
2021-07-15,49.2,48.0,49.2,47.7,2.5,373200
2021-07-14,48.0,49.35,49.35,47.3,-2.24,600700
2021-07-13,49.1,49.0,49.2,48.0,2.08,460500
2021-07-12,48.1,50.6,50.7,47.6,-5.31,1346600
2021-07-09,50.8,51.3,51.5,50.4,-1.93,815300
2021-07-08,51.8,52.2,52.4,50.7,-0.58,762800
2021-07-07,52.1,51.0,52.1,50.4,2.96,880800
2021-07-06,50.6,53.8,54.5,50.1,-5.95,1831000
2021-07-05,53.8,55.9,56.1,53.1,-4.1,1335500
2021-07-02,56.1,57.0,57.0,56.0,-1.06,839400
2021-07-01,56.7,56.6,57.2,56.0,0.18,907500
2021-06-30,56.6,57.2,57.3,56.6,-1.05,473500
2021-06-29,57.2,57.4,58.0,57.0,-0.35,497000
2021-06-28,57.4,57.2,57.9,56.8,0.7,817900
2021-06-25,57.0,57.5,57.8,56.7,-0.87,441200
2021-06-24,57.5,56.6,58.0,55.9,1.41,652500
2021-06-23,56.7,57.4,57.8,56.0,-1.22,854000
2021-06-22,57.4,58.3,58.8,57.4,-1.37,975000
2021-06-21,58.2,58.2,59.2,57.8,-1.36,958700
2021-06-18,59.0,60.5,60.5,58.7,-0.84,1096500
2021-06-17,59.5,56.7,59.5,56.2,4.94,1999300
2021-06-16,56.7,57.0,57.5,55.5,0.18,919500
2021-06-15,56.6,55.2,57.2,54.8,3.47,1384300
2021-06-14,54.7,55.0,55.2,54.2,0.92,637100
2021-06-11,54.2,54.0,55.0,54.0,0.56,641700
2021-06-10,53.9,53.9,55.3,53.5,-2.0,758700
2021-06-09,55.0,54.6,55.5,54.5,-0.9,770700
2021-06-08,55.5,57.0,57.5,55.0,-2.46,901500
2021-06-07,56.9,56.0,58.0,56.0,2.71,1402900
2021-06-04,55.4,54.0,55.5,53.7,3.36,1087100
2021-06-03,53.6,53.2,53.7,52.6,1.52,1070500
2021-06-02,52.8,53.7,54.5,52.5,-1.68,817600
2021-06-01,53.7,54.5,55.5,53.7,-1.29,762600
2021-05-31,54.4,53.8,54.8,52.7,1.3,750100
2021-05-28,53.7,53.0,54.3,52.8,1.32,468400
2021-05-27,53.0,53.6,54.6,52.8,-1.12,797000
2021-05-26,53.6,55.0,55.1,53.6,-1.83,1010900
2021-05-25,54.6,55.2,55.3,54.0,0.0,1060100
2021-05-24,54.6,53.0,54.7,52.9,6.02,1292200
2021-05-21,51.5,50.3,52.2,50.1,2.18,537100
2021-05-20,50.4,51.0,51.1,50.4,-1.18,686900
2021-05-19,51.0,51.0,51.5,50.9,0.0,329300
2021-05-18,51.0,50.6,52.0,50.3,0.79,603000
2021-05-17,50.6,52.3,53.4,50.5,-3.44,904000
2021-05-14,52.4,54.0,54.2,52.4,-2.96,664300
2021-05-13,54.0,54.5,55.6,54.0,-1.28,735800
2021-05-12,54.7,52.2,54.7,52.1,4.79,1274000
2021-05-11,52.2,51.9,53.0,51.2,0.77,753900
2021-05-10,51.8,50.0,52.2,49.5,3.6,879900
2021-05-07,50.0,51.0,51.0,49.85,-2.34,648100
2021-05-06,51.2,51.9,51.9,51.0,-1.35,896300
2021-05-05,51.9,51.0,52.5,51.0,1.76,926600
2021-05-04,51.0,52.0,52.7,50.9,-4.32,605200
2021-04-29,53.3,52.0,53.8,51.9,2.7,393000
2021-04-28,51.9,50.9,52.7,50.2,3.8,389400
2021-04-27,50.0,52.0,52.4,50.0,-3.66,652100
2021-04-26,51.9,53.5,53.5,51.5,-1.14,384100
2021-04-23,52.5,52.0,52.5,49.8,1.55,646200
2021-04-22,51.7,54.2,54.5,51.7,-4.61,666600
2021-04-20,54.2,55.2,55.8,53.9,-1.28,534500
