Date,Close,Open,High,Low,Change,Volume
2021-07-27,3.19,3.25,3.25,3.16,0.0,401900
2021-07-26,3.19,3.13,3.19,3.0,-0.31,663200
2021-07-23,3.2,3.27,3.27,3.19,-2.14,316600
2021-07-22,3.27,3.17,3.29,3.15,3.15,259500
2021-07-21,3.17,3.16,3.2,3.13,0.63,391300
2021-07-20,3.15,3.11,3.2,3.0,0.32,621300
2021-07-19,3.14,3.23,3.3,3.13,-6.55,862600
2021-07-16,3.36,3.46,3.46,3.36,-2.89,428900
2021-07-15,3.46,3.47,3.48,3.4,-0.57,402600
2021-07-14,3.48,3.4,3.5,3.4,2.35,314900
2021-07-13,3.4,3.19,3.4,3.19,5.26,361000
2021-07-12,3.23,3.4,3.42,3.23,-6.92,842600
2021-07-09,3.47,3.5,3.53,3.4,-1.7,702900
2021-07-08,3.53,3.48,3.65,3.45,2.02,333100
2021-07-07,3.46,3.55,3.6,3.4,-3.89,1099900
2021-07-06,3.6,3.75,3.75,3.6,-3.74,846700
2021-07-05,3.74,3.84,3.84,3.7,-2.6,733100
2021-07-02,3.84,3.82,3.85,3.81,0.52,452900
2021-07-01,3.82,3.84,3.85,3.82,-0.78,669300
2021-06-30,3.85,3.86,3.9,3.85,-1.03,688200
2021-06-29,3.89,3.91,3.92,3.87,-0.26,839200
2021-06-28,3.9,3.9,3.95,3.89,-0.51,1016000
2021-06-25,3.92,3.9,3.99,3.88,0.51,566600
2021-06-24,3.9,3.91,3.93,3.86,-0.76,1238500
2021-06-23,3.93,4.01,4.01,3.91,-1.75,875000
2021-06-22,4.0,4.1,4.1,3.97,-1.48,1604600
2021-06-21,4.06,4.06,4.14,3.91,3.05,2012100
2021-06-18,3.94,3.92,3.97,3.92,0.51,819000
2021-06-17,3.92,3.85,3.98,3.8,1.82,986600
2021-06-16,3.85,3.89,3.89,3.75,1.05,570200
2021-06-15,3.81,3.81,3.85,3.79,-0.78,1182200
2021-06-14,3.84,3.88,3.95,3.84,-1.03,768300
2021-06-11,3.88,3.9,3.99,3.88,-0.26,868800
2021-06-10,3.89,3.9,3.97,3.85,-0.26,336200
2021-06-09,3.9,3.81,3.91,3.8,0.26,702300
2021-06-08,3.89,3.98,4.05,3.85,-2.75,892400
2021-06-07,4.0,4.2,4.2,3.95,-0.99,996200
2021-06-04,4.04,4.17,4.18,3.98,-0.25,2065100
2021-06-03,4.05,3.8,4.05,3.8,6.86,1834200
2021-06-02,3.79,3.8,3.8,3.72,2.43,460900
2021-06-01,3.7,3.65,3.71,3.6,0.54,1335100
2021-05-31,3.68,3.71,3.75,3.68,-1.87,1274300
2021-05-28,3.75,3.75,3.82,3.71,0.0,847600
2021-05-27,3.75,3.87,3.88,3.74,-3.35,1708100
2021-05-26,3.88,3.92,3.94,3.86,-1.02,898800
2021-05-25,3.92,3.92,3.98,3.92,0.26,973800
2021-05-24,3.91,3.86,4.0,3.86,1.3,943800
2021-05-21,3.86,3.85,3.97,3.76,-0.26,1373000
2021-05-20,3.87,3.96,3.97,3.84,-2.52,1538900
2021-05-19,3.97,3.99,4.04,3.96,-0.25,899800
2021-05-18,3.98,3.95,4.05,3.92,0.76,828900
2021-05-17,3.95,3.96,4.06,3.94,-0.25,1384800
2021-05-14,3.96,3.92,4.04,3.92,-1.0,1408100
2021-05-13,4.0,4.1,4.1,4.0,-1.96,1346400
2021-05-12,4.08,4.0,4.12,4.0,1.49,969800
2021-05-11,4.02,4.02,4.13,3.95,0.0,1340600
2021-05-10,4.02,4.01,4.09,3.9,-1.47,1802900
2021-05-07,4.08,4.21,4.26,4.05,-4.23,1548300
2021-05-06,4.26,4.39,4.44,4.24,-1.16,1858700
2021-05-05,4.31,4.11,4.31,4.07,6.95,2120400
2021-05-04,4.03,4.05,4.1,4.0,-3.59,1619800
2021-04-29,4.18,4.0,4.22,4.0,1.46,2100900
2021-04-28,4.12,4.2,4.26,4.12,-6.79,4945500
2021-04-27,4.42,4.44,4.55,4.4,-3.49,998900
2021-04-26,4.58,4.56,4.75,4.5,0.44,3189300
2021-04-23,4.56,4.5,4.61,4.36,0.66,2100600
2021-04-22,4.53,4.7,4.85,4.51,-2.79,2142000
2021-04-20,4.66,4.4,4.66,4.4,6.88,2630200
2021-04-19,4.36,4.31,4.5,4.27,-5.01,3489500
2021-04-16,4.59,4.8,4.92,4.59,-6.9,3508300
2021-04-15,4.93,5.08,5.1,4.9,-2.38,3666000
2021-04-14,5.05,4.8,5.13,4.65,2.02,4884600
2021-04-13,4.95,5.14,5.17,4.84,2.27,6147200
