Date,Close,Open,High,Low,Change,Volume
2021-07-26,84.5,83.0,84.9,82.7,1.56,287738
2021-07-23,83.0,83.8,84.0,82.9,-0.48,135926
2021-07-22,83.5,83.3,83.7,83.1,0.24,167749
2021-07-21,83.4,83.0,83.6,83.0,0.48,137974
2021-07-20,83.5,82.7,83.7,82.0,1.58,206250
2021-07-19,82.6,81.5,83.9,81.3,1.35,209564
2021-07-16,82.4,79.5,83.0,79.5,4.97,167008
2021-07-15,79.3,78.1,79.3,78.0,1.15,39033
2021-07-14,78.6,79.5,80.0,77.0,-1.13,73451
2021-07-13,80.0,80.1,80.1,77.8,1.65,79893
2021-07-12,80.2,81.6,81.6,77.8,-1.96,209019
2021-07-09,82.0,81.6,82.7,80.8,0.0,93772
2021-07-08,81.8,82.1,82.4,81.7,-0.24,93349
2021-07-07,82.2,82.2,82.8,81.0,-2.14,189632
2021-07-06,83.0,83.8,84.4,83.0,-0.48,232643
2021-07-05,83.8,83.2,84.3,82.8,0.72,348653
2021-07-02,82.8,82.5,84.0,82.2,0.73,176186
2021-07-01,82.2,82.8,82.8,82.0,0.0,78168
2021-06-30,82.4,82.1,83.0,81.9,0.37,68435
2021-06-29,82.1,82.1,82.3,82.0,-0.12,85665
2021-06-28,82.1,82.9,83.0,82.0,-0.48,87976
2021-06-25,82.8,82.2,82.9,82.0,0.0,114003
2021-06-24,82.8,82.9,84.0,82.4,-0.48,72693
2021-06-23,82.9,83.9,84.4,82.6,-1.07,116847
2021-06-22,83.9,83.0,84.1,69.9,2.07,255950
2021-06-18,83.0,87.0,89.0,82.7,2.72,495144
2021-06-17,102.1,102.5,117.6,87.0,-0.2,471754
2021-06-16,102.6,102.5,103.0,102.0,0.0,154571
2021-06-15,102.5,103.5,103.6,100.0,-1.25,208857
2021-06-14,103.5,103.2,104.5,87.1,1.07,211832
2021-06-11,102.9,98.0,103.5,98.0,5.11,402066
2021-06-10,98.0,97.0,98.5,97.0,2.51,218679
2021-06-09,95.9,96.5,113.3,94.5,-2.74,159447
2021-06-08,97.0,99.0,100.0,95.0,-0.82,456328
2021-06-07,98.8,97.1,99.0,95.8,2.92,577161
2021-06-04,97.1,94.1,97.4,79.8,3.52,617628
2021-06-03,94.1,92.7,94.2,92.7,2.17,334801
2021-06-02,92.8,90.5,93.3,89.0,3.57,333593
2021-06-01,90.9,90.5,103.6,88.8,0.89,158010
2021-05-31,91.0,92.0,92.0,89.0,-0.76,277033
2021-05-28,91.5,92.6,93.0,90.0,-1.93,236946
2021-05-27,92.6,94.1,94.4,79.7,-0.96,250891
2021-05-26,93.1,93.7,95.1,91.5,0.11,378372
2021-05-25,93.7,95.0,95.0,90.7,5.64,598251
2021-05-24,90.8,87.1,100.0,87.1,4.37,360636
2021-05-21,87.0,85.7,88.0,85.7,1.99,225232
2021-05-20,85.6,84.7,85.6,84.2,1.54,124562
2021-05-19,84.7,84.4,84.7,84.0,0.71,103181
2021-05-18,84.4,85.5,85.5,83.6,-1.29,102002
2021-05-17,85.2,85.6,86.7,85.0,0.0,102180
2021-05-14,85.5,83.8,87.3,83.8,0.47,96576
2021-05-13,84.0,86.8,87.3,83.7,-3.34,297201
2021-05-12,87.0,88.2,88.2,86.4,-1.69,253391
2021-05-11,88.3,88.6,89.4,88.2,-0.23,168643
2021-05-10,89.4,90.3,90.3,86.8,-1.0,260361
2021-05-07,90.1,89.0,92.0,88.3,2.04,569081
2021-05-06,89.0,85.4,89.5,85.1,5.33,941194
2021-05-05,85.5,80.0,87.6,80.0,7.14,559582
2021-05-04,80.5,80.6,80.6,78.2,0.0,409500
2021-04-29,80.7,81.0,81.0,80.1,0.5,103088
2021-04-28,80.6,80.7,81.2,80.0,-0.37,196812
2021-04-27,80.7,82.2,82.5,80.5,-1.82,118948
2021-04-26,81.0,82.6,84.0,81.0,-0.61,274096
2021-04-23,82.5,81.6,83.8,80.1,1.1,385684
2021-04-22,80.3,82.8,83.8,80.0,-3.6,291346
2021-04-20,82.7,82.9,84.7,82.6,0.24,344962
2021-04-19,82.9,82.9,83.0,82.1,0.0,194771
2021-04-16,82.6,84.4,84.4,82.5,-2.13,349670
2021-04-14,84.3,83.4,84.9,81.8,0.24,251254
2021-04-13,83.4,85.9,85.9,83.1,-2.91,525575
2021-04-12,85.9,86.4,87.5,85.5,-0.69,272923
2021-04-08,87.3,87.9,88.8,87.2,-0.68,174049
2021-04-07,87.9,88.3,89.0,87.5,0.23,278409
2021-04-06,88.3,87.2,88.5,87.2,1.26,439983
2021-04-05,86.8,88.0,89.5,86.4,-1.59,357494
2021-04-02,87.8,90.0,90.0,87.0,-2.23,254759
2021-04-01,89.9,90.0,90.9,89.4,2.63,268927
2021-03-31,90.0,85.7,90.0,85.0,6.89,556943
2021-03-30,85.7,86.0,86.0,82.5,-0.92,506547
2021-03-29,85.7,88.2,88.2,85.3,-2.28,321196
